trade_date,event,symbol,amount,cash_after
2021-04-01,buy,SZ002633,-61525.54698853493,130625.35818242891
2021-04-01,buy,SZ300478,-129833.62729903222,791.7308833966963
2021-04-01,buy,SZ300736,-741.2122535705566,50.51862982613966
2021-05-06,sell,SH600355,31556.73771054983,31607.25634037597
2021-05-06,sell,SH600520,44560.48999156952,76167.7463319455
2021-05-06,sell,SH600768,25600.6266696167,101768.3730015622
2021-05-06,sell,SH603269,41055.735658550264,142824.10866011246
2021-05-06,sell,SZ002633,119968.53514965533,262792.6438097678
2021-05-06,buy,SH600455,-261192.67222251892,1599.9715872488741
2021-05-06,buy,SH603029,-933.6933898925781,666.278197356296
2021-06-01,sell,SH600355,1194377.1140263795,1195043.3922237358
2021-06-01,sell,SH600520,10206.442192649842,1205249.8344163857
2021-06-01,sell,SH600766,882251.0391124248,2087500.8735288107
2021-06-01,sell,SZ000502,969655.2966494036,3057156.170178214
2021-06-01,sell,SZ000609,740069.988420546,3797226.15859876
2021-06-01,sell,SZ300736,1300315.5776029588,5097541.736201718
2021-06-01,buy,SH600455,-833694.3099019432,4263847.426299775
2021-06-01,buy,SH600561,-1104693.956804657,3159153.469495118
2021-06-01,buy,SH600768,-37270.41267571449,3121883.0568194035
2021-06-01,buy,SH603029,-1103811.7313475609,2018071.3254718427
2021-06-01,buy,SH603269,-32044.187504410744,1986027.137967432
2021-06-01,buy,SH603389,-1104615.5507978438,881411.5871695881
2021-06-01,buy,SH603813,-880120.5126193142,1291.0745502738282
2021-06-01,buy,SZ002633,-700.2601909637451,590.8143593100831
2021-07-01,sell,SH600520,1437344.0061753844,1437934.8205346945
2021-07-01,sell,SH603029,2983.4843923568724,1440918.3049270513
2021-07-01,sell,SH603389,16893.85793815613,1457812.1628652075
2021-07-01,sell,SZ002633,9959.398538541795,1467771.5614037493
2021-07-01,buy,SH600455,-77216.20696409226,1390555.354439657
2021-07-01,buy,SH600561,-57325.16234261513,1333230.1920970418
2021-07-01,buy,SH600768,-33279.80659695625,1299950.3855000855
2021-07-01,buy,SH603269,-25106.076545906068,1274844.3089541795
2021-07-01,buy,SH603813,-298047.15481681825,976797.1541373613
2021-07-01,buy,SZ300478,-941927.7389349365,34869.41520242486
2021-08-02,sell,SH600455,16857.79990940094,51727.215111825804
2021-08-02,sell,SH600561,59062.56174013138,110789.77685195718
2021-08-02,sell,SH600768,148720.13153280257,259509.90838475974
2021-08-02,sell,SH603029,63410.95011048317,322920.8584952429
2021-08-02,sell,SH603269,44011.70892468452,366932.5674199274
2021-08-02,sell,SH603389,58582.62407043457,425515.19149036193
2021-08-02,sell,SZ002633,27630.4769715786,453145.66846194054
2021-08-02,sell,SZ300362,617954.6151189118,1071100.2835808524
2021-08-02,sell,SZ300478,1098377.0986704826,2169477.3822513353
