execution_date,symbol,rank,selected
2022-01-04,SH600768,1,True
2022-01-04,SZ002633,2,True
2022-01-04,SZ300478,3,True
2022-01-04,SZ000702,4,True
2022-01-04,SZ002209,5,True
2022-01-04,SH603029,6,True
2022-01-04,SH603709,7,True
2022-01-04,SH603389,8,True
2022-01-04,SZ002417,9,True
2022-01-04,SH600778,10,True
2022-02-07,SH600768,1,True
2022-02-07,SH688309,2,True
2022-02-07,SZ000702,3,True
2022-02-07,SH603709,4,True
2022-02-07,SH603813,5,True
2022-02-07,SZ002633,6,True
2022-02-07,SH603029,7,True
2022-02-07,SZ002209,8,True
2022-02-07,SH603389,9,True
2022-02-07,SH688215,10,True
2022-03-01,SH688309,1,True
2022-03-01,SH603709,2,True
2022-03-01,SZ002633,3,True
2022-03-01,SH600768,4,True
2022-03-01,SZ000702,5,True
2022-03-01,SH603389,6,True
2022-03-01,SH688215,7,True
2022-03-01,SH600778,8,True
2022-03-01,SZ002209,9,True
2022-03-01,SH603958,10,True
2022-04-01,SH688309,1,True
2022-04-01,SH600768,2,True
2022-04-01,SH603709,3,True
2022-04-01,SH600455,4,True
2022-04-01,SH688215,5,True
2022-04-01,SZ300478,6,True
2022-04-01,SZ300736,7,True
2022-04-01,SZ002633,8,True
2022-04-01,SZ002417,9,True
2022-04-01,SH603958,10,True
2022-05-05,SH600768,1,True
2022-05-05,SH688215,2,True
2022-05-05,SH600455,3,True
2022-05-05,SZ002633,4,True
2022-05-05,SZ002856,5,True
2022-05-05,SH603709,6,True
2022-05-05,SH603389,7,True
2022-05-05,SZ002862,8,True
2022-05-05,SZ300282,9,True
2022-05-05,SH603958,10,True
2022-06-01,SH688555,1,True
2022-06-01,SH688215,2,True
2022-06-01,SH600768,3,True
2022-06-01,SH600455,4,True
2022-06-01,SH603709,5,True
2022-06-01,SZ300736,6,True
2022-06-01,SZ002633,7,True
2022-06-01,SH603958,8,True
2022-06-01,SH603389,9,True
2022-06-01,SZ300417,10,True
2022-07-01,SH688555,1,True
2022-07-01,SH600455,2,True
2022-07-01,SH688215,3,True
2022-07-01,SH600768,4,True
2022-07-01,SH603729,5,True
2022-07-01,SH603709,6,True
2022-07-01,SZ300736,7,True
2022-07-01,SH603269,8,True
2022-07-01,SZ002209,9,True
2022-07-01,SZ300779,10,True
2022-08-01,SH688555,1,True
2022-08-01,SZ002719,2,True
2022-08-01,SH600455,3,True
2022-08-01,SH603729,4,True
2022-08-01,SH600768,5,True
2022-08-01,SH603709,6,True
2022-08-01,SZ300736,7,True
2022-08-01,SH688215,8,True
2022-08-01,SZ300478,9,True
2022-08-01,SH603958,10,True
2022-09-01,SH688555,1,True
2022-09-01,SH688215,2,True
2022-09-01,SH688004,3,True
2022-09-01,SH600455,4,True
2022-09-01,SH603709,5,True
2022-09-01,SH600768,6,True
2022-09-01,SH603729,7,True
2022-09-01,SH688081,8,True
2022-09-01,SZ300478,9,True
2022-09-01,SZ002719,10,True
2022-10-10,SH688555,1,True
2022-10-10,SH688215,2,True
2022-10-10,SH688004,3,True
2022-10-10,SH600455,4,True
2022-10-10,SH600768,5,True
2022-10-10,SH688081,6,True
2022-10-10,SH603729,7,True
2022-10-10,SH603709,8,True
2022-10-10,SH688096,9,True
2022-10-10,SZ002719,10,True
2022-11-01,SH688555,1,True
2022-11-01,SH603729,2,True
2022-11-01,SH603709,3,True
2022-11-01,SH600768,4,True
2022-11-01,SZ300478,5,True
2022-11-01,SH688215,6,True
2022-11-01,SZ002719,7,True
2022-11-01,SH600455,8,True
2022-11-01,SH688004,9,True
2022-11-01,SH688701,10,True
2022-12-01,SH688004,1,True
2022-12-01,SH688701,2,True
2022-12-01,SH688215,3,True
2022-12-01,SH603729,4,True
2022-12-01,SH600768,5,True
2022-12-01,SH603709,6,True
2022-12-01,SH600455,7,True
2022-12-01,SZ300478,8,True
2022-12-01,SZ002719,9,True
2022-12-01,SZ300899,10,True
2023-01-03,SH688701,1,True
2023-01-03,SH688004,2,True
2023-01-03,SZ300478,3,True
2023-01-03,SH688081,4,True
2023-01-03,SH603709,5,True
2023-01-03,SH600768,6,True
2023-01-03,SH688215,7,True
2023-01-03,SH603729,8,True
2023-01-03,SZ300899,9,True
2023-01-03,SZ002816,10,True
2023-02-01,SH688701,1,True
2023-02-01,SZ300478,2,True
2023-02-01,SH603729,3,True
2023-02-01,SH688004,4,True
2023-02-01,SH603709,5,True
2023-02-01,SH688215,6,True
2023-02-01,SH688096,7,True
2023-02-01,SH688067,8,True
2023-02-01,SZ300899,9,True
2023-02-01,SH688565,10,True
2023-03-01,SH688701,1,True
2023-03-01,SZ300478,2,True
2023-03-01,SH603729,3,True
2023-03-01,SH688215,4,True
2023-03-01,SH688096,5,True
2023-03-01,SH688565,6,True
2023-03-01,SZ002816,7,True
2023-03-01,SZ300899,8,True
2023-03-01,SZ002856,9,True
2023-03-01,SH688067,10,True
2023-04-03,SH688701,1,True
2023-04-03,SZ300742,2,True
2023-04-03,SZ300478,3,True
2023-04-03,SH603030,4,True
2023-04-03,SZ002816,5,True
2023-04-03,SH688565,6,True
2023-04-03,SH603709,7,True
2023-04-03,SZ002652,8,True
2023-04-03,SH688215,9,True
2023-04-03,SZ002856,10,True
2023-05-04,SH688701,1,True
2023-05-04,SZ300478,2,True
2023-05-04,SH688565,3,True
2023-05-04,SH603709,4,True
2023-05-04,SZ300169,5,True
2023-05-04,SH603389,6,True
2023-05-04,SZ300417,7,True
2023-05-04,SZ002856,8,True
2023-05-04,SZ002652,9,True
2023-05-04,SH603729,10,True
2023-06-01,SZ300478,1,True
2023-06-01,SH688701,2,True
2023-06-01,SH688565,3,True
2023-06-01,SZ002652,4,True
2023-06-01,SZ000691,5,True
2023-06-01,SZ300169,6,True
2023-06-01,SH603709,7,True
2023-06-01,SZ000702,8,True
2023-06-01,SZ002856,9,True
2023-06-01,SH603389,10,True
