symbol,net_contribution
SH603218,-71325.10270675784
SH600067,-73129.26907109597
SZ002161,-76253.95823678514
SZ002063,-76892.19436501991
SZ300487,-77553.73604484322
SZ002749,-78373.79641709325
SH600666,-78415.10916306393
SZ000049,-79353.04635962727
SZ000922,-79402.83725665498
SH603306,-79621.83326749958
SZ000908,-80297.22892311768
SZ000055,-81076.93155711924
SZ000876,-81533.63749936386
SZ000024,-83054.22672438761
SH600705,-83627.29529825726
SZ002769,-83707.63826647867
SH600894,-84893.20063361851
SZ300146,-84994.30374778813
SH600211,-85442.11800374778
SZ002204,-86173.74105296924
SZ300319,-86334.8632858122
SZ002859,-86397.98996409797
SH603023,-86833.8108953461
SH600201,-86982.30942300562
SZ300525,-87169.50561256811
SZ000528,-87974.58827128913
SH600567,-88180.64249324123
SZ300630,-88297.6345332585
SZ002006,-89703.88571037113
SH600781,-89893.2079981598
SZ000789,-90037.55252773734
SH600569,-91445.12597487133
