symbol,net_contribution
SH600661,12827.630924202269
SH600259,11689.707872550294
SZ002244,10661.209902066737
SZ300432,10657.949022403336
SZ002311,10647.48255641514
SH600027,10129.60967092053
SZ002029,10086.8958620177
SZ000430,9756.85578298173
SH601318,9683.985898325103
SZ300357,9006.078446669038
SH600020,8670.945071999566
SZ002213,8435.427330062841
SZ002226,8206.280787797237
SH600505,8089.29494803393
SH600076,7563.0949562966125
SZ300156,7002.7280549675925
SZ000631,6822.361345403246
SZ000776,5778.375506317825
SH601628,5752.23623842618
SZ002056,5585.710545732989
SZ000736,4587.8870331317885
SH601515,4362.786126104649
SZ002932,4016.4440324087627
SZ300073,3114.3167299571214
SZ000607,1840.2461210271576
SZ002664,1555.7244887495071
SH600436,1535.2783806024818
SZ002304,1137.483553159691
SZ002335,496.8776150812628
SZ000002,390.5495926294243
SZ300673,51.190371673775644
SZ300284,-17.386300905513735
SH600053,-26.945085421320982
SZ300008,-32.80645013518324
SZ300288,-119.30463186969746
SZ300253,-560.1459982122419
SZ000650,-1167.8592444803216
SZ002293,-1385.1985789636383
SH601699,-1404.6294764965423
SZ000895,-1468.5378324608319
SH600420,-2385.065747557441
SZ300204,-2516.9563013820734
SZ002602,-2525.0694108210737
SZ002283,-2615.2917427277425
SZ002520,-3555.396428041655
SH603898,-4539.296586960787
SH600066,-5087.013998205075
SZ000737,-5238.513343499275
SZ000506,-5495.755970741797
SH600197,-6048.174863224442
SZ000031,-6172.051872415119
SH600346,-6732.825500944746
SZ000069,-7019.118421539199
SH600276,-7075.913584155962
SZ002127,-7116.655078738695
SZ002772,-7138.564187359647
SZ300315,-7278.272806417594
SH600106,-7282.670033076603
SZ002174,-7289.460125853948
SH603337,-7987.772493309807
SH603392,-8106.332805993268
SH600160,-8663.460467358585
SZ002269,-9075.010709235095
SH601166,-9958.926704547834
SZ002440,-10066.495063844253
SZ002116,-10853.198169373325
SH600557,-11166.084199286415
SZ000536,-11571.2037765758
SZ002746,-11680.927698714775
SZ000411,-12263.912664394884
SH600641,-12418.458895884221
SZ002221,-12924.085238920525
SZ300347,-13018.091708880784
SH600166,-13340.69848149037
SZ002108,-13766.907909112982
SZ002182,-14410.203841054346
SH603317,-15572.301710279891
SZ002014,-16049.79828518664
SZ000720,-16557.144861441222
SH600351,-16810.00041621877
SH600392,-17466.981790134567
SH600375,-17815.551269848947
SH600805,-18241.69891088159
SH601238,-18492.49915659905
SH600982,-19023.425638399203
SH600477,-19657.170679506497
SZ300415,-19873.263692501176
SH600782,-19974.222206777893
SZ002252,-20288.131001604837
SZ002065,-21494.01403408713
SZ300293,-21699.32186709391
SZ000933,-22662.974168551387
SZ002140,-22737.237274873187
SH600176,-23185.581327841268
SH600188,-23450.151340319775
SH600298,-24432.059832963976
SZ000400,-24782.74788196996
SH601127,-25318.561915815226
SH600293,-25638.841524654417
SZ002268,-26018.461494584684
SH600900,-26092.696130388067
SZ000858,-26753.283352665894
SH600369,-27197.35301473504
SH600332,-29100.677373534883
SZ002447,-29315.022227664245
SH600985,-29876.824295717175
SH600406,-30397.90483034076
SZ300228,-31323.073947017256
SZ300633,-31800.813154057018
SH600054,-32329.165948412032
SH600784,-32618.099421889812
SH600837,-32787.24805175688
SZ002305,-32964.750468469574
SH600637,-33506.194584131415
SZ002755,-33929.56083716976
SZ300197,-34084.47914179356
SZ300166,-34272.01464537182
SH600080,-34295.570094035415
SZ000425,-34550.48899299977
SZ000809,-35163.19071150897
SZ002210,-35445.54088237428
SZ300401,-35968.77342847746
