date,equity,cash,market_value,positions,gross_traded,benchmark_value,candidate_count,selected_count,target_exposure,daily_return,drawdown
2024-11-05,1542027.8757852344,153917.1655563846,1388110.7102288497,20,0.0,1.3434208631515503,32,20,0.95,0.023857654348414137,-0.3877618316560054
2024-11-06,1531289.011510376,153917.1655563846,1377371.8459539912,20,0.0,1.3366814851760864,32,20,0.95,-0.006964118122307017,-0.39202553057933787
2024-11-07,1563536.2695927033,153917.1655563846,1409619.1040363188,20,0.0,1.3770116567611694,32,20,0.95,0.021058897334162108,-0.37922225864601644
2024-11-08,1547858.8707129303,153917.1655563846,1393941.7051565456,20,0.0,1.3631774187088013,32,20,0.95,-0.010026885326975488,-0.3854467258721117
2024-11-11,1552545.6727050724,153917.1655563846,1398628.507148688,20,0.0,1.3721719980239868,32,20,0.95,0.0030279259180672202,-0.38358590408534676
2024-11-12,1531210.125834261,153917.1655563846,1377292.9602778764,20,0.0,1.357095718383789,32,20,0.95,-0.013742299016322956,-0.3920568509092822
2024-11-13,1532414.7682675724,153917.1655563846,1378497.6027111877,20,0.0,1.36544930934906,32,20,0.95,0.000786725749122752,-0.39157856637988986
2024-11-14,1514806.9558831123,153917.1655563846,1360889.7903267278,20,0.0,1.3417766094207764,32,20,0.95,-0.01149023929361248,-0.3985694742435476
2024-11-15,1488677.2298779674,153917.1655563846,1334760.064321583,20,0.0,1.3182634115219116,32,20,0.95,-0.017249541866482643,-0.4089438752773642
2024-11-18,1479395.71547104,153917.1655563846,1325478.5499146553,20,0.0,1.3121352195739746,32,20,0.95,-0.006234739284410429,-0.41262895611746386
2024-11-19,1499373.6064499724,153917.1655563846,1345456.4408935877,20,0.0,1.320940613746643,32,20,0.95,0.013504088710011963,-0.4046970454351818
2024-11-20,1499605.9831885118,153917.1655563846,1345688.8176321273,20,0.0,1.323890209197998,32,20,0.95,0.00015498254573764747,-0.4046047838677982
2024-11-21,1500600.0572164967,153917.1655563846,1346682.8916601122,20,0.0,1.3250627517700195,32,20,0.95,0.0006628901452307989,-0.40421010224650655
2024-11-22,1452485.2997812363,153917.1655563846,1298568.1342248518,20,0.0,1.2840083837509155,32,20,0.95,-0.03206367826248768,-0.42331331784011506
2024-11-25,1439381.3457535678,153917.1655563846,1285464.1801971833,20,0.0,1.2781591415405273,32,20,0.95,-0.009021746402281816,-0.4285160388401348
2024-11-26,1433236.98168416,153917.1655563846,1279319.8161277755,20,0.0,1.2755317687988281,32,20,0.95,-0.004268753438784523,-0.4309555629645462
2024-11-27,1467432.7905689026,153917.1655563846,1313515.6250125181,20,0.0,1.2977396249771118,32,20,0.95,0.02385914494374819,-0.4173786492618836
2024-11-28,1453212.5737239677,153917.1655563846,1299295.408167583,20,0.0,1.2862836122512817,32,20,0.95,-0.00969054047062834,-0.4230245650402634
2024-11-29,1473185.396346041,153917.1655563846,1319268.2307896563,20,0.0,1.3009084463119507,32,20,0.95,0.013743909860958192,-0.4150946666701897
2024-12-02,1487298.8091611417,151458.44034746982,1335840.3688136719,20,1280227.9654393692,1.3112218379974365,38,20,0.95,0.009580201412603184,-0.4094911557695843
2024-12-03,1478200.9254608492,151458.44034746982,1326742.4851133793,20,0.0,1.3126367330551147,38,20,0.95,-0.0061170516941541075,-0.41310332889559687
2024-12-04,1468357.821284503,151458.44034746982,1316899.380937033,20,0.0,1.3055518865585327,38,20,0.95,-0.006658840491036377,-0.4170113802132014
2024-12-05,1461684.503608008,151458.44034746982,1310226.063260538,20,0.0,1.30257248878479,38,20,0.95,-0.004544748956802125,-0.419660917134805
2024-12-06,1481372.1941551657,151458.44034746982,1329913.7538076958,20,0.0,1.319694995880127,38,20,0.95,0.013469179223396521,-0.41184422601735204
2024-12-09,1470789.94784708,151458.44034746982,1319331.50749961,20,0.0,1.3175128698349,38,20,0.95,-0.007143543229607419,-0.41604574221454027
2024-12-10,1488976.9444030148,151458.44034746982,1337518.504055545,20,0.0,1.3271684646606445,38,20,0.95,0.012365461555238877,-0.4088248782898761
2024-12-11,1498144.4383420488,151458.44034746982,1346685.997994579,20,0.0,1.324906587600708,38,20,0.95,0.00615690791821466,-0.4051850675019676
2024-12-12,1507395.087153002,151458.44034746982,1355936.646805532,20,0.0,1.338083028793335,38,20,0.95,0.006174737611541969,-0.4015122413663651
2024-12-13,1477054.5033801463,151458.44034746982,1325596.0630326765,20,0.0,1.3064221143722534,38,20,0.95,-0.020127824504297287,-0.41355849794011323
2024-12-16,1456167.1670160329,151458.44034746982,1304708.726668563,20,0.0,1.299333930015564,38,20,0.95,-0.014141208950864126,-0.42185148975820064
2024-12-17,1445451.4038948223,151458.44034746982,1293992.9635473525,20,0.0,1.3027186393737793,38,20,0.95,-0.007358882526632637,-0.42610601672801773
2024-12-18,1459060.7750083106,151458.44034746982,1307602.3346608407,20,0.0,1.3093152046203613,38,20,0.95,0.009415308655010612,-0.4207026277402586
2024-12-19,1488640.1323306374,151458.44034746982,1337181.6919831675,20,0.0,1.310500979423523,38,20,0.95,0.020272875420256797,-0.4089586042811546
2024-12-20,1512964.8459190154,151458.44034746982,1361506.4055715455,20,0.0,1.3046152591705322,38,20,0.95,0.016340224249022928,-0.3993008553346532
2024-12-23,1496791.3061167514,151458.44034746982,1345332.8657692815,20,0.0,1.3065518140792847,38,20,0.95,-0.010689964043705036,-0.40572230759221006
2024-12-24,1519012.8290130617,151458.44034746982,1367554.3886655918,20,0.0,1.3231993913650513,38,20,0.95,0.014846106337937925,-0.39689959777645967
2024-12-25,1515360.8236845376,151458.44034746982,1363902.3833370677,20,0.0,1.3238435983657837,38,20,0.95,-0.0024041965010243027,-0.39834956965325174
2024-12-26,1526586.101026244,151458.44034746982,1375127.6606787741,20,0.0,1.324458122253418,38,20,0.95,0.007407659724508742,-0.3938927479921388
2024-12-27,1523962.2540079588,151458.44034746982,1372503.813660489,20,0.0,1.3223156929016113,38,20,0.95,-0.0017187677894625608,-0.3949345056138496
2024-12-30,1532729.569337861,151458.44034746982,1381271.128990391,20,0.0,1.328301191329956,38,20,0.95,0.005752974069301642,-0.39145357951441695
2024-12-31,1486972.0680145044,151458.44034746982,1335513.6276670345,20,0.0,1.3069968223571777,38,20,0.95,-0.029853603818137175,-0.4096208832565391
2025-01-02,1438318.4269297086,136186.9571757519,1302131.4697539567,20,1227751.4031242372,1.268961787223816,37,20,0.95,-0.03271994284987556,-0.42893805421614506
2025-01-03,1420086.6025065507,136186.9571757519,1283899.6453307988,20,0.0,1.2539352178573608,37,20,0.95,-0.012675791453271024,-0.4361767163478004
2025-01-06,1412793.4065312103,136186.9571757519,1276606.4493554584,20,0.0,1.251879096031189,37,20,0.95,-0.005135740286872248,-0.43907236630032964
2025-01-07,1456557.2908449543,136186.9571757519,1320370.3336692024,20,0.0,1.2608938217163086,37,20,0.95,0.030976846375009748,-0.4216965971637172
2025-01-08,1467516.6133019123,136186.9571757519,1331329.6561261604,20,0.0,1.2586052417755127,37,20,0.95,0.007524127286885118,-0.41734536875033823
2025-01-09,1471934.1433366216,136186.9571757519,1335747.1861608697,20,0.0,1.2555029392242432,37,20,0.95,0.0030102078536404786,-0.4155914572033904
2025-01-10,1466759.0853205232,136186.9571757519,1330572.1281447713,20,0.0,1.239758849143982,37,20,0.95,-0.0035158217095008215,-0.4176461334453725
2025-01-13,1451110.075350241,136186.9571757519,1314923.1181744891,20,0.0,1.2364473342895508,37,20,0.95,-0.010669107235741104,-0.42385932929679226
2025-01-14,1501525.612598003,136186.9571757519,1365338.655422251,20,0.0,1.2690082788467407,37,20,0.95,0.034742738062509604,-0.4038426248873922
2025-01-15,1486449.2454940036,136186.9571757519,1350262.2883182517,20,0.0,1.2608672380447388,37,20,0.95,-0.01004069925781248,-0.4098284618012248
2025-01-16,1478132.0087072493,136186.9571757519,1341945.0515314974,20,0.0,1.2623120546340942,37,20,0.95,-0.0055953722012150875,-0.41313069122001067
2025-01-17,1507896.1433499323,136186.9571757519,1371709.1861741804,20,0.0,1.266284704208374,37,20,0.95,0.020136316964487033,-0.40131330480168736
2025-01-20,1521930.4081878976,136186.9571757519,1385743.4510121457,20,0.0,1.2720441818237305,37,20,0.95,0.009307182659667124,-0.39574121837356424
2025-01-21,1542614.0102277044,136186.9571757519,1406427.0530519525,20,0.0,1.273017406463623,37,20,0.95,0.013590373073913309,-0.3875291160980726
2025-01-22,1542877.60354595,136186.9571757519,1406690.646370198,20,0.0,1.2611960172653198,37,20,0.95,0.00017087444849961386,-0.3874244604735637
2025-01-23,1533889.1526737434,136186.9571757519,1397702.1954979915,20,0.0,1.2634280920028687,37,20,0.95,-0.005825770528750107,-0.3909931849983701
