execution_date,reported_holding_count,symbol,total_value
2022-03-01,8,SZ000702,14338070.6863
2022-03-01,8,SZ002209,14338070.6863
2022-03-01,8,SZ002633,14338070.6863
2022-03-01,8,SH600768,14338070.6863
2022-03-01,8,SH600778,14338070.6863
2022-03-01,8,SH603389,14338070.6863
2022-03-01,8,SH603709,14338070.6863
2022-03-01,8,SH603958,14338070.6863
2022-04-01,8,SZ002417,14258443.773
2022-04-01,8,SZ002633,14258443.773
2022-04-01,8,SZ300478,14258443.773
2022-04-01,8,SZ300736,14258443.773
2022-04-01,8,SH600455,14258443.773
2022-04-01,8,SH600768,14258443.773
2022-04-01,8,SH603709,14258443.773
2022-04-01,8,SH603958,14258443.773
2022-05-05,9,SZ002633,12275534.8322
2022-05-05,9,SZ002856,12275534.8322
2022-05-05,9,SZ002862,12275534.8322
2022-05-05,9,SZ300282,12275534.8322
2022-05-05,9,SH600455,12275534.8322
2022-05-05,9,SH600768,12275534.8322
2022-05-05,9,SH603389,12275534.8322
2022-05-05,9,SH603709,12275534.8322
2022-05-05,9,SH603958,12275534.8322
2022-06-01,8,SZ002633,13697336.0216
2022-06-01,8,SZ300417,13697336.0216
2022-06-01,8,SZ300736,13697336.0216
2022-06-01,8,SH600455,13697336.0216
2022-06-01,8,SH600768,13697336.0216
2022-06-01,8,SH603389,13697336.0216
2022-06-01,8,SH603709,13697336.0216
2022-06-01,8,SH603958,13697336.0216
2022-07-01,8,SZ002209,13979237.5727
2022-07-01,8,SZ300736,13979237.5727
2022-07-01,8,SZ300779,13979237.5727
2022-07-01,8,SH600455,13979237.5727
2022-07-01,8,SH600768,13979237.5727
2022-07-01,8,SH603269,13979237.5727
2022-07-01,8,SH603709,13979237.5727
2022-07-01,8,SH603729,13979237.5727
2022-08-01,8,SZ002719,15207031.0698
2022-08-01,8,SZ300478,15207031.0698
2022-08-01,8,SZ300736,15207031.0698
2022-08-01,8,SH600455,15207031.0698
2022-08-01,8,SH600768,15207031.0698
2022-08-01,8,SH603709,15207031.0698
2022-08-01,8,SH603729,15207031.0698
2022-08-01,8,SH603958,15207031.0698
2022-09-01,6,SZ002719,15500627.6105
2022-09-01,6,SZ300478,15500627.6105
2022-09-01,6,SH600455,15500627.6105
2022-09-01,6,SH600768,15500627.6105
2022-09-01,6,SH603709,15500627.6105
2022-09-01,6,SH603729,15500627.6105
2022-10-10,5,SZ002719,14328823.1203
2022-10-10,5,SH600455,14328823.1203
2022-10-10,5,SH600768,14328823.1203
2022-10-10,5,SH603709,14328823.1203
2022-10-10,5,SH603729,14328823.1203
2022-11-01,6,SZ002719,14928862.6337
2022-11-01,6,SZ300478,14928862.6337
2022-11-01,6,SH600455,14928862.6337
2022-11-01,6,SH600768,14928862.6337
2022-11-01,6,SH603709,14928862.6337
2022-11-01,6,SH603729,14928862.6337
2022-12-01,7,SZ002719,15488961.0923
2022-12-01,7,SZ300478,15488961.0923
2022-12-01,7,SZ300899,15488961.0923
2022-12-01,7,SH600455,15488961.0923
2022-12-01,7,SH600768,15488961.0923
2022-12-01,7,SH603709,15488961.0923
2022-12-01,7,SH603729,15488961.0923
2023-01-03,6,SZ002816,16668641.1369
2023-01-03,6,SZ300478,16668641.1369
2023-01-03,6,SZ300899,16668641.1369
2023-01-03,6,SH600768,16668641.1369
2023-01-03,6,SH603709,16668641.1369
2023-01-03,6,SH603729,16668641.1369
2023-02-01,4,SZ300478,17550202.0273
2023-02-01,4,SZ300899,17550202.0273
2023-02-01,4,SH603709,17550202.0273
2023-02-01,4,SH603729,17550202.0273
2023-03-01,5,SZ002816,17793870.5499
2023-03-01,5,SZ002856,17793870.5499
2023-03-01,5,SZ300478,17793870.5499
2023-03-01,5,SZ300899,17793870.5499
2023-03-01,5,SH603729,17793870.5499
2023-04-03,7,SZ002652,17281468.4395
2023-04-03,7,SZ002816,17281468.4395
2023-04-03,7,SZ002856,17281468.4395
2023-04-03,7,SZ300478,17281468.4395
2023-04-03,7,SZ300742,17281468.4395
2023-04-03,7,SH603030,17281468.4395
2023-04-03,7,SH603709,17281468.4395
2023-05-04,9,SZ002652,16942660.3056
2023-05-04,9,SZ002856,16942660.3056
2023-05-04,9,SZ300169,16942660.3056
2023-05-04,9,SZ300417,16942660.3056
2023-05-04,9,SZ300478,16942660.3056
2023-05-04,9,SH603030,16942660.3056
2023-05-04,9,SH603389,16942660.3056
2023-05-04,9,SH603709,16942660.3056
2023-05-04,9,SH603729,16942660.3056
2023-06-01,8,SZ000691,16568323.2294
2023-06-01,8,SZ000702,16568323.2294
2023-06-01,8,SZ002652,16568323.2294
2023-06-01,8,SZ002856,16568323.2294
2023-06-01,8,SZ300169,16568323.2294
2023-06-01,8,SZ300478,16568323.2294
2023-06-01,8,SH603389,16568323.2294
2023-06-01,8,SH603709,16568323.2294
