trade_date,symbol,shares,average_cost,close,market_value
2009-02-04,SH600158,120800,3.3109931812524795,6.0,724800.0
2009-02-04,SH600307,102500,3.9011703338861468,6.240000247955322,639600.0254154205
2009-02-04,SH600309,47700,8.372510885524749,14.339999198913574,684017.9617881775
2009-02-04,SH600376,83600,4.781433732891083,8.789999961853027,734843.9968109131
2009-02-04,SH600380,138400,2.8908668664455415,5.289999485015869,732135.9287261963
2009-02-04,SH600432,50800,7.872360408544541,15.270000457763672,775716.0232543945
2009-02-04,SH600456,42100,9.482843542099,18.600000381469727,783060.0160598755
2009-02-04,SH600595,78800,5.071521171712876,7.28000020980835,573664.016532898
2009-02-04,SH600748,67700,5.901769618415833,8.100000381469727,548370.0258255005
2009-02-04,SH600804,78500,5.091526675653458,11.119999885559082,872919.9910163879
2009-02-04,SH601111,115900,3.451034809207916,4.619999885559082,535457.9867362976
2009-02-04,SH601168,72700,5.501650000000001,9.170000076293945,666659.0055465698
2009-02-04,SH601588,160000,2.50075,3.3000001907348633,528000.0305175781
2009-02-04,SZ000572,162600,2.4607380381584165,4.069999694824219,661781.950378418
2009-02-04,SZ000581,96300,4.151245095396042,6.939999580383301,668321.9595909119
2009-02-04,SZ000751,168700,2.3707111240148544,3.5199999809265137,593823.9967823029
2009-02-04,SZ000755,102000,3.921175837826729,7.110000133514404,725220.0136184692
2009-02-04,SZ000878,55200,7.242172248029709,10.960000038146973,604992.0021057129
2009-02-04,SZ000960,45400,8.812642465782165,13.90000057220459,631060.0259780884
2009-02-04,SZ002097,58900,6.792037438821792,14.249999046325684,839324.9438285828
2009-02-04,SZ002202,24200,16.50495,33.0,798600.0
2009-02-05,SH600008,105800,3.781133732891083,5.570000171661377,589306.0181617737
2009-02-05,SH600026,54700,7.302189713811874,11.069999694824219,605528.9833068848
2009-02-05,SH600110,107500,3.7211160286188125,7.259999752044678,780449.9733448029
2009-02-05,SH600117,116200,3.4410320572376247,5.639999866485596,655367.9844856262
2009-02-05,SH600158,120800,3.3109931812524795,5.919999599456787,715135.9516143799
2009-02-05,SH600307,102500,3.9011703338861468,6.84999942779541,702124.9413490295
2009-02-05,SH600309,47700,8.372510885524749,13.649999618530273,651104.981803894
2009-02-05,SH600376,83600,4.781433732891083,8.899999618530273,744039.9681091309
2009-02-05,SH600380,138400,2.8908668664455415,5.259999752044678,727983.9656829834
2009-02-05,SH600432,50800,7.872360408544541,14.899999618530273,756919.9806213379
2009-02-05,SH600456,42100,9.482843542099,17.48999786376953,736328.9100646973
2009-02-05,SH600595,78800,5.071521171712876,7.12999963760376,561843.9714431763
2009-02-05,SH600748,67700,5.901769618415833,7.980000019073486,540246.001291275
2009-02-05,SH600804,78500,5.091526675653458,10.920000076293945,857220.0059890747
2009-02-05,SH601111,115900,3.451034809207916,4.890000343322754,566751.0397911072
2009-02-05,SH601168,72700,5.501650000000001,8.979999542236328,652845.966720581
2009-02-05,SH601588,160000,2.50075,3.2699999809265137,523199.9969482422
2009-02-05,SZ000572,162600,2.4607380381584165,3.929999828338623,639017.9720878601
2009-02-05,SZ000581,96300,4.151245095396042,6.599999904632568,635579.9908161163
2009-02-05,SZ000751,168700,2.3707111240148544,3.440000057220459,580328.0096530914
2009-02-05,SZ000755,102000,3.921175837826729,6.779999732971191,691559.9727630615
2009-02-05,SZ000878,55200,7.242172248029709,10.800000190734863,596160.0105285645
2009-02-05,SZ000960,45400,8.812642465782165,13.329999923706055,605181.9965362549
2009-02-05,SZ002097,58900,6.792037438821792,13.869999885559082,816942.9932594299
2009-02-05,SZ002202,24200,16.50495,32.150001525878906,778030.0369262695
2009-02-06,SH600008,105800,3.781133732891083,5.949999809265137,629509.9798202515
2009-02-06,SH600026,54700,7.302189713811874,11.520000457763672,630144.0250396729
2009-02-06,SH600110,107500,3.7211160286188125,7.5400004386901855,810550.047159195
2009-02-06,SH600117,116200,3.4410320572376247,5.880000114440918,683256.0132980347
2009-02-06,SH600158,120800,3.3109931812524795,6.230000019073486,752584.0023040771
2009-02-06,SH600307,102500,3.9011703338861468,6.84999942779541,702124.9413490295
2009-02-06,SH600309,47700,8.372510885524749,14.039999961853027,669707.9981803894
