execution_date,symbol,shares,market_value_at_open
2020-06-01,SH601000,35900,59524.55779314041
2020-06-01,SH601677,9800,59403.26614379883
2020-06-01,SH603357,8100,58992.191791534424
2020-06-01,SZ000581,3600,58785.97412109375
2020-06-01,SZ000600,12700,59106.15482330322
2020-06-01,SZ000922,10600,59511.27939224243
2020-06-01,SZ002234,2800,59260.25619506836
2020-06-01,SZ002270,12700,59514.34211730957
2020-06-01,SZ002440,7700,59068.60194206238
2020-06-01,SZ002583,9300,59109.50903892517
2020-06-01,SZ002884,6300,59558.01000595093
2020-07-01,SH600051,7600,62765.79666137695
2020-07-01,SH600064,10500,62760.98585128784
2020-07-01,SH600261,20800,63151.2451171875
2020-07-01,SH600273,8500,63007.359743118286
2020-07-01,SH600352,5200,62700.462341308594
2020-07-01,SH600382,15200,62827.38952636719
2020-07-01,SH600496,18500,62930.28151988983
2020-07-01,SH600566,2600,62861.955642700195
2020-07-01,SH600750,5700,62930.47857284546
2020-07-01,SH600777,41500,63085.18385887146
2020-07-01,SH601000,36500,63003.25798988342
2020-07-01,SH603357,8700,63049.22962188721
2020-07-01,SZ000600,12800,63151.77001953125
2020-07-01,SZ000922,10900,62872.66187667847
2020-07-01,SZ002234,2800,61134.66491699219
2020-07-01,SZ002270,12600,63165.139961242676
2020-07-01,SZ002394,7500,62561.26642227173
2020-07-01,SZ002440,7800,62992.00572967529
2020-07-01,SZ002583,8200,62428.50742340088
2020-07-01,SZ002884,6300,62203.42769622803
2020-08-03,SH600051,6500,73334.56563949585
2020-08-03,SH600064,10900,73540.51961898804
2020-08-03,SH600352,5100,73417.7659034729
2020-08-03,SH600382,16200,73940.02332687378
2020-08-03,SH600566,3000,72055.55534362793
2020-08-03,SH600750,6300,73210.83583831787
2020-08-03,SH601000,39200,74041.23668670654
2020-08-03,SH603357,9300,73849.58810806274
2020-08-03,SH603586,4200,73729.0225982666
2020-08-03,SZ000581,3800,73546.43249511719
2020-08-03,SZ000922,11000,73581.7813873291
2020-08-03,SZ002234,3200,73340.35034179688
2020-08-03,SZ002270,13100,73980.57641983032
2020-08-03,SZ002394,7500,73396.61836624146
2020-08-03,SZ002440,8600,74212.49771118164
2020-08-03,SZ002543,10100,73890.86298942566
2020-08-03,SZ002583,7900,73862.15515136719
2020-08-03,SZ002746,7900,73523.96020889282
2020-08-03,SZ002884,6900,73517.20161437988
2020-08-03,SZ300193,10100,73717.42238998413
2020-09-01,SH600051,7100,75756.42499923706
2020-09-01,SH600261,20800,76066.57829284668
2020-09-01,SH600273,8200,75555.95531463623
2020-09-01,SH600449,5000,75077.4335861206
2020-09-01,SH600668,4800,75069.75402832031
2020-09-01,SH600846,8300,75606.20565414429
2020-09-01,SH601000,37900,76302.65817642212
2020-09-01,SH601006,13400,76352.10037231445
2020-09-01,SH601677,9900,75709.61780548096
2020-09-01,SH601717,9600,76150.31433105469
2020-09-01,SZ000581,3500,75294.32010650635
2020-09-01,SZ002234,3300,75115.90003967285
2020-09-01,SZ002394,7500,76271.27408981323
2020-09-01,SZ002432,6800,75532.71903991699
2020-09-01,SZ002582,5000,75105.09490966797
2020-09-01,SZ002746,8300,76294.40269470215
2020-09-01,SZ002869,1500,75943.77136230469
2020-09-01,SZ002884,5600,75837.80517578125
2020-09-01,SZ002933,1900,74700.57754516602
2020-09-01,SZ300552,1500,71968.1339263916
2020-10-09,SH600051,7400,71571.78325653076
2020-10-09,SH600261,21400,71524.4074344635
2020-10-09,SH600449,5400,71009.81769561768
2020-10-09,SH600668,4900,70407.43389129639
2020-10-09,SH600750,7000,71162.26959228516
2020-10-09,SH601000,36900,71730.92132806778
2020-10-09,SH601006,13000,71584.82551574707
2020-10-09,SH601567,11600,71522.6505279541
2020-10-09,SH601677,9100,71238.1157875061
2020-10-09,SH601717,8200,71244.24095153809
2020-10-09,SH603758,10400,71423.38676452637
2020-10-09,SZ000922,11400,71339.9974822998
2020-10-09,SZ002234,3900,70479.7233581543
2020-10-09,SZ002270,13400,71292.99898147583
2020-10-09,SZ002394,7600,70941.79649353027
2020-10-09,SZ002432,7300,71447.20726013184
2020-10-09,SZ002582,5200,71155.7487487793
2020-10-09,SZ002746,9000,71274.39165115356
2020-10-09,SZ002869,1600,69908.14819335938
2020-10-09,SZ300552,1600,70157.7880859375
2020-11-02,SH600023,20900,70502.8635263443
2020-11-02,SH600051,8000,70438.07983398438
2020-11-02,SH600261,21100,70524.40009117126
2020-11-02,SH600449,5400,69430.21717071533
2020-11-02,SH600720,5300,70424.9044418335
2020-11-02,SH600750,7000,69768.0253982544
2020-11-02,SH601000,38100,70528.94353866577
2020-11-02,SH601006,12800,70378.25927734375
2020-11-02,SH603277,7100,69615.27872085571
2020-11-02,SH603556,5300,69953.5140991211
2020-11-02,SH603758,10200,70150.2233505249
2020-11-02,SZ000027,14000,70501.46675109863
2020-11-02,SZ000581,3100,68618.43566894531
2020-11-02,SZ000922,9000,70509.2625617981
2020-11-02,SZ002124,7000,69779.08706665039
2020-11-02,SZ002394,7100,69634.06171798706
2020-11-02,SZ002406,9900,70490.62829017639
2020-11-02,SZ002432,7400,69703.24401855469
2020-11-02,SZ002582,6000,70437.3722076416
2020-11-02,SZ300552,1800,67791.8930053711
2020-12-01,SH600051,8100,73150.56810379028
2020-12-01,SH600261,21100,73394.0889120102
2020-12-01,SH600449,5500,72673.35844039917
2020-12-01,SH600668,5200,73066.64123535156
2020-12-01,SH600720,5200,72143.85566711426
2020-12-01,SH600750,7500,72803.12776565552
2020-12-01,SH601000,36200,73448.34299087524
2020-12-01,SH601006,12500,72945.40405273438
2020-12-01,SH601677,7900,72868.27383041382
2020-12-01,SH603556,5300,72674.5698928833
2020-12-01,SZ000581,3200,71269.97680664062
2020-12-01,SZ000922,10000,73069.29111480713
2020-12-01,SZ002100,6000,72883.04901123047
2020-12-01,SZ002124,7000,72488.67511749268
2020-12-01,SZ002236,3600,72148.98834228516
2020-12-01,SZ002394,7100,72851.86538696289
2020-12-01,SZ002406,10600,72946.04568481445
2020-12-01,SZ002432,8400,72615.44036865234
2020-12-01,SZ002540,15100,73420.52717208862
2020-12-01,SZ300552,1800,70402.0523071289
2021-01-04,SH600023,20500,69858.20806026459
2021-01-04,SH600051,8300,69726.57461166382
2021-01-04,SH600261,22300,69986.23135089874
2021-01-04,SH600273,8700,69242.71187782288
2021-01-04,SH600449,5900,69462.08276748657
2021-01-04,SH600720,5600,69382.68814086914
2021-01-04,SH601000,36400,69888.23709487915
2021-01-04,SH601006,12600,69815.84758758545
2021-01-04,SH601088,4600,69284.82398986816
2021-01-04,SH601677,7100,69508.83722305298
2021-01-04,SH603556,5500,69345.15810012817
2021-01-04,SZ000581,3400,68211.4818572998
2021-01-04,SZ000922,8800,69285.09521484375
2021-01-04,SZ002100,6900,69100.73204040527
2021-01-04,SZ002124,6900,69720.74604034424
2021-01-04,SZ002236,3600,69001.61819458008
2021-01-04,SZ002381,9400,69992.01097488403
2021-01-04,SZ002394,7200,69073.99063110352
2021-01-04,SZ002406,11100,69454.73742485046
2021-01-04,SZ002432,8200,69663.02642822266
2021-02-01,SH600051,9000,66947.72672653198
2021-02-01,SH600261,22600,67466.11108779907
2021-02-01,SH600273,9500,67060.22381782532
2021-02-01,SH600449,6000,67288.94233703613
2021-02-01,SH600668,5600,66967.31643676758
2021-02-01,SH600720,5800,66917.1537399292
2021-02-01,SH601000,37800,67331.31308555603
2021-02-01,SH601006,12300,67437.70108222961
2021-02-01,SH601677,7200,66674.90615844727
2021-02-01,SH603556,5700,66751.24025344849
2021-02-01,SZ000531,10600,67142.64030456543
2021-02-01,SZ000883,20200,67333.12463760376
2021-02-01,SZ002100,6800,67154.79888916016
2021-02-01,SZ002124,7000,67120.12100219727
2021-02-01,SZ002322,7300,66973.4356880188
2021-02-01,SZ002381,8500,67167.20628738403
2021-02-01,SZ002394,7500,66667.07038879395
2021-02-01,SZ002406,11800,67130.79233169556
2021-02-01,SZ002432,8700,67021.27375602722
2021-02-01,SZ300771,4200,66068.58158111572
2021-03-01,SH600051,9300,71819.3904876709
2021-03-01,SH600261,23000,72373.2807636261
2021-03-01,SH600273,9400,72527.8772354126
2021-03-01,SH600449,5700,71966.0659790039
2021-03-01,SH600668,5700,72483.69827270508
2021-03-01,SH600720,5300,71540.08312225342
2021-03-01,SH601000,39200,72551.13248825073
2021-03-01,SH601006,12900,72588.48881721497
2021-03-01,SH601677,6500,72176.70106887817
2021-03-01,SH603556,6000,71908.4587097168
2021-03-01,SZ000531,11200,72524.78408813477
2021-03-01,SZ000581,3600,72196.97799682617
2021-03-01,SZ000690,12000,72325.09803771973
2021-03-01,SZ002100,6200,71864.21527862549
2021-03-01,SZ002381,8500,72170.23468017578
2021-03-01,SZ002394,7500,72036.73124313354
2021-03-01,SZ002406,12200,72159.61961746216
2021-03-01,SZ002432,9800,72155.77297210693
2021-03-01,SZ002540,16400,72247.21946716309
2021-03-01,SZ300552,2100,70870.62606811523
2021-04-01,SH600023,21100,77675.62460899353
2021-04-01,SH600261,23200,77738.5332107544
2021-04-01,SH600273,9000,77735.90183258057
2021-04-01,SH600449,5700,76876.42450332642
2021-04-01,SH600603,17400,77681.28690719604
2021-04-01,SH600668,5800,77165.71063995361
2021-04-01,SH600720,5700,76835.25266647339
2021-04-01,SH601000,35200,77666.90521240234
2021-04-01,SH601006,12800,77350.79956054688
2021-04-01,SH601677,5700,76700.5934715271
2021-04-01,SH603556,6100,77149.97129440308
2021-04-01,SZ000581,3800,77680.15594482422
2021-04-01,SZ000690,11400,77693.69144439697
2021-04-01,SZ002100,7700,77114.52598571777
2021-04-01,SZ002128,8600,77043.89476776123
2021-04-01,SZ002394,7900,77624.8743057251
2021-04-01,SZ002406,12900,77303.44462394714
2021-04-01,SZ002432,10200,77726.2264251709
2021-04-01,SZ300259,19500,77489.34996128082
2021-04-01,SZ300552,1900,74078.08227539062
