trade_date,event,symbol,amount,cash_after
2020-10-09,buy,SZ000922,-71504.12228050758,116009.27327859885
2020-10-09,buy,SZ002234,-10869.720431518554,105139.5528470803
2020-10-09,buy,SZ002270,-71457.0156549326,33682.53719214769
2020-10-09,buy,SZ002394,-940.3115800857545,32742.225612061935
2020-10-09,buy,SZ002432,-4908.431621551514,27833.79399051042
2020-10-09,buy,SZ002582,-2747.233086395264,25086.56090411516
2020-10-09,buy,SZ002746,-5559.650922679901,19526.90998143526
2020-10-09,buy,SZ002869,-4382.997780609131,15143.91220082613
2020-10-09,buy,SZ300552,-4398.631478881835,10745.280721944295
2020-11-02,sell,SH600261,994.710444640255,11739.99116658455
2020-11-02,sell,SH600668,66800.31825298158,78540.30941956613
2020-11-02,sell,SH601006,1091.3635196254731,79631.6729391916
2020-11-02,sell,SH601567,74918.3384827494,154550.011421941
2020-11-02,sell,SH601677,84698.57903390506,239248.59045584605
2020-11-02,sell,SH601717,78136.48329350831,317385.07374935434
2020-11-02,sell,SH603758,1366.3708427631377,318751.4445921175
2020-11-02,sell,SZ000922,18740.47075184715,337491.91534396465
2020-11-02,sell,SZ002234,56793.34776441725,394285.2631083819
2020-11-02,sell,SZ002270,69626.54789393663,463911.8110023185
2020-11-02,sell,SZ002394,4884.105549363137,468795.91655168164
2020-11-02,sell,SZ002746,64801.88551144723,533597.8020631289
2020-11-02,sell,SZ002869,61588.780694161374,595186.5827572903
2020-11-02,buy,SH600023,-70665.06241417301,524521.5203431173
2020-11-02,buy,SH600051,-5298.421699523926,519223.0986435934
2020-11-02,buy,SH600720,-70586.92397699237,448636.174666601
2020-11-02,buy,SH601000,-2230.826816558838,446405.34785004216
2020-11-02,buy,SH603277,-69775.43563108091,376629.9122189613
2020-11-02,buy,SH603556,-70114.44915365754,306515.46306530375
2020-11-02,buy,SZ000027,-70663.6624255062,235851.80063979753
2020-11-02,buy,SZ000581,-68776.2992420453,167075.50139775223
2020-11-02,buy,SZ002124,-69939.62083435593,97135.8805633963
2020-11-02,buy,SZ002406,-70652.79902962077,26483.081533775534
2020-11-02,buy,SZ002432,-948.8196014404296,25534.261932335103
2020-11-02,buy,SZ002582,-9415.432926940917,16118.829005394186
2020-11-02,buy,SZ300552,-7552.497421264648,8566.331584129537
2020-12-01,sell,SH600023,73587.83236618413,82154.16395031367
2020-12-01,sell,SH600720,1378.2224689966204,83532.38641931029
2020-12-01,sell,SH601000,3838.4661666110037,87370.8525859213
2020-12-01,sell,SH601006,1740.4411295532227,89111.29371547452
2020-12-01,sell,SH603277,89508.90039504049,178620.194110515
2020-12-01,sell,SH603758,89075.48405423056,267695.67816474556
2020-12-01,sell,SZ000027,72983.9009117197,340679.5790764653
2020-12-01,sell,SZ002582,68158.59502064325,408838.17409710854
