trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,minimum_adv20,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
grid_1412,63/126/252,4,0.4,2,0.05,3,0.9,20000000.0,1000000.0,3053,1.008839953917363,0.05926748624609446,0.3618346501374743,0.450369666497678,0.6935409926781713,0.1637971549258109,0.1544248356433859,101.23016811104759,8.35571646380085,191567.49621702766,0.007450902653249632,0.3046450784011092,1234,-0.2877889687284696,0.5224369472649852,0.3046450784011092,0.46173789636368173,0.8242612752721618,643
grid_1413,63/126/252,4,0.4,2,0.05,3,0.95,20000000.0,1000000.0,3053,0.776535710560424,0.04857686840857456,0.36752882141517407,0.38186762312256156,0.5836630369002074,0.13217158921449684,0.15636678746151353,93.63293941821568,7.72862781964964,168870.47294060807,0.006737003451678643,0.30418551668573296,1257,-0.30217726057022776,0.519489027186374,0.30418551668573296,0.44552565313852394,0.8242612752721618,643
grid_1414,63/126/252,4,0.4,2,0.1,1,0.85,20000000.0,1000000.0,3053,1.0387077640130529,0.06055868536019071,0.3421277255423514,0.4755229429619888,0.7321720226294005,0.17700607357732034,0.1462066316947407,109.8855590577315,9.070147685079704,208854.32185445557,0.006926267702914783,0.22767286217821708,1236,-0.2766632394311549,0.5227644939403865,0.22767286217821708,0.4599762404468405,0.6111975116640747,643
grid_1415,63/126/252,4,0.4,2,0.1,1,0.9,20000000.0,1000000.0,3053,1.09821065210296,0.06308010553377885,0.3264083332491069,0.4856934296324679,0.7481061449313908,0.1932551932907842,0.14883566600977471,105.14188463504817,8.678596438923071,203163.37676332775,0.007266182486122969,0.22850705668396126,1233,-0.2517603914684877,0.5250573206681952,0.22850705668396126,0.4456693877904414,0.6111975116640747,643
grid_1416,63/126/252,4,0.4,2,0.1,1,0.95,20000000.0,1000000.0,3053,0.8446138740891409,0.051836666767914874,0.33366976674958093,0.4109198873337122,0.6302716368170045,0.1553532022780424,0.15074200916558414,102.90278336816522,8.493777074607806,191683.7539558648,0.007152732175448345,0.22792683593630628,1234,-0.2536805980283804,0.523419587291189,0.22792683593630628,0.4629606279526415,0.6111975116640747,643
grid_1417,63/126/252,4,0.4,2,0.1,2,0.85,20000000.0,1000000.0,3053,1.0381676619613618,0.060535491017130516,0.34089472639193374,0.4775587239162743,0.7364254506060778,0.1775782560729074,0.1452389580393792,104.06648395394585,8.589830971632608,198135.60640559057,0.007103914049415173,0.22767236004565744,1236,-0.281299688026037,0.5230920406157877,0.22767236004565744,0.459936699600516,0.6111975116640747,643
grid_1418,63/126/252,4,0.4,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.0892199725091802,0.06270336849346148,0.3309176565801677,0.484044373657459,0.7446539944733406,0.1894832966649848,0.14851066636971927,100.20400946605432,8.271015520945197,193917.6115442336,0.0065901985064181915,0.22847030582951477,1233,-0.2572236253822885,0.5276776940714052,0.22847030582951477,0.44804491899399784,0.6111975116640747,643
grid_1419,63/126/252,4,0.4,2,0.1,2,0.95,20000000.0,1000000.0,3053,0.8879038195741851,0.053852583185195035,0.3377706490366972,0.42395597644766103,0.6500179023635942,0.15943535454835867,0.1505604587707334,95.25989162441505,7.862919321766325,178956.0335607734,0.005720780010303924,0.2276737705747052,1236,-0.2655286339583647,0.5240746806419915,0.2276737705747052,0.46083760089508635,0.6111975116640747,643
grid_1420,63/126/252,4,0.4,2,0.1,3,0.85,20000000.0,1000000.0,3053,0.9983494908129413,0.058809796365864475,0.34650701764380787,0.4665741270816018,0.7188695626558889,0.16972180467155226,0.14513596970852385,101.58071762635115,8.384651438532751,192386.92525557286,0.007944773832911938,0.22695109097523455,1236,-0.2838605511657718,0.5217818539141827,0.22695109097523455,0.4599779927801262,0.6111975116640747,643
grid_1421,63/126/252,4,0.4,2,0.1,3,0.9,20000000.0,1000000.0,3053,1.0153230995444513,0.05954924519012561,0.335774536195926,0.4635976704325588,0.7123971328274071,0.17734890163135641,0.14871894824213983,95.56847865846774,7.888390639349449,182181.87104192752,0.007806510214402003,0.22892336740472377,1234,-0.266062702367153,0.524729773992794,0.22892336740472377,0.4610813813025025,0.6111975116640747,643
