trade_date,symbol,active_net_pnl_contribution,active_return_contribution
2025-12-01,SH518880,0.0,0.0
2025-12-01,SH515880,4256.000000000004,0.0022791982510866004
2025-12-01,SZ159796,691.2000000000005,0.0003701555054396283
2025-12-01,SH561330,4716.399999999984,0.002525754377684398
2025-12-02,SH510300,0.0,0.0
2025-12-02,SH511010,0.0,0.0
2025-12-02,SH518880,0.0,0.0
2025-12-02,SH515880,616.0000000000068,0.00032650054650003795
2025-12-02,SZ159796,-2592.0000000000023,-0.001373846455402743
2025-12-02,SH561330,-2358.199999999982,-0.0012499246570720375
2025-12-03,SH510300,0.0,0.0
2025-12-03,SH511010,0.0,0.0
2025-12-03,SH518880,0.0,0.0
2025-12-03,SH515880,-1399.999999999995,-0.0007454754975046793
2025-12-03,SZ159796,-2246.400000000002,-0.0011961686839960849
2025-12-03,SH561330,997.6999999999908,0.0005312577884717245
2025-12-04,SH510300,0.0,0.0
2025-12-04,SH511010,0.0,0.0
2025-12-04,SH518880,0.0,0.0
2025-12-04,SH515880,1231.9999999999886,0.0006580174791655229
2025-12-04,SZ159796,1036.8000000000009,0.0005537601642847574
2025-12-04,SH561330,181.4000000000001,9.68866645459635e-05
2025-12-05,SH510300,0.0,0.0
2025-12-05,SH511010,0.0,0.0
2025-12-05,SH518880,0.0,0.0
2025-12-05,SH515880,1623.9999999999952,0.0008663122887743388
2025-12-05,SZ159796,1382.4000000000012,0.0007374323325133316
2025-12-05,SH561330,3537.2999999999934,0.001886949790074798
2025-12-08,SH510300,0.0,0.0
2025-12-08,SH511010,0.0,0.0
2025-12-08,SH518880,0.0,0.0
2025-12-08,SH515880,20.742400000000202,1.0981511737656279e-05
2025-12-08,SZ159796,3456.000000000003,0.0018296872379926993
2025-12-08,SH561330,1088.400000000001,0.0005762244183539508
2025-12-08,SZ159583,9446.768640000024,0.005001340283818772
2025-12-09,SH510300,0.0,0.0
2025-12-09,SH511010,0.0,0.0
2025-12-09,SH518880,0.0,0.0
2025-12-09,SZ159796,-1555.2000000000014,-0.0008159220680064644
2025-12-09,SH561330,-5169.899999999994,-0.002712342785099416
2025-12-09,SZ159583,4915.200000000004,0.002578716659378455
2025-12-10,SH510300,0.0,0.0
2025-12-10,SH511010,0.0,0.0
2025-12-10,SH518880,0.0,0.0
2025-12-10,SZ159796,-1382.4000000000012,-0.0007277942160805941
2025-12-10,SH561330,1632.6000000000015,0.0008595173880014308
2025-12-10,SZ159583,3071.9999999999686,0.0016173204801790799
2025-12-11,SH510300,0.0,0.0
2025-12-11,SH511010,0.0,0.0
2025-12-11,SH518880,0.0,0.0
2025-12-11,SZ159796,-1900.8000000000018,-0.0009984421102736455
2025-12-11,SH561330,-1088.4000000000008,-0.0005717089608700734
2025-12-11,SZ159583,-7219.19999999999,-0.0037920629642716145
2025-12-12,SH510300,0.0,0.0
2025-12-12,SH511010,0.0,0.0
2025-12-12,SH518880,0.0,0.0
2025-12-12,SZ159796,172.80000000000015,9.141588784577707e-05
2025-12-12,SH561330,1723.2999999999915,0.0009116724509527008
2025-12-12,SZ159583,2150.4000000000024,0.0011376199376363371
2025-12-15,SH510300,0.0,0.0
2025-12-15,SH511010,0.0,0.0
2025-12-15,SH518880,0.0,0.0
2025-12-15,SZ159796,-1767.0355200000015,-0.0009293820927285525
2025-12-15,SH561330,-2019.0454899999816,-0.0010619281285360505
2025-12-15,SZ159583,-3532.799999999986,-0.001858095674947957
2025-12-15,SH515880,-1925.6614000000159,-0.0010128122505531792
2025-12-15,SH560860,921.1078800000009,0.00048446177762355365
2025-12-16,SH510300,0.0,0.0
2025-12-16,SH511010,0.0,0.0
2025-12-16,SH518880,0.0,0.0
2025-12-16,SZ159583,-4608.000000000004,-0.0024333538273068325
2025-12-16,SH515880,-5038.79999999999,-0.002660847062724313
2025-12-16,SH560860,-3545.099999999993,-0.00187206654800031
2025-12-17,SH510300,0.0,0.0
2025-12-17,SH511010,0.0,0.0
2025-12-17,SH518880,0.0,0.0
2025-12-17,SZ159583,9062.39999999999,0.004843841720563585
2025-12-17,SH515880,10142.200000000003,0.005420993500430356
2025-12-17,SH560860,3726.8999999999933,0.0019920234935964436
2025-12-18,SH510300,0.0,0.0
2025-12-18,SH511010,0.0,0.0
2025-12-18,SH518880,0.0,0.0
2025-12-18,SZ159583,-1996.7999999999847,-0.0010475462648756465
2025-12-18,SH515880,-3811.4000000000106,-0.001999508129981511
2025-12-18,SH560860,-545.4000000000004,-0.00028612366429446237
2025-12-19,SH510300,0.0,0.0
2025-12-19,SH511010,0.0,0.0
2025-12-19,SH518880,0.0,0.0
2025-12-19,SZ159583,1228.800000000001,0.0006478920732973833
2025-12-19,SH515880,1227.4000000000083,0.0006471539150107526
2025-12-19,SH560860,3545.100000000013,0.0018691749585339843
2025-12-22,SH510300,0.0,0.0
2025-12-22,SH511010,0.0,0.0
2025-12-22,SH518880,0.0,0.0
2025-12-22,SZ159583,7372.799999999972,0.0038699432467540966
2025-12-22,SH515880,3559.292039999982,0.0018682533356965596
2025-12-22,SH560860,2454.299999999992,0.0012882489299192415
2025-12-22,SH562800,2328.517920000002,0.0012222265895521292
2025-12-23,SH510300,0.0,0.0
2025-12-23,SH511010,0.0,0.0
2025-12-23,SH518880,0.0,0.0
2025-12-23,SZ159583,-1843.2000000000016,-0.0009538259895469748
2025-12-23,SH560860,0.0,0.0
2025-12-23,SH562800,1933.2000000000016,0.0010003995241928232
2025-12-24,SH510300,0.0,0.0
2025-12-24,SH511010,0.0,0.0
2025-12-24,SH518880,0.0,0.0
2025-12-24,SZ159583,3072.0000000000027,0.001584384675149102
2025-12-24,SH560860,727.2000000000006,0.00037505355982045147
2025-12-24,SH562800,1074.000000000001,0.0005539157360384555
2025-12-25,SH510300,0.0,0.0
2025-12-25,SH511010,0.0,0.0
2025-12-25,SH518880,0.0,0.0
2025-12-25,SZ159583,1382.4000000000183,0.0007104677192109578
2025-12-25,SH560860,-636.3000000000106,-0.00032701867023577404
2025-12-25,SH562800,-1074.000000000001,-0.0005519692783800342
2025-12-26,SH510300,0.0,0.0
2025-12-26,SH511010,0.0,0.0
2025-12-26,SH518880,0.0,0.0
2025-12-26,SZ159583,153.59999999998308,7.902113089523352e-05
2025-12-26,SH560860,5181.300000000015,0.0026655741243979147
2025-12-26,SH562800,5799.599999999981,0.0029836650438805033
2025-12-29,SH510300,0.0,0.0
2025-12-29,SH511010,0.0,0.0
2025-12-29,SH518880,0.0,0.0
2025-12-29,SZ159583,614.4000000000005,0.0003134233643238516
2025-12-29,SH560860,-2817.9000000000124,-0.0014374929985810296
2025-12-29,SH562800,-5584.799999999981,-0.0028489694093031233
2025-12-30,SH510300,0.0,0.0
2025-12-30,SH511010,0.0,0.0
2025-12-30,SH518880,0.0,0.0
2025-12-30,SZ159583,614.4000000000005,0.00031566205095648385
2025-12-30,SH560860,2908.800000000002,0.0014944625224971029
2025-12-30,SH562800,2362.800000000002,0.0012139425358072592
2025-12-31,SH510300,0.0,0.0
2025-12-31,SH511010,0.0,0.0
2025-12-31,SH518880,0.0,0.0
2025-12-31,SZ159583,-614.4000000000005,-0.0003156229721400182
2025-12-31,SH560860,1818.0000000000016,0.0009339234429533742
2025-12-31,SH562800,1074.000000000001,0.0005517237501275709
2026-01-05,SH510300,0.0,0.0
2026-01-05,SH511010,0.0,0.0
2026-01-05,SH518880,0.0,0.0
2026-01-05,SZ159583,3379.200000000003,0.0017379340582099273
2026-01-05,SH560860,3726.8999999999933,0.0019167573513087597
2026-01-05,SH562800,5584.799999999981,0.0028722816430784685
2026-01-06,SH510300,0.0,0.0
2026-01-06,SH511010,0.0,0.0
2026-01-06,SH518880,0.0,0.0
2026-01-06,SZ159583,1536.0000000000014,0.0007780149837095867
2026-01-06,SH560860,6453.900000000016,0.0032690305360438218
2026-01-06,SH562800,7947.600000000007,0.004025619716491088
2026-01-07,SH510300,0.0,0.0
2026-01-07,SH511010,0.0,0.0
2026-01-07,SH518880,0.0,0.0
2026-01-07,SZ159583,1536.0000000000014,0.0007673372188864011
2026-01-07,SH560860,2454.299999999992,0.0012260909741620353
2026-01-07,SH562800,3651.600000000003,0.0018242243414619676
2026-01-08,SH510300,0.0,0.0
2026-01-08,SH511010,0.0,0.0
2026-01-08,SH518880,0.0,0.0
2026-01-08,SZ159583,153.6000000000172,7.661227825286048e-05
2026-01-08,SH560860,-2908.8000000000025,-0.0014508450194133842
2026-01-08,SH562800,-4296.000000000004,-0.0021427496573844535
2026-01-09,SH510300,0.0,0.0
2026-01-09,SH511010,0.0,0.0
2026-01-09,SH518880,0.0,0.0
2026-01-09,SZ159583,3379.200000000003,0.001695177205698648
2026-01-09,SH560860,6363.0000000000055,0.003192001822875384
2026-01-09,SH562800,6229.1999999999825,0.0031248809924650746
2026-01-12,SH510300,0.0,0.0
2026-01-12,SH511010,0.0,0.0
2026-01-12,SH518880,0.0,0.0
2026-01-12,SZ159583,13977.599999999995,0.00693754339708171
2026-01-12,SH560860,1636.2000000000012,0.000812099967541288
2026-01-12,SH562800,5584.800000000005,0.0027719202412447045
2026-01-13,SH510300,0.0,0.0
2026-01-13,SH511010,0.0,0.0
2026-01-13,SH518880,0.0,0.0
2026-01-13,SZ159583,-12902.40000000001,-0.0063064532420305216
