entry_date,symbol,local_symbol,exit_date
2020-04-23,512170.XSHG,SH512170,2020-04-27
2020-04-27,513100.XSHG,SH513100,2020-04-29
2020-04-29,512170.XSHG,SH512170,2020-04-30
2020-04-30,513100.XSHG,SH513100,2020-05-07
2020-05-07,512690.XSHG,SH512690,2020-05-18
2020-05-18,159995.XSHE,SZ159995,2020-05-19
2020-05-19,513100.XSHG,SH513100,2020-05-20
2020-05-20,512690.XSHG,SH512690,2020-05-21
2020-05-21,513100.XSHG,SH513100,2020-05-25
2020-05-25,513520.XSHG,SH513520,2020-06-02
2020-06-02,512690.XSHG,SH512690,2020-06-04
2020-06-04,513030.XSHG,SH513030,2020-06-05
2020-06-05,512690.XSHG,SH512690,2020-06-10
2020-06-10,513520.XSHG,SH513520,2020-06-12
2020-06-12,512690.XSHG,SH512690,2020-06-16
2020-06-16,515030.XSHG,SH515030,2020-06-22
2020-06-22,512290.XSHG,SH512290,2020-06-24
2020-06-24,512120.XSHG,SH512120,2020-07-01
2020-07-01,159967.XSHE,SZ159967,2020-07-09
2020-07-09,515650.XSHG,SH515650,2020-07-10
2020-07-10,512120.XSHG,SH512120,2020-07-13
2020-07-13,515880.XSHG,SH515880,2020-07-14
2020-07-14,510660.XSHG,SH510660,2020-07-15
2020-07-15,512750.XSHG,SH512750,2020-07-16
2020-07-16,515150.XSHG,SH515150,2020-07-17
2020-07-17,159980.XSHE,SZ159980,2020-07-23
2020-07-23,512100.XSHG,SH512100,2020-07-24
2020-07-24,159807.XSHE,SZ159807,2020-07-27
2020-07-27,513030.XSHG,SH513030,2020-07-30
2020-07-30,512290.XSHG,SH512290,2020-07-31
2020-07-31,515960.XSHG,SH515960,2020-08-10
2020-08-10,159992.XSHE,SZ159992,2020-08-11
2020-08-11,510660.XSHG,SH510660,2020-08-12
2020-08-12,518880.XSHG,SH518880,2020-08-14
2020-08-14,513500.XSHG,SH513500,2020-08-21
2020-08-21,513100.XSHG,SH513100,2020-08-25
2020-08-25,513500.XSHG,SH513500,2020-08-27
2020-08-27,513100.XSHG,SH513100,2020-08-31
2020-08-31,512690.XSHG,SH512690,2020-09-07
2020-09-07,513100.XSHG,SH513100,2020-09-18
2020-09-18,159985.XSHE,SZ159985,2020-09-24
2020-09-25,159985.XSHE,SZ159985,2020-10-12
2020-10-13,159985.XSHE,SZ159985,2020-10-14
2020-10-15,515700.XSHG,SH515700,2020-10-23
2020-10-23,159985.XSHE,SZ159985,2020-10-30
2020-10-30,515030.XSHG,SH515030,2020-11-02
2020-11-02,159985.XSHE,SZ159985,2020-11-03
2020-11-04,515700.XSHG,SH515700,2020-11-06
2020-11-06,512690.XSHG,SH512690,2020-11-16
2020-11-16,513520.XSHG,SH513520,2020-11-23
2020-11-23,512400.XSHG,SH512400,2020-11-24
2020-11-24,510410.XSHG,SH510410,2020-11-26
2020-11-26,513520.XSHG,SH513520,2020-12-02
2020-12-02,515220.XSHG,SH515220,2020-12-03
2020-12-03,510410.XSHG,SH510410,2020-12-04
2020-12-04,512800.XSHG,SH512800,2020-12-08
2020-12-08,512660.XSHG,SH512660,2020-12-09
2020-12-09,159981.XSHE,SZ159981,2020-12-10
2020-12-10,159980.XSHE,SZ159980,2020-12-18
2020-12-18,159981.XSHE,SZ159981,2020-12-23
2020-12-23,512690.XSHG,SH512690,2020-12-28
2020-12-28,515700.XSHG,SH515700,2020-12-29
2020-12-29,512010.XSHG,SH512010,2020-12-30
2020-12-30,159967.XSHE,SZ159967,2021-01-06
2021-01-06,512770.XSHG,SH512770,2021-01-07
2021-01-07,510630.XSHG,SH510630,2021-01-08
2021-01-08,512400.XSHG,SH512400,2021-01-11
2021-01-11,159928.XSHE,SZ159928,2021-01-12
2021-01-12,159985.XSHE,SZ159985,2021-01-14
2021-01-14,159915.XSHE,SZ159915,2021-01-15
2021-01-15,515000.XSHG,SH515000,2021-01-18
2021-01-18,159985.XSHE,SZ159985,2021-01-19
2021-01-19,159995.XSHE,SZ159995,2021-01-20
2021-01-20,159985.XSHE,SZ159985,2021-01-22
2021-01-22,159949.XSHE,SZ159949,2021-01-25
2021-01-25,159997.XSHE,SZ159997,2021-01-26
2021-01-26,159822.XSHE,SZ159822,2021-01-27
2021-01-27,512770.XSHG,SH512770,2021-01-29
2021-01-29,513520.XSHG,SH513520,2021-02-01
2021-02-08,513100.XSHG,SH513100,2021-02-09
2021-02-09,513050.XSHG,SH513050,2021-02-24
2021-02-24,159980.XSHE,SZ159980,2021-03-12
2021-03-12,513030.XSHG,SH513030,2021-03-19
2021-03-19,515210.XSHG,SH515210,2021-03-22
2021-03-22,513030.XSHG,SH513030,2021-04-09
2021-04-09,513090.XSHG,SH513090,2021-04-12
2021-04-12,513500.XSHG,SH513500,2021-04-13
2021-04-13,513100.XSHG,SH513100,2021-04-21
