execution_date,symbol,shares,market_value_at_open
2020-10-09,SH600449,60100,790312.9710197449
2020-10-09,SH600668,55000,790287.5232696533
2020-10-09,SH600720,56400,789227.3620605469
2020-10-09,SH601000,406600,790400.8837938309
2020-10-09,SH601006,143500,790186.3431930542
2020-10-09,SH601677,100900,789881.9651603699
2020-10-09,SH601717,90900,789768.4759140015
2020-10-09,SH603012,111600,789884.160232544
2020-10-09,SH603556,61400,789940.0295257568
2020-10-09,SZ000027,156600,790048.8787651062
2020-10-09,SZ000922,126300,790372.0773696899
2020-10-09,SZ002394,84600,789694.2083358765
2020-10-09,SZ002403,92900,789670.5543518066
2020-10-09,SZ002406,119600,790323.1065750122
2020-10-09,SZ002432,80700,789834.1953277588
2020-10-09,SZ002869,18000,786466.667175293
2020-10-09,SZ300552,18000,789275.1159667969
2020-11-02,SH600023,235000,792735.5468273163
2020-11-02,SH600067,220700,792658.6351394653
2020-11-02,SH600261,237200,792814.5830154419
2020-11-02,SH600368,273900,792849.4626045227
2020-11-02,SH600449,61600,792018.773651123
2020-11-02,SH600668,57900,791945.7346916199
2020-11-02,SH600720,59600,791947.9820251465
2020-11-02,SH603277,80800,792241.4817810059
2020-11-02,SH603886,52200,792611.4217758179
2020-11-02,SZ000069,128700,792593.697309494
2020-11-02,SZ000581,35800,792432.2570800781
2020-11-02,SZ000791,221400,744337.9822254181
2020-11-02,SZ000883,210800,792761.5381240845
2020-11-02,SZ000910,51400,792553.0534744263
2020-11-02,SZ000922,101200,792837.4856948853
2020-11-02,SZ002033,132100,792560.0012302399
2020-11-02,SZ002124,79500,792491.060256958
2020-11-02,SZ002236,36100,791127.1263122559
2020-11-02,SZ002724,110900,792713.5439395905
2020-11-02,SZ300552,21000,790905.4183959961
2020-12-01,SH600023,235000,830160.3662967682
2020-12-01,SH600067,208700,833723.5861063004
2020-12-01,SH600261,239700,833770.7636117935
2020-12-01,SH600368,275700,833726.4431476593
2020-12-01,SH600449,63100,833761.6213798523
2020-12-01,SH600720,60000,832429.1038513184
2020-12-01,SH603556,60800,833700.7263183594
2020-12-01,SH603886,55200,832364.037322998
2020-12-01,SZ000069,121600,833350.9124755859
2020-12-01,SZ000581,37400,832967.8539276123
2020-12-01,SZ000883,214100,833543.138051033
2020-12-01,SZ000910,54500,832600.2655029297
2020-12-01,SZ000922,114100,833720.6116199493
2020-12-01,SZ002033,134100,833307.2775363922
2020-12-01,SZ002124,80500,833619.7638511658
2020-12-01,SZ002236,41600,833721.6430664062
2020-12-01,SZ002312,141800,825720.5286979675
2020-12-01,SZ002382,44600,832675.4531860352
2020-12-01,SZ300552,21300,833090.9523010254
2020-12-01,SZ300625,56300,832786.9050979614
2021-01-04,SH600023,234500,799109.7458600998
2021-01-04,SH600067,220700,799180.2315711975
2021-01-04,SH600261,254600,799035.6278896332
2021-01-04,SH600368,267100,799068.2782411575
2021-01-04,SH600449,67800,798225.290107727
2021-01-04,SH600720,64500,799139.8901939392
2021-01-04,SH603556,63300,798099.728679657
2021-01-04,SH603886,55300,798025.1627922058
2021-01-04,SZ000581,39800,798475.581741333
2021-01-04,SZ000612,117900,798994.801568985
2021-01-04,SZ000883,217400,799037.1472835541
2021-01-04,SZ000910,60800,798608.9996337891
2021-01-04,SZ000922,101500,799140.5868530273
2021-01-04,SZ002100,79800,799164.9879455566
