model,trade_date,cash,positions_value,total_value,daily_return,cash_ratio,holdings
b1,2017-01-18,14956.846307712163,1431764.4,1446721.246307712,-0.005384471156268056,0.010338443805871156,SH513100;SH518880;SZ159915
b1,2017-01-19,14956.846307712163,1428082.7,1443039.546307712,-0.002544857905001585,0.010364820802023108,SH513100;SH518880;SZ159915
b1,2017-01-20,14956.846307712163,1437627.5,1452584.3463077121,0.006614371743603353,0.010296714504552247,SH513100;SH518880;SZ159915
b1,2017-01-23,14956.846307712163,1440739.8,1455696.6463077122,0.0021425950292739415,0.010274699983440445,SH513100;SH518880;SZ159915
b1,2017-01-24,14956.846307712163,1436232.8,1451189.6463077122,-0.0030961120996134683,0.010306610404620192,SH513100;SH518880;SZ159915
b1,2017-01-25,14956.846307712163,1437528.5,1452485.3463077121,0.0008928536689167821,0.010297416318679696,SH513100;SH518880;SZ159915
b1,2017-01-26,14956.846307712163,1446261.5,1461218.3463077121,0.00601245308408771,0.010235873608831941,SH513100;SH518880;SZ159915
b1,2017-02-03,15024.688281572166,1448156.0,1463180.6882815722,0.0013429491758152334,0.010268511880933763,SH513100;SH518880;SZ159915
b1,2017-02-06,15024.688281572166,1459393.7,1474418.3882815721,0.007680322799501926,0.010190247490797623,SH513100;SH518880;SZ159915
b1,2017-02-07,15024.688281572166,1459702.5,1474727.1882815722,0.00020943851653942858,0.010188113707376415,SH513100;SH518880;SZ159915
b1,2017-02-08,15024.688281572166,1467601.5,1482626.1882815722,0.005356244912799291,0.010133834408379384,SH513100;SH518880;SZ159915
b1,2017-02-09,15024.688281572166,1475084.9,1490109.588281572,0.005047394993523913,0.010082941818325574,SH513100;SH518880;SZ159915
b1,2017-02-10,15024.688281572166,1472551.9,1487576.588281572,-0.001699874975585547,0.010100110743829653,SH513100;SH518880;SZ159915
b1,2017-02-13,15024.688281572166,1476998.7999999998,1492023.488281572,0.002989358689179822,0.010070007878278612,SH513100;SH518880;SZ159915
b1,2017-02-14,15024.688281572166,1475315.0,1490339.6882815722,-0.0011285345125090496,0.010081385069263168,SH513100;SH518880;SZ159915
b1,2017-02-15,15024.688281572166,1472586.0,1487610.6882815722,-0.0018311261663752632,0.010099879222384506,SH513100;SH518880;SZ159915
b1,2017-02-16,15024.688281572166,1479500.8,1494525.4882815722,0.004648259154407919,0.01005314957782873,SH513100;SH518880;SZ159915
b1,2017-02-17,15024.688281572166,1475570.7000000002,1490595.3882815724,-0.0026296640845642205,0.010079655686371957,SH513100;SH518880;SZ159915
b1,2017-02-20,15024.688281572166,1480143.2,1495167.8882815721,0.0030675661792238795,0.010048830234603524,SH513100;SH518880;SZ159915
b1,2017-02-21,15024.688281572166,1488430.7000000002,1503455.3882815724,0.005542855798973401,0.009993438048564358,SH513100;SH518880;SZ159915
b1,2017-02-22,15024.688281572166,1493917.0,1508941.6882815722,0.003649127232348892,0.00995710331171427,SH513100;SH518880;SZ159915
b1,2017-02-23,15024.688281572166,1496795.0,1511819.6882815722,0.0019072970296669656,0.009938148310960387,SH513100;SH518880;SZ159915
b1,2017-02-24,15024.688281572166,1504673.7,1519698.3882815721,0.005211401902667001,0.009886625133926488,SH513100;SH518880;SZ159915
b1,2017-02-27,15024.688281572166,1500495.4,1515520.088281572,-0.0027494271443722074,0.009913882631940867,SH513100;SH518880;SZ159915
b1,2017-02-28,15024.688281572166,1500497.7,1515522.3882815721,1.5176308236775071e-06,0.009913867586349835,SH513100;SH518880;SZ159915
b1,2017-03-01,15472.155501572164,1495627.2,1511099.3555015721,-0.002918487258386948,0.01023900608867414,SH513100;SH518880;SZ159915
b1,2017-03-02,15472.155501572164,1504473.0,1519945.1555015722,0.005853883775275515,0.010179416964861769,SH513100;SH518880;SZ159915
b1,2017-03-03,15472.155501572164,1500026.2,1515498.3555015721,-0.0029256318781664126,0.010209285576196795,SH513100;SH518880;SZ159915
b1,2017-03-06,15472.155501572164,1520309.7999999998,1535781.955501572,0.013384112180898189,0.010074448033555065,SH513100;SH518880;SZ159915
b1,2017-03-07,15472.155501572164,1514843.0,1530315.1555015722,-0.003559619892925747,0.010110437347463275,SH513100;SH518880;SZ159915
b1,2017-03-08,15472.155501572164,1505867.2,1521339.3555015721,-0.005865327784104757,0.01017008824863479,SH513100;SH518880;SZ159915
b1,2017-03-09,15472.155501572164,1500442.6,1515914.7555015723,-0.0035656738783381714,0.01020648123215403,SH513100;SH518880;SZ159915
b1,2017-03-10,15472.155501572164,1501007.6,1516479.7555015723,0.00037271225044110956,0.010202678568864101,SH513100;SH518880;SZ159915
b1,2017-03-13,15472.155501572164,1515848.4,1531320.555501572,0.00978634890848995,0.01010379926396559,SH513100;SH518880;SZ159915
b1,2017-03-14,15472.155501572164,1514002.2,1529474.3555015721,-0.0012056260809450992,0.010115995371820577,SH513100;SH518880;SZ159915
b1,2017-03-15,15472.155501572164,1512738.8,1528210.9555015722,-0.0008260354254749913,0.010124358450560948,SH513100;SH518880;SZ159915
b1,2017-03-16,15472.155501572164,1527140.4,1542612.555501572,0.009423829837205355,0.01002983895495488,SH513100;SH518880;SZ159915
b1,2017-03-17,15472.155501572164,1520926.0,1536398.1555015722,-0.0040284904837815105,0.010070407495719186,SH513100;SH518880;SZ159915
b1,2017-03-20,15472.155501572164,1523723.6,1539195.7555015723,0.0018208821652008211,0.010052103799188498,SH513100;SH518880;SZ159915
b1,2017-03-21,15472.155501572164,1526510.6,1541982.7555015723,0.0018106858663287095,0.010033935494005846,SH513100;SH518880;SZ159915
b1,2017-03-22,15472.155501572164,1510874.8,1526346.9555015722,-0.010140061517687982,0.010136722483577049,SH513100;SH518880;SZ159915
b1,2017-03-23,15472.155501572164,1512965.4,1528437.555501572,0.0013696754807053235,0.010122857453927728,SH513100;SH518880;SZ159915
b1,2017-03-24,15472.155501572164,1509572.8,1525044.9555015722,-0.002219652342215883,0.01014537666300042,SH513100;SH518880;SZ159915
b1,2017-03-27,15472.155501572164,1504734.4,1520206.555501572,-0.003172627785525739,0.010177666610881922,SH513100;SH518880;SZ159915
b1,2017-03-28,15472.155501572164,1509077.4,1524549.555501572,0.0028568486198687904,0.010148673387321852,SH513100;SH518880;SZ159915
b1,2017-03-29,15472.155501572164,1510871.8,1526343.9555015722,0.0011770033932481105,0.0101367424071122,SH513100;SH518880;SZ159915
b1,2017-03-30,15472.155501572164,1502375.0,1517847.1555015722,-0.005566766238614851,0.010193487167329042,SH513100;SH518880;SZ159915
b1,2017-03-31,15472.155501572164,1505563.2,1521035.3555015721,0.0021004749973960735,0.010172120881746441,SH513100;SH518880;SZ159915
b1,2017-04-05,15509.575301572166,1516402.2,1531911.7753015722,0.007150668628878476,0.010124326708383027,SH513100;SH518880;SZ159915
b1,2017-04-06,15509.575301572166,1510932.5,1526442.0753015722,-0.0035705058791151156,0.01016060520901719,SH513100;SH518880;SZ159915
b1,2017-04-07,15509.575301572166,1515589.8,1531099.3753015723,0.003051082039310149,0.010129698667349616,SH513100;SH518880;SZ159915
b1,2017-04-10,15509.575301572166,1506797.2,1522306.7753015722,-0.00574267101262993,0.010188206183671281,SH513100;SH518880;SZ159915
b1,2017-04-11,15509.575301572166,1508226.1,1523735.6753015723,0.0009386412930580956,0.010178652080520833,SH513100;SH518880;SZ159915
b1,2017-04-12,15509.575301572166,1508362.6,1523872.1753015723,8.958246644263923e-05,0.010177740333438953,SH513100;SH518880;SZ159915
b1,2017-04-13,15509.575301572166,1511226.1,1526735.6753015723,0.001879094615946597,0.01015865126653872,SH513100;SH518880;SZ159915
b1,2017-04-14,15509.575301572166,1500661.8,1516171.3753015723,-0.00691953438365378,0.0102294341881288,SH513100;SH518880;SZ159915
b1,2017-04-17,15509.575301572166,1494152.4,1509661.9753015721,-0.004293314137199911,0.010273541730077657,SH513100;SH518880;SZ159915
b1,2017-04-18,15509.575301572166,1494621.7,1510131.2753015722,0.00031086429126370163,0.010270349045300657,SH513100;SH518880;SZ159915
b1,2017-04-19,15509.575301572166,1488769.0999999999,1504278.675301572,-0.0038755571093190833,0.010310307229784313,SH513100;SH518880;SZ159915
b1,2017-04-20,15509.575301572166,1489034.7,1504544.2753015722,0.000176563029417931,0.010308487132067558,SH513100;SH518880;SZ159915
b1,2017-04-21,15509.575301572166,1489713.7,1505223.2753015722,0.0004512994473784282,0.010303837016116308,SH513100;SH518880;SZ159915
b1,2017-04-24,15509.575301572166,1483167.1,1498676.6753015723,-0.004349255095519422,0.010348846790753742,SH513100;SH518880;SZ159915
b1,2017-04-25,15509.575301572166,1488926.5,1504436.0753015722,0.0038429903493633066,0.010309228525022699,SH513100;SH518880;SZ159915
b1,2017-04-26,15509.575301572166,1491882.2000000002,1507391.7753015724,0.0019646564241073694,0.010289014147280512,SH513100;SH518880;SZ159915
b1,2017-04-27,15509.575301572166,1495577.5999999999,1511087.175301572,0.0024515192802219143,0.010263852115928966,SH513100;SH518880;SZ159915
b1,2017-04-28,15509.575301572166,1504226.5,1519736.0753015722,0.005723627426243105,0.010205439979763913,SH513100;SH518880;SZ159915
b1,2017-05-02,15271.351861572166,1504746.0999999999,1520017.451861572,0.00018514830605953492,0.010046826661673704,SH513100;SH518880;SZ159915
b1,2017-05-03,15271.351861572166,1501181.9,1516453.251861572,-0.0023448414987833344,0.010070440247877946,SH513100;SH518880;SZ159915
b1,2017-05-04,15271.351861572166,1493675.7,1508947.051861572,-0.0049498393641779215,0.010120535271752617,SH513100;SH518880;SZ159915
b1,2017-05-05,15271.351861572166,1485211.5,1500482.8518615721,-0.005609341951102742,0.010177625050913299,SH513100;SH518880;SZ159915
b1,2017-05-08,15271.351861572166,1484838.0,1500109.3518615721,-0.000248919872384179,0.010180159094816031,SH513100;SH518880;SZ159915
b1,2017-05-09,15271.351861572166,1490419.4,1505690.751861572,0.003720662092449256,0.010142422567643,SH513100;SH518880;SZ159915
b1,2017-05-10,15271.351861572166,1480134.0,1495405.3518615721,-0.006831017582650034,0.010212182163559501,SH513100;SH518880;SZ159915
b1,2017-05-11,15271.351861572166,1479655.5999999999,1494926.951861572,-0.000319913259240745,0.010215450221534484,SH513100;SH518880;SZ159915
b1,2017-05-12,15271.351861572166,1476975.8,1492247.1518615722,-0.0017925959503658495,0.010233795281512997,SH513100;SH518880;SZ159915
b1,2017-05-15,15271.351861572166,1482864.0,1498135.3518615721,0.0039458611079634665,0.010193572858818193,SH513100;SH518880;SZ159915
b1,2017-05-16,15271.351861572166,1497776.9000000001,1513048.2518615723,0.009954307520658512,0.010093103007642436,SH513100;SH518880;SZ159915
b1,2017-05-17,15271.351861572166,1498099.9000000001,1513371.2518615723,0.00021347633798374233,0.010090948828839675,SH513100;SH518880;SZ159915
b1,2017-05-18,15271.351861572166,1489976.6,1505247.9518615722,-0.005367684888957447,0.01014540617224276,SH513100;SH518880;SZ159915
b1,2017-05-19,15271.351861572166,1488250.0999999999,1503521.451861572,-0.0011469871112363972,0.010157056184774799,SH513100;SH518880;SZ159915
