model,trade_date,symbol,shares,close,market_value
m4,2023-11-06,SH513100,1610000,5.555,8943550.0
m4,2023-11-07,SH513100,1610000,5.550000000000001,8935500.000000002
m4,2023-11-08,SH513100,1610000,5.6000000000000005,9016000.0
m4,2023-11-09,SH513100,1610000,5.635,9072350.0
m4,2023-11-10,SH513100,1610000,5.58,8983800.0
m4,2023-11-13,SH513100,1610000,5.699999999999999,9176999.999999998
m4,2023-11-14,SH513100,1610000,5.72,9209200.0
m4,2023-11-15,SH513100,1610000,5.819999999999999,9370199.999999998
m4,2023-11-16,SH513100,1610000,5.795,9329950.0
m4,2023-11-17,SH513100,1610000,5.805,9346050.0
m4,2023-11-20,SH513100,1610000,5.725,9217250.0
m4,2023-11-21,SH513100,1610000,5.789999999999999,9321899.999999998
m4,2023-11-22,SH513100,1610000,5.75,9257500.0
m4,2023-11-23,SH513100,1610000,5.779999999999999,9305799.999999998
m4,2023-11-24,SH513100,1610000,5.785,9313850.0
m4,2023-11-27,SH513100,1610000,5.755,9265550.0
m4,2023-11-28,SH513100,1610000,5.77,9289700.0
m4,2023-11-29,SH513100,1610000,5.77,9289700.0
m4,2023-11-30,SH513100,1610000,5.765000000000001,9281650.0
m4,2023-12-01,SH513100,1610000,5.739999999999999,9241399.999999998
m4,2023-12-04,SH513100,1610000,5.75,9257500.0
m4,2023-12-05,SH513100,1610000,5.6850000000000005,9152850.0
m4,2023-12-06,SH513100,1610000,5.765000000000001,9281650.0
m4,2023-12-07,SH513100,1610000,5.699999999999999,9176999.999999998
m4,2023-12-08,SH513100,1610000,5.785,9313850.0
m4,2023-12-11,SH513100,1610000,5.819999999999999,9370199.999999998
m4,2023-12-12,SH513100,1610000,5.89,9482900.0
m4,2023-12-13,SH513100,1610000,5.955,9587550.0
m4,2023-12-14,SH513100,1610000,6.02,9692200.0
m4,2023-12-15,SH513100,1610000,5.965,9603650.0
m4,2023-12-18,SH513100,1610000,6.01,9676100.0
m4,2023-12-19,SH513100,1610000,6.045,9732450.0
m4,2023-12-20,SH513100,1610000,6.08,9788800.0
m4,2023-12-21,SH513100,1610000,6.0,9660000.0
m4,2023-12-22,SH513100,1610000,6.029999999999999,9708299.999999998
m4,2023-12-25,SH513100,1610000,6.035,9716350.0
m4,2023-12-26,SH513100,1610000,6.075,9780750.0
m4,2023-12-27,SH513100,1610000,6.095000000000001,9812950.000000002
m4,2023-12-28,SH513100,1610000,6.08,9788800.0
m4,2023-12-29,SH513100,1610000,6.065,9764650.0
m4,2024-01-02,SH513100,1610000,6.05,9740500.0
m4,2024-01-03,SH513100,1610000,5.955,9587550.0
m4,2024-01-04,SH513100,1610000,5.925000000000001,9539250.000000002
m4,2024-01-05,SH513100,1610000,5.88,9466800.0
m4,2024-01-08,SH513100,1610000,5.8950000000000005,9490950.0
m4,2024-01-09,SH513100,1610000,6.045,9732450.0
m4,2024-01-10,SH513100,1610000,6.045,9732450.0
m4,2024-01-11,SH513100,1610000,6.115,9845150.0
m4,2024-01-12,SH513100,1610000,6.095000000000001,9812950.000000002
m4,2024-01-15,SH513100,1610000,6.135000000000001,9877350.000000002
m4,2024-01-16,SH513100,1610000,6.075,9780750.0
m4,2024-01-17,SH513100,1610000,6.07,9772700.0
m4,2024-01-18,SH513100,1610000,6.085000000000001,9796850.000000002
m4,2024-01-19,SH513100,1610000,6.21,9998100.0
m4,2024-01-22,SH513100,1610000,6.4,10304000.0
m4,2024-01-23,SH513100,1610000,6.3549999999999995,10231550.0
m4,2024-01-24,SH513100,1610000,6.390000000000001,10287900.0
m4,2024-01-25,SH513100,1610000,6.3549999999999995,10231550.0
m4,2024-01-26,SH513100,1610000,6.305,10151050.0
m4,2024-01-29,SH513100,1610000,6.36,10239600.0
m4,2024-01-30,SH513100,1610000,6.46,10400600.0
m4,2024-01-31,SH513100,1610000,6.32,10175200.0
m4,2024-02-01,SH513100,1610000,6.26,10078600.0
m4,2024-02-02,SH513100,1610000,6.414999999999999,10328149.999999998
m4,2024-02-05,SH513100,1610000,6.444999999999999,10376449.999999998
m4,2024-02-06,SH513100,1610000,6.455,10392550.0
m4,2024-02-07,SH513100,1610000,6.395,10295950.0
m4,2024-02-08,SH513100,1610000,6.54,10529400.0
m4,2024-02-19,SH513100,1610000,6.505,10473050.0
m4,2024-02-20,SH513100,1610000,6.494999999999999,10456949.999999998
m4,2024-02-21,SH513100,1610000,6.41,10320100.0
m4,2024-02-22,SH513100,1610000,6.5200000000000005,10497200.0
m4,2024-02-23,SH513100,1610000,6.6049999999999995,10634050.0
m4,2024-02-26,SH513100,1610000,6.54,10529400.0
m4,2024-02-27,SH513100,1610000,6.53,10513300.0
m4,2024-02-28,SH513100,1610000,6.545,10537450.0
m4,2024-02-29,SH513100,1610000,6.5,10465000.0
m4,2024-03-01,SH513100,1610000,6.6049999999999995,10634050.0
m4,2024-03-04,SH513100,1610000,6.695,10778950.0
m4,2024-03-05,SH513100,1610000,6.645,10698450.0
m4,2024-03-06,SH513100,1610000,6.62,10658200.0
m4,2024-03-07,SH513100,1610000,6.574999999999999,10585749.999999998
m4,2024-03-08,SH513100,1610000,6.685,10762850.0
m4,2024-03-11,SH513100,1610000,6.585,10601850.0
m4,2024-03-12,SH513100,1610000,6.61,10642100.0
m4,2024-03-13,SH513100,1610000,6.65,10706500.0
m4,2024-03-14,SH513100,1610000,6.62,10658200.0
m4,2024-03-15,SH513100,1610000,6.58,10593800.0
m4,2024-03-18,SH513100,1610000,6.58,10593800.0
m4,2024-03-19,SH513100,1610000,6.545,10537450.0
m4,2024-03-20,SH513100,1610000,6.57,10577700.0
m4,2024-03-21,SH513100,1610000,6.685,10762850.0
m4,2024-03-22,SH513100,1610000,6.69,10770900.0
m4,2024-03-25,SH513100,1610000,6.67,10738700.0
m4,2024-03-26,SH513100,1610000,6.705,10795050.0
m4,2024-03-27,SH513100,1610000,6.710000000000001,10803100.000000002
m4,2024-03-28,SH513100,1610000,6.695,10778950.0
m4,2024-03-29,SH513100,1610000,6.685,10762850.0
m4,2024-04-01,SH513100,1610000,6.720000000000001,10819200.000000002
m4,2024-04-02,SH513100,1610000,6.7,10787000.0
m4,2024-04-03,SH513100,1610000,6.635,10682350.0
m4,2024-04-08,SH513100,1610000,6.630000000000001,10674300.000000002
m4,2024-04-09,SH513100,1610000,6.640000000000001,10690400.0
m4,2024-04-10,SH513100,1610000,6.665,10730650.0
m4,2024-04-11,SH513100,1610000,6.6049999999999995,10634050.0
m4,2024-04-12,SH513100,1610000,6.705,10795050.0
