trade_date,symbol,shares,adjusted_close,market_value
2023-03-22,SH516970,281300,1.259,354156.69999999995
2023-03-23,SH516970,281300,1.277,359220.1
2023-03-24,SH588200,271200,1.3,352560.0
2023-03-27,SH588200,271200,1.277,346322.39999999997
2023-03-28,SH588200,271200,1.243,337101.60000000003
2023-03-29,SH588100,295600,1.188,351172.8
2023-03-30,SH588200,271500,1.302,353493.0
2023-03-31,SH588100,297300,1.213,360624.9
2023-04-03,SZ159819,383200,0.979,375152.8
2023-04-04,SH512720,249100,1.53,381123.0
2023-04-06,SH515400,340900,1.099,374649.1
2023-04-07,SH517280,394200,0.976,384739.2
2023-04-10,SZ159786,446700,0.827,369420.89999999997
2023-04-11,SZ159786,446700,0.837,373887.89999999997
2023-04-12,SH513310,314200,1.181,371070.2
2023-04-13,SH516620,297100,1.227,364541.7
2023-04-14,SH513310,312500,1.192,372500.0
2023-04-17,SH513310,312500,1.184,370000.0
2023-04-18,SH513310,312500,1.165,364062.5
2023-04-19,SH515880,321800,1.12,360416.00000000006
2023-04-20,SH516510,296500,1.268,375962.0
2023-04-21,SH513310,316700,1.149,363888.3
2023-04-24,SH513310,316700,1.121,355020.7
2023-04-25,SH513030,295500,1.206,356373.0
2023-04-26,SH513030,295500,1.2,354600.0
2023-04-27,SH513030,295500,1.198,354009.0
2023-04-28,SH513030,295500,1.208,356964.0
2023-05-04,SH513030,295500,1.196,353418.0
2023-05-05,SH513030,295500,1.193,352531.5
2023-05-08,SH513030,295500,1.206,356373.0
2023-05-09,SH513030,295500,1.199,354304.5
2023-05-10,SH513030,295500,1.203,355486.5
2023-05-11,SH513030,295500,1.199,354304.5
2023-05-12,SH513030,295500,1.193,352531.5
2023-05-15,SH513100,74600,4.72,352112.0
2023-05-16,SH513520,302100,1.17,353457.0
2023-05-17,SH513520,302100,1.213,366447.30000000005
2023-05-18,SH513520,302100,1.29,389709.0
2023-05-19,SH513520,302100,1.396,421731.6
2023-05-22,SH513520,302100,1.266,382458.6
2023-05-23,SH513520,302100,1.201,362822.10000000003
2023-05-24,SH513520,302100,1.193,360405.30000000005
2023-05-25,SH513520,302100,1.194,360707.39999999997
2023-05-26,SH513100,72700,4.98,362046.00000000006
2023-05-29,SH513100,72700,5.16,375132.0
2023-05-30,SH513100,72700,5.175,376222.5
2023-05-31,SH513100,72700,5.154999999999999,374768.49999999994
2023-06-01,SH513100,72700,5.15,374405.0
2023-06-02,SH513100,72700,5.215,379130.5
2023-06-05,SH513100,72700,5.24,380948.0
2023-06-06,SH513100,72700,5.244999999999999,381311.49999999994
2023-06-07,SH513100,72700,5.26,382402.0
2023-06-08,SH513100,72700,5.15,374405.0
2023-06-09,SH513100,72700,5.234999999999999,380584.49999999994
2023-06-12,SH513100,72700,5.295,384946.5
2023-06-13,SH515880,338400,1.194,404049.6
2023-06-14,SH515880,338400,1.219,412509.60000000003
2023-06-15,SH513100,75300,5.455,410761.5
2023-06-16,SH516510,334400,1.301,435054.39999999997
2023-06-19,SH516510,334400,1.343,449099.2
2023-06-20,SH515400,401500,1.151,462126.5
2023-06-21,SH515980,400900,1.094,438584.60000000003
2023-06-26,SH515250,471300,0.891,419928.3
2023-06-27,SH513100,77700,5.380000000000001,418026.00000000006
2023-06-28,SZ159985,224000,1.893,424032.0
2023-06-29,SZ159985,224000,1.888,422912.0
2023-06-30,SZ159985,224000,1.901,425824.0
2023-07-03,SZ159985,224000,2.052,459648.0
2023-07-04,SH562500,526200,0.875,460425.0
2023-07-05,SH515880,351200,1.273,447077.6
2023-07-06,SZ159985,221600,2.017,446967.19999999995
2023-07-07,SZ159985,221600,2.006,444529.6
2023-07-10,SZ159985,221600,2.008,444972.8
2023-07-11,SZ159985,221600,2.017,446967.19999999995
2023-07-12,SZ159985,221600,2.05,454279.99999999994
2023-07-13,SZ159985,221600,2.035,450956.00000000006
2023-07-14,SZ159985,221600,2.036,451177.60000000003
2023-07-17,SZ159985,221600,2.056,455609.60000000003
2023-07-18,SZ159985,221600,2.059,456274.4
2023-07-19,SZ159985,221600,2.106,466689.6
2023-07-20,SZ159985,221600,2.121,470013.6
2023-07-21,SZ159985,221600,2.103,466024.80000000005
2023-07-24,SZ159985,221600,2.107,466911.20000000007
2023-07-25,SZ159985,221600,2.146,475553.6
2023-07-26,SZ159985,221600,2.161,478877.60000000003
2023-07-27,SZ159985,221600,2.186,484417.6
