split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
56,2;3;4;5,0;1;6;7,grid_021,1.5590490102767944,0.5447518825531006,0.16435185185185186,-1.6261980812915655,True
57,2;3;4;6,0;1;5;7,grid_021,1.3640140295028687,0.642548680305481,0.5115740740740741,0.04630456804168637,False
58,2;3;4;7,0;1;5;6,grid_212,1.1084237098693848,0.9806499481201172,0.6643518518518519,0.6827484733390468,False
59,2;3;5;6,0;1;4;7,grid_128,1.6100846529006958,0.421291321516037,0.48842592592592593,-0.04630456804168627,True
60,2;3;5;7,0;1;4;6,grid_212,1.4181209802627563,0.6214914321899414,0.47453703703703703,-0.10194003834299459,True
61,2;3;6;7,0;1;4;5,grid_194,1.5092164278030396,0.6078698039054871,0.7986111111111112,1.3776362983767763,False
62,2;4;5;6,0;1;3;7,grid_078,1.395504117012024,0.5519713163375854,0.3402777777777778,-0.6620565934899141,True
63,2;4;5;7,0;1;3;6,grid_214,1.0575988292694092,0.8645251989364624,0.40046296296296297,-0.4035364672017586,True
64,2;4;6;7,0;1;3;5,grid_203,1.1999443769454956,0.9891876578330994,0.8912037037037037,2.1030957325777258,False
65,2;5;6;7,0;1;3;4,grid_180,1.5141297578811646,0.44908666610717773,0.4930555555555556,-0.02777956410707559,True
66,3;4;5;6,0;1;2;7,grid_021,1.6785906553268433,0.2536231279373169,0.23842592592592593,-1.161328762535736,True
67,3;4;5;7,0;1;2;6,grid_020,1.333669900894165,0.612629771232605,0.2800925925925926,-0.944002366582493,True
68,3;4;6;7,0;1;2;5,grid_212,1.3865351676940918,0.6045024991035461,0.6134259259259259,0.4617360135694671,False
69,3;5;6;7,0;1;2;4,grid_212,1.682519555091858,0.21837188303470612,0.5254629629629629,0.10194003834299438,False
70,4;5;6;7,0;1;2;3,grid_178,1.3827606439590454,0.5378692150115967,0.6041666666666666,0.4228568508200335,False
