trade_date,symbol,shares,average_cost,close,market_value
2025-09-02,SZ003010,5900,26.763900893696448,44.38334655761719,261861.7446899414
2025-09-02,SZ301165,4000,37.07869221623844,65.04264068603516,260170.56274414062
2025-09-02,SZ002891,4600,60.836988681578354,57.75321960449219,265664.81018066406
2025-09-02,SH688379,4400,34.36387351789665,50.72376251220703,223184.55505371094
2025-09-02,SZ301061,3400,61.77944219979737,76.59013366699219,260406.45446777344
2025-09-02,SH603173,5100,44.71569730498721,48.69063186645508,248322.2225189209
2025-09-02,SH688093,6700,31.49644134164543,37.774169921875,253086.9384765625
2025-09-02,SZ300033,900,199.4539747563522,269.6385498046875,242674.69482421875
2025-09-02,SZ300502,1000,132.2429908024078,255.5247344970703,255524.7344970703
2025-09-02,SZ300515,12800,23.24910063227986,20.791786193847656,266134.86328125
2025-09-02,SZ300866,1900,123.59522909127011,139.58700561523438,265215.3106689453
2025-09-02,SZ301345,1500,156.28881965138092,182.90475463867188,274357.1319580078
2025-09-02,SH601336,4000,66.617531404924,64.47091674804688,257883.6669921875
2025-09-02,SH603259,2600,102.36915143273542,109.88710021972656,285706.46057128906
2025-09-02,SH603268,5000,53.6015556817005,51.41643524169922,257082.1762084961
2025-09-02,SH688002,3500,76.78817167062911,75.29073333740234,263517.5666809082
2025-09-02,SH688018,1700,156.92137021474,136.12864685058594,231418.6996459961
2025-09-02,SH688578,2400,112.49703445220106,114.12076568603516,273889.8376464844
2025-09-02,SH688665,4500,59.89388377010307,58.72481155395508,264261.65199279785
2025-09-02,SH688800,4900,54.8310652396801,50.587162017822266,247877.0938873291
2025-09-02,SZ002837,4300,62.74950174565583,55.39699935913086,238207.0972442627
2025-09-02,SZ300010,32600,8.327473125357342,8.057608604431152,262678.04050445557
2025-09-02,SZ300308,700,372.409090770758,383.1512145996094,268205.85021972656
2025-09-02,SZ300652,4500,59.33188992038841,60.764015197753906,273438.0683898926
2025-09-02,SZ300857,3700,72.47083569769742,75.09681701660156,277858.2229614258
2025-09-03,SZ300570,1900,72.29202619888426,126.86114501953125,241036.17553710938
2025-09-03,SZ300870,1300,83.33208934177216,155.60023498535156,202280.30548095703
2025-09-03,SZ300476,1000,80.63044872629136,268.57421875,268574.21875
2025-09-03,SH603893,1000,167.57108421454095,206.23016357421875,206230.16357421875
2025-09-03,SZ002170,26200,9.197723971208998,10.001164436340332,262030.5082321167
2025-09-03,SZ003010,5900,26.763900893696448,43.12876510620117,254459.7141265869
2025-09-03,SZ301165,4000,37.07869221623844,64.16526794433594,256661.07177734375
2025-09-03,SZ002891,4600,60.836988681578354,55.872657775878906,257014.22576904297
2025-09-03,SH688379,4400,34.36387351789665,50.0457878112793,220201.4663696289
2025-09-03,SZ301061,3400,61.77944219979737,74.34691619873047,252779.5150756836
2025-09-03,SH603173,5100,44.71569730498721,48.85110855102539,249140.6536102295
2025-09-03,SH688093,6700,31.49644134164543,38.1888427734375,255865.24658203125
2025-09-03,SZ300033,900,199.4539747563522,261.25390625,235128.515625
2025-09-03,SZ300502,1000,132.2429908024078,263.7355041503906,263735.5041503906
2025-09-03,SZ300515,12800,23.24910063227986,20.312347412109375,259998.046875
2025-09-03,SZ300866,1900,123.59522909127011,134.1229705810547,254833.6441040039
2025-09-03,SZ301345,1500,156.28881965138092,184.87020874023438,277305.31311035156
2025-09-03,SH601336,4000,66.617531404924,62.75529861450195,251021.1944580078
2025-09-03,SH603259,2600,102.36915143273542,108.78868103027344,282850.57067871094
2025-09-03,SH603268,5000,53.6015556817005,48.99609375,244980.46875
2025-09-03,SH688002,3500,76.78817167062911,74.55364990234375,260937.77465820312
2025-09-03,SH688018,1700,156.92137021474,133.67721557617188,227251.2664794922
2025-09-03,SH688578,2400,112.49703445220106,117.10062408447266,281041.4978027344
2025-09-03,SH688665,4500,59.89388377010307,57.90187454223633,260558.43544006348
2025-09-03,SH688800,4900,54.8310652396801,51.08718490600586,250327.2060394287
2025-09-03,SZ002837,4300,62.74950174565583,56.625492095947266,243489.61601257324
2025-09-03,SZ300010,32600,8.327473125357342,8.237029075622559,268527.1478652954
2025-09-03,SZ300308,700,372.409090770758,425.2474670410156,297673.22692871094
2025-09-03,SZ300652,4500,59.33188992038841,57.470741271972656,258618.33572387695
2025-09-03,SZ300857,3700,72.47083569769742,75.24288940429688,278398.69079589844
2025-09-04,SZ300570,1900,72.29202619888426,107.34366607666016,203952.9655456543
2025-09-04,SZ300870,1300,83.33208934177216,149.4453887939453,194279.0054321289
2025-09-04,SZ300476,1000,80.63044872629136,244.91685485839844,244916.85485839844
2025-09-04,SH603893,1000,167.57108421454095,194.4882049560547,194488.2049560547
2025-09-04,SZ002170,26200,9.197723971208998,9.75540542602539,255591.62216186523
2025-09-04,SZ003010,5900,26.763900893696448,41.190826416015625,243025.8758544922
2025-09-04,SZ301165,4000,37.07869221623844,58.49158477783203,233966.33911132812
2025-09-04,SZ002891,4600,60.836988681578354,57.67439270019531,265302.20642089844
2025-09-04,SH688379,4400,34.36387351789665,48.050071716308594,211420.3155517578
2025-09-04,SZ301061,3400,61.77944219979737,75.66615295410156,257264.9200439453
2025-09-04,SH603173,5100,44.71569730498721,46.83098602294922,238838.02871704102
2025-09-04,SH688093,6700,31.49644134164543,36.86707305908203,247009.3894958496
2025-09-04,SZ300033,900,199.4539747563522,252.87606811523438,227588.46130371094
2025-09-04,SZ300502,1000,132.2429908024078,222.6393280029297,222639.3280029297
2025-09-04,SZ300515,12800,23.24910063227986,20.325542449951172,260166.943359375
2025-09-04,SZ300866,1900,123.59522909127011,129.16009521484375,245404.18090820312
2025-09-04,SZ301345,1500,156.28881965138092,182.0585174560547,273087.77618408203
2025-09-04,SH601336,4000,66.617531404924,62.18342590332031,248733.70361328125
2025-09-04,SH603259,2600,102.36915143273542,100.01689910888672,260043.93768310547
2025-09-04,SH603268,5000,53.6015556817005,49.74674606323242,248733.7303161621
2025-09-04,SH688002,3500,76.78817167062911,70.59304809570312,247075.66833496094
2025-09-04,SH688018,1700,156.92137021474,125.366455078125,213122.9736328125
2025-09-04,SH688578,2400,112.49703445220106,110.76111602783203,265826.6784667969
2025-09-04,SH688665,4500,59.89388377010307,56.28233337402344,253270.50018310547
2025-09-04,SH688800,4900,54.8310652396801,50.31406784057617,246538.93241882324
2025-09-04,SZ002837,4300,62.74950174565583,51.96479797363281,223448.6312866211
2025-09-04,SZ300010,32600,8.327473125357342,8.077544212341309,263327.94132232666
2025-09-04,SZ300308,700,372.409090770758,368.32470703125,257827.294921875
2025-09-04,SZ300652,4500,59.33188992038841,54.665611267089844,245995.2507019043
2025-09-04,SZ300857,3700,72.47083569769742,68.49329376220703,253425.18692016602
2025-09-05,SZ300570,1900,72.29202619888426,111.49301147460938,211836.7218017578
2025-09-05,SZ300870,1300,83.33208934177216,154.2586212158203,200536.2075805664
2025-09-05,SZ300476,1000,80.63044872629136,293.8990173339844,293899.0173339844
2025-09-05,SH603893,1000,167.57108421454095,197.6755828857422,197675.5828857422
2025-09-05,SZ002170,26200,9.197723971208998,9.821529388427734,257324.06997680664
2025-09-05,SZ003010,5900,26.763900893696448,41.61836242675781,245548.3383178711
2025-09-05,SZ301165,4000,37.07869221623844,60.592403411865234,242369.61364746094
2025-09-05,SZ002891,4600,60.836988681578354,57.193931579589844,263092.0852661133
2025-09-05,SH688379,4400,34.36387351789665,49.16728973388672,216336.07482910156
2025-09-05,SZ301061,3400,61.77944219979737,76.27957153320312,259350.54321289062
2025-09-05,SH603173,5100,44.71569730498721,49.275901794433594,251307.09915161133
2025-09-05,SH688093,6700,31.49644134164543,37.97502517700195,254432.6686859131
2025-09-05,SZ300033,900,199.4539747563522,253.86563110351562,228479.06799316406
2025-09-05,SZ300502,1000,132.2429908024078,249.14031982421875,249140.31982421875
2025-09-05,SZ300515,12800,23.24910063227986,20.774192810058594,265909.66796875
2025-09-05,SZ300866,1900,123.59522909127011,134.61717224121094,255772.62725830078
2025-09-05,SZ301345,1500,156.28881965138092,197.0177459716797,295526.61895751953
2025-09-05,SH601336,4000,66.617531404924,62.69510269165039,250780.41076660156
2025-09-05,SH603259,2600,102.36915143273542,105.37357330322266,273971.2905883789
2025-09-05,SH603268,5000,53.6015556817005,52.13200759887695,260660.03799438477
2025-09-05,SH688002,3500,76.78817167062911,71.63479614257812,250721.78649902344
2025-09-05,SH688018,1700,156.92137021474,127.86038970947266,217362.66250610352
2025-09-05,SH688578,2400,112.49703445220106,116.05864715576172,278540.7531738281
2025-09-05,SH688665,4500,59.89388377010307,57.13819122314453,257121.8605041504
2025-09-05,SH688800,4900,54.8310652396801,52.148773193359375,255528.98864746094
2025-09-05,SZ002837,4300,62.74950174565583,54.567684173583984,234641.04194641113
2025-09-05,SZ300010,32600,8.327473125357342,8.137351036071777,265277.64377593994
2025-09-05,SZ300308,700,372.409090770758,406.0995788574219,284269.7052001953
2025-09-05,SZ300652,4500,59.33188992038841,56.36381149291992,253637.15171813965
2025-09-05,SZ300857,3700,72.47083569769742,74.20526123046875,274559.4665527344
2025-09-08,SZ300570,1900,72.29202619888426,105.70142364501953,200832.7049255371
2025-09-08,SZ300870,1300,83.33208934177216,148.11068725585938,192543.8934326172
2025-09-08,SZ300476,1000,80.63044872629136,271.6431579589844,271643.1579589844
2025-09-08,SH603893,1000,167.57108421454095,200.8339080810547,200833.9080810547
2025-09-08,SZ002170,26200,9.197723971208998,10.444190979003906,273637.80364990234
2025-09-08,SZ003010,5900,26.763900893696448,41.653411865234375,245755.1300048828
2025-09-08,SZ301165,4000,37.07869221623844,59.685787200927734,238743.14880371094
2025-09-08,SZ002891,4600,60.836988681578354,57.93339538574219,266493.61877441406
2025-09-08,SH688379,4400,34.36387351789665,49.329620361328125,217050.32958984375
2025-09-08,SZ301061,3400,61.77944219979737,74.83200073242188,254428.80249023438
2025-09-08,SH603173,5100,44.71569730498721,50.25764465332031,256313.9877319336
2025-09-08,SH688093,6700,31.49644134164543,38.78493881225586,259859.09004211426
2025-09-08,SZ300033,900,199.4539747563522,241.2954559326172,217165.91033935547
2025-09-08,SZ300502,1000,132.2429908024078,224.35098266601562,224350.98266601562
2025-09-08,SZ300515,12800,23.24910063227986,20.998516082763672,268781.005859375
2025-09-08,SZ300866,1900,123.59522909127011,131.58236694335938,250006.4971923828
2025-09-08,SZ301345,1500,156.28881965138092,191.58546447753906,287378.1967163086
2025-09-08,SH601336,4000,66.617531404924,62.10065841674805,248402.6336669922
2025-09-08,SH603259,2600,102.36915143273542,108.51408386230469,282136.6180419922
2025-09-08,SH603268,5000,53.6015556817005,49.67659378051758,248382.9689025879
2025-09-08,SH688002,3500,76.78817167062911,73.6986312866211,257945.20950317383
2025-09-08,SH688018,1700,156.92137021474,128.54409790039062,218524.96643066406
2025-09-08,SH688578,2400,112.49703445220106,114.15971374511719,273983.31298828125
2025-09-08,SH688665,4500,59.89388377010307,58.28371810913086,262276.73149108887
2025-09-08,SH688800,4900,54.8310652396801,51.65644073486328,253116.55960083008
2025-09-08,SZ002837,4300,62.74950174565583,53.07835388183594,228236.92169189453
2025-09-08,SZ300010,32600,8.327473125357342,8.117415428161621,264627.74295806885
2025-09-08,SZ300308,700,372.409090770758,369.1726379394531,258420.8465576172
2025-09-08,SZ300652,4500,59.33188992038841,57.18198013305664,257318.91059875488
2025-09-08,SZ300857,3700,72.47083569769742,80.36552429199219,297352.4398803711
2025-09-09,SZ300570,1900,72.29202619888426,104.8851547241211,199281.79397583008
2025-09-09,SZ300870,1300,83.33208934177216,144.93643188476562,188417.3614501953
2025-09-09,SZ300476,1000,80.63044872629136,257.83294677734375,257832.94677734375
