trade_date,observation_date,zscore,target_position,signal_transition
2017-04-27,2017-04-26,-0.7014818261361355,1,0
2017-04-28,2017-04-27,-0.3350734869249479,1,0
2017-05-02,2017-04-28,-0.26740497961050785,1,0
2017-05-03,2017-05-02,0.08584182286283404,1,0
2017-05-04,2017-05-03,1.1655056425761217,0,-1
2017-05-05,2017-05-04,1.1600089011608825,0,0
2017-05-08,2017-05-05,1.4439670812681977,0,0
2017-05-09,2017-05-08,1.0216035461591624,0,0
2017-05-10,2017-05-09,1.0663289996517509,0,0
2017-05-11,2017-05-10,0.29798749456733703,0,0
2017-05-12,2017-05-11,-0.03395687366525996,0,0
2017-05-15,2017-05-12,0.37960790191221633,0,0
2017-05-16,2017-05-15,0.40482476992258304,0,0
2017-05-17,2017-05-16,0.4032323589294986,0,0
2017-05-18,2017-05-17,1.039295928250106,0,0
2017-05-19,2017-05-18,0.9225723213002109,0,0
2017-05-22,2017-05-19,0.9105866522242972,0,0
2017-05-23,2017-05-22,-0.8688439669129949,0,0
2017-05-24,2017-05-23,-2.2024064494103346,1,1
2017-05-25,2017-05-24,-1.5590988328409716,1,0
2017-05-26,2017-05-25,-1.6429138541507289,1,0
2017-05-31,2017-05-26,-1.1329714218644744,1,0
2017-06-01,2017-05-31,-0.7092567611875216,1,0
2017-06-02,2017-06-01,-1.3879670924243865,1,0
2017-06-05,2017-06-02,-0.09886153898332477,1,0
2017-06-06,2017-06-05,0.45080939549872767,1,0
2017-06-07,2017-06-06,0.6955910119399039,1,0
2017-06-08,2017-06-07,0.8375824969500022,1,0
2017-06-09,2017-06-08,0.9202065219255265,1,0
2017-06-12,2017-06-09,1.3802787876018794,0,-1
2017-06-13,2017-06-12,1.429789293927468,0,0
2017-06-14,2017-06-13,1.8743430116687472,0,0
2017-06-15,2017-06-14,2.068520984356118,0,0
2017-06-16,2017-06-15,1.9083647829143737,0,0
2017-06-19,2017-06-16,1.8865835718068211,0,0
2017-06-20,2017-06-19,1.858038076942554,0,0
2017-06-21,2017-06-20,1.8643824721318751,0,0
2017-06-22,2017-06-21,1.284771739108398,0,0
2017-06-23,2017-06-22,0.4633119866575948,0,0
2017-06-26,2017-06-23,0.8048481611870021,0,0
2017-06-27,2017-06-26,0.6824320519384596,0,0
2017-06-28,2017-06-27,0.22518159334208057,0,0
2017-06-29,2017-06-28,-0.16383184259083547,0,0
2017-06-30,2017-06-29,-1.7154081704301858,0,0
2017-07-03,2017-06-30,-1.7447344830912064,0,0
2017-07-04,2017-07-03,-1.971981638267798,0,0
2017-07-05,2017-07-04,-1.5737154089445395,0,0
2017-07-06,2017-07-05,-1.2849863427939956,0,0
2017-07-07,2017-07-06,-0.8757192113505369,0,0
2017-07-10,2017-07-07,-0.7533919716578973,0,0
2017-07-11,2017-07-10,-1.6623734162467088,0,0
2017-07-12,2017-07-11,-1.4522507304828025,0,0
2017-07-13,2017-07-12,-0.9463059128722818,0,0
2017-07-14,2017-07-13,-0.8581759043480035,0,0
2017-07-17,2017-07-14,-0.8672185737564723,0,0
2017-07-18,2017-07-17,-0.9298375343981043,0,0
2017-07-19,2017-07-18,-0.9243051439518986,0,0
2017-07-20,2017-07-19,-0.6436265589258064,0,0
2017-07-21,2017-07-20,-0.5657954251254116,0,0
2017-07-24,2017-07-21,-0.02105995124848582,0,0
2017-07-25,2017-07-24,-0.0222978979653595,0,0
2017-07-26,2017-07-25,-0.4317488664840497,0,0
2017-07-27,2017-07-26,-0.5234244757678921,0,0
2017-07-28,2017-07-27,-0.371925803140624,0,0
2017-07-31,2017-07-28,-0.17445094042755313,0,0
2017-08-01,2017-07-31,0.16247221594370273,0,0
2017-08-02,2017-08-01,0.1696531239271489,0,0
2017-08-03,2017-08-02,-0.3038018519502688,0,0
2017-08-04,2017-08-03,-0.08862004737972777,0,0
2017-08-07,2017-08-04,-0.2886392220163082,0,0
2017-08-08,2017-08-07,-0.3976815121001354,0,0
2017-08-09,2017-08-08,-0.3286442377436285,0,0
2017-08-10,2017-08-09,-0.19032170070138393,0,0
2017-08-11,2017-08-10,-0.3626505994236046,0,0
2017-08-14,2017-08-11,-0.3795037869902416,0,0
2017-08-15,2017-08-14,-0.6198870735904635,0,0
2017-08-16,2017-08-15,-0.5406052716710046,0,0
2017-08-17,2017-08-16,-0.6680504690258837,0,0
2017-08-18,2017-08-17,0.007988467280094046,0,0
2017-08-21,2017-08-18,0.11285681463805819,0,0
2017-08-22,2017-08-21,0.3036333667857624,0,0
2017-08-23,2017-08-22,0.08372548412066236,0,0
2017-08-24,2017-08-23,-0.12883033166113486,0,0
2017-08-25,2017-08-24,-0.4629655370261773,0,0
2017-08-28,2017-08-25,-0.49485455733537254,0,0
2017-08-29,2017-08-28,-0.5171391443686698,0,0
2017-08-30,2017-08-29,0.09895839098607434,0,0
2017-08-31,2017-08-30,0.27344634627987185,0,0
2017-09-01,2017-08-31,-0.4082250833280705,0,0
2017-09-04,2017-09-01,-0.32886047310322236,0,0
2017-09-05,2017-09-04,0.1410114235730532,0,0
2017-09-06,2017-09-05,0.13667879268807462,0,0
2017-09-07,2017-09-06,0.5266049107881969,0,0
2017-09-08,2017-09-07,0.8096423234344409,0,0
2017-09-11,2017-09-08,0.7713361853653031,0,0
2017-09-12,2017-09-11,2.595817908739789,0,0
2017-09-13,2017-09-12,2.041474046416655,0,0
2017-09-14,2017-09-13,1.9482768588116817,0,0
2017-09-15,2017-09-14,0.44778021918561134,0,0
2017-09-18,2017-09-15,0.08776371485493105,0,0
2017-09-19,2017-09-18,0.48703682505249635,0,0
2017-09-20,2017-09-19,1.038431806754693,0,0
2017-09-21,2017-09-20,0.9029080212460951,0,0
2017-09-22,2017-09-21,1.5392396418570102,0,0
2017-09-25,2017-09-22,1.2820463968306801,0,0
2017-09-26,2017-09-25,1.9343947052915165,0,0
2017-09-27,2017-09-26,2.0085250933896446,0,0
