family,split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
ema-price,54,1;4;6;7,0;2;3;5,ema-price__period-150,0.8812856295110838,-0.5429950317682334,0.7,0.8472978603872034,False
ema-price,55,1;5;6;7,0;2;3;4,ema-price__period-250,0.9325800246777144,-0.5772028586525131,0.3,-0.8472978603872036,True
ema-price,56,2;3;4;5,0;1;6;7,ema-price__period-250,0.20750875855743192,0.7563464383502735,0.9,2.1972245773362196,False
ema-price,57,2;3;4;6,0;1;5;7,ema-price__period-250,1.1398043408716216,0.16943080260597282,0.9,2.1972245773362196,False
ema-price,58,2;3;4;7,0;1;5;6,ema-price__period-150,0.34430643177201353,0.5530236459233081,0.5,0.0,True
ema-price,59,2;3;5;6,0;1;4;7,ema-price__period-250,1.259232278248505,0.042389724577264865,0.3,-0.8472978603872036,True
ema-price,60,2;3;5;7,0;1;4;6,ema-price__period-250,0.19642483649303616,1.142865999649493,0.9,2.1972245773362196,False
ema-price,61,2;3;6;7,0;1;4;5,ema-price__period-250,0.7722380828001171,0.1429926401996481,0.7,0.8472978603872034,False
ema-price,62,2;4;5;6,0;1;3;7,ema-price__period-250,1.259232278248505,0.042389724577264865,0.9,2.1972245773362196,False
ema-price,63,2;4;5;7,0;1;3;6,ema-price__period-150,0.19818597885674932,0.9465085269548136,0.5,0.0,True
ema-price,64,2;4;6;7,0;1;3;5,ema-price__period-150,0.8825171961111168,-0.6579771211090176,0.7,0.8472978603872034,False
ema-price,65,2;5;6;7,0;1;3;4,ema-price__period-250,0.8647552778315327,-0.7513609570065234,0.3,-0.8472978603872036,True
ema-price,66,3;4;5;6,0;1;2;7,ema-price__period-250,1.4202820441077935,-0.019094295305977175,0.9,2.1972245773362196,False
ema-price,67,3;4;5;7,0;1;2;6,ema-price__period-150,0.2858768720791951,0.7105156259493021,0.5,0.0,True
ema-price,68,3;4;6;7,0;1;2;5,ema-price__period-100,0.9988965627674743,-1.1168315962447104,0.1,-2.197224577336219,True
ema-price,69,3;5;6;7,0;1;2;4,ema-price__period-250,0.9333905993895071,-0.5767043987392856,0.3,-0.8472978603872036,True
ema-price,70,4;5;6;7,0;1;2;3,ema-price__period-250,0.9333905993895071,-0.5767043987392856,0.9,2.1972245773362196,False
dual-ma,1,0;1;2;3,4;5;6;7,dual-ma__fast-20-slow-100,-0.494665313586228,0.5031484198513809,0.25,-1.0986122886681098,True
