family,case,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation
supertrend,slippage-20bp,0.6675015931364592,0.21888050787929436,0.2900499592636434,0.7944726008926025,0.3055920593468661,25.607789076655322,0.5821132960929531,1.0,219,"{""2023"": 0.0, ""2024"": 0.0062726265360195654, ""2025"": 0.24557978326259855, ""2026"": 0.33039023348143215}",0.7546303693162771,0.4178867039070468,0.42089093701996927,28,0,0.000746961065428105
supertrend,next-close,0.7212110451978124,0.23393030004997195,0.23892176408769272,0.8338318752955923,0.3062458273516693,25.22469555578495,0.5828181622872631,1.0,216,"{""2023"": 0.0, ""2024"": 0.053673382917298174, ""2025"": 0.3160281885543572, ""2026"": 0.2412604656074382}",0.9791083744221446,0.4171818377127369,0.42089093701996927,28,0,0.0007484632797821958
supertrend,second-next-open,0.5406734378958484,0.18212163518615077,0.24792073900100664,0.7181669624466483,0.2899952830222683,25.579944225868136,0.5828385755873343,1.0,216,"{""2023"": 0.0, ""2024"": -0.0478009169148953, ""2025"": 0.29066415119348354, ""2026"": 0.2536306126685868}",0.7345962097402884,0.41716142441266574,0.42089093701996927,28,0,0.0007019855209398721
tsmom-monthly,base,0.2942609788895503,0.10500259963829706,0.29992407602807414,0.5091277019960833,0.26444264195176437,3.073489561463712,0.5946135012543966,1.0,94,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.33916958735560887, ""2026"": -0.03353466871566191}",0.3500972680448247,0.40538649874560345,0.40860215053763443,3,1,0.0004327783549385808
tsmom-monthly,slippage-10bp,0.29141856186502024,0.1040625704781819,0.3000813417194099,0.5057842248123153,0.26457725960943795,3.074316182655513,0.5943590474408119,1.0,94,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.3383774245780484, ""2026"": -0.03508641273431079}",0.3467812089946108,0.4056409525591881,0.40860215053763443,3,1,0.0004327783549385808
tsmom-monthly,slippage-20bp,0.28787107478085994,0.1028875835931724,0.3003006716706794,0.5015892371355666,0.2647642021348906,3.075454039393885,0.5940285390973268,1.0,94,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.3373872211061011, ""2026"": -0.037024539747200436}",0.3426152296655622,0.40597146090267316,0.40860215053763443,3,1,0.0004327783549385808
tsmom-monthly,next-close,0.2984740965535717,0.1063936148658835,0.2998943492635008,0.51362844955995,0.26470555712475835,3.102710444321349,0.5946081744444687,1.0,94,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.34806237020355235, ""2026"": -0.03678485116567087}",0.3547703220389833,0.4053918255555313,0.40860215053763443,3,1,0.0004356841458755019
tsmom-monthly,second-next-open,0.17155246308310623,0.06320607221213637,0.2998758184801049,0.35101401896884965,0.3165152914791944,4.761507358652913,0.35592250027630506,1.0,119,"{""2023"": 0.0, ""2024"": -0.08139573249677112, ""2025"": 0.3358949494540495, ""2026"": -0.045313074683749566}",0.21077415489015075,0.6440774997236949,0.6497695852534562,5,0,0.0006852208519818196
donchian,base,0.42213765957074023,0.14604907341460627,0.20918962559394205,0.6112948681267936,0.28929441060706385,14.13909563479486,0.6528082707204603,1.0,220,"{""2023"": 0.0, ""2024"": 0.15454674114504607, ""2025"": 0.401946564014543, ""2026"": -0.12138491226052528}",0.6981659487172758,0.3471917292795398,0.35023041474654376,14,0,0.00044826218909192083
donchian,slippage-10bp,0.40673128775630096,0.14122704966073618,0.21370945310544198,0.596671639932144,0.2893379633885836,14.138138462774682,0.6525509616496448,1.0,220,"{""2023"": 0.0, ""2024"": 0.15099707128688067, ""2025"": 0.3978369647006752, ""2026"": -0.12565987883736984}",0.660836699586968,0.34744903835035523,0.35023041474654376,14,0,0.00044826218909192083
donchian,slippage-20bp,0.3877493527829594,0.13524119450920957,0.21931406193443814,0.578412931148145,0.28941664701687175,14.136374440774366,0.6522402397610154,1.0,220,"{""2023"": 0.0, ""2024"": 0.14659429226915854, ""2025"": 0.39271347028650516, ""2026"": -0.13096056969759207}",0.6166553722836005,0.3477597602389846,0.35023041474654376,14,0,0.00044826218909192083
donchian,next-close,0.13878811951175596,0.05159587830520329,0.2805766784343887,0.31529153399906057,0.28280987549971687,13.960050331018472,0.6528725472807448,1.0,220,"{""2023"": 0.0, ""2024"": 0.05470786300305619, ""2025"": 0.3333261002516881, ""2026"": -0.19020635675358155}",0.18389225573952575,0.3471274527192551,0.35023041474654376,14,0,0.0004637821601717796
donchian,second-next-open,0.11948968332709464,0.044661335031306315,0.27568377317847714,0.30750840004109975,0.2214048277518988,12.166188715895421,0.707693462395784,1.0,226,"{""2023"": 0.0, ""2024"": 0.00516345691939013, ""2025"": 0.34011102506596047, ""2026"": -0.16892039580478457}",0.16200204501116086,0.29230653760421593,0.29493087557603687,12,1,0.0004524735896608039
bollinger-breakout,base,0.7438732271669128,0.24019404781670195,0.20566413238804138,0.8640020772672626,0.2983144791100553,26.020426942562874,0.6725978779977698,1.0,216,"{""2023"": 0.0, ""2024"": 0.0847846159437633, ""2025"": 0.3946140831402849, ""2026"": 0.15270279489639793}",1.1678946884307007,0.3274021220022302,0.3302611367127496,28,0,0.0007107877437815988
bollinger-breakout,slippage-10bp,0.7061930630123199,0.22975148836662163,0.20976964234698403,0.8353115439408437,0.2984879881629257,26.06570768156355,0.6723630449375043,1.0,216,"{""2023"": 0.0, ""2024"": 0.07455236087377082, ""2025"": 0.3838884855686888, ""2026"": 0.14735944040162008}",1.0952561380954506,0.3276369550624957,0.3302611367127496,28,0,0.0007074227836284353
bollinger-breakout,slippage-20bp,0.6601733014614986,0.21680414591274322,0.21772574784639387,0.7994048826873627,0.29873090140719966,26.121894815563035,0.67206986077828,1.0,219,"{""2023"": 0.0, ""2024"": 0.06186230747503929, ""2025"": 0.37061210565435676, ""2026"": 0.14069793920901574}",0.9957671431019686,0.32793013922171993,0.3302611367127496,28,0,0.0007031564948628175
bollinger-breakout,next-close,0.6085338082206426,0.20201105503623107,0.19475425627871956,0.7648247421461296,0.29477706955186295,26.211507533872325,0.6726260834536054,1.0,215,"{""2023"": 0.0, ""2024"": 0.0347156217369593, ""2025"": 0.4102915287418678, ""2026"": 0.102301225337174}",1.0372613102079067,0.3273739165463946,0.3302611367127496,28,0,0.0007058003921260172
bollinger-breakout,second-next-open,0.5161327163847578,0.17479690745760212,0.18898617712098575,0.7138481027694739,0.27791103550802876,26.23240084618349,0.6726481959419112,1.0,215,"{""2023"": 0.0, ""2024"": -0.030072753808989328, ""2025"": 0.4459837053427842, ""2026"": 0.08102232055960945}",0.9249190079425761,0.3273518040580889,0.3302611367127496,28,0,0.0006744464457460797
