model,execution_date,target_weight,execution,delay,family
walk-forward__keltner-breakout,2025-03-14,0.0,open,1,keltner-breakout
walk-forward__keltner-breakout,2025-07-23,0.99,open,1,keltner-breakout
walk-forward__keltner-breakout,2025-10-20,0.0,open,1,keltner-breakout
walk-forward__keltner-breakout,2026-01-06,0.99,open,1,keltner-breakout
walk-forward__keltner-breakout,2026-02-03,0.0,open,1,keltner-breakout
walk-forward__keltner-breakout,2026-04-15,0.99,open,1,keltner-breakout
walk-forward__keltner-breakout,2026-06-02,0.0,open,1,keltner-breakout
walk-forward__keltner-breakout,2026-06-18,0.99,open,1,keltner-breakout
walk-forward__keltner-breakout,2026-07-14,0.0,open,1,keltner-breakout
walk-forward__rsi-reversion,2023-12-25,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2023-12-29,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2024-01-05,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2024-01-26,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2024-01-31,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2024-02-07,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2024-03-08,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2024-03-12,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2024-03-25,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2024-04-01,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2024-07-05,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2024-07-17,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-01-09,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-01-15,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-03-04,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-03-07,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-03-14,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-04-11,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-04-17,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-05-07,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-11-04,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-11-07,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-11-21,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2025-11-27,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2026-02-03,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2026-02-10,0.0,open,1,rsi-reversion
walk-forward__rsi-reversion,2026-03-04,0.99,open,1,rsi-reversion
walk-forward__rsi-reversion,2026-04-09,0.0,open,1,rsi-reversion
walk-forward__stochastic-reversion,2023-12-25,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2023-12-29,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-01-04,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-01-26,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-01-30,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-02-07,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-03-08,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-03-12,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-03-25,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-04-16,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-04-17,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-04-18,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-04-22,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-04-29,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-05-09,0.99,open,1,stochastic-reversion
