period,trial,use_absolute_momentum,use_inverse_vol,use_vol_target,use_rank_buffer,use_correlation_guard,use_capacity,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
era_2018_2021,factorial_001111,False,False,True,True,True,True,973,0.4190100145107598,0.09487147429376397,0.2510889891122321,0.5978856852875426,0.9619217212137922,0.3778400424056755,0.17826754094555483,75.9065533926095,19.65925123837368,112705.91601105809,0.0102363458723115,0.6880535189622655,473,0.25388334006248026,0.5231243576567317
era_2018_2021,factorial_010000,False,True,False,False,False,False,973,0.4286845826219894,0.096799899812257,0.30496110938690735,0.46718790458362125,0.7292611719979188,0.31741719462807294,0.28531615029047525,106.84673298629914,27.672535161919203,155130.0205376846,0.006111844997958347,0.9938881550020416,492,0.17385300788588753,0.5190133607399794
era_2018_2021,factorial_010001,False,True,False,False,False,True,973,0.38816155405223607,0.08865667162947344,0.28461165612662553,0.46598074761367325,0.7251171060834831,0.3115004945195552,0.2492425496644666,107.19701073298134,27.7632545783261,154327.0348001954,0.011142228419181876,0.8561766569828331,494,0.1150821395375703,0.5179856115107914
era_2018_2021,factorial_010010,False,True,False,False,True,False,973,0.47424536756419555,0.10575359029090459,0.30497416573649894,0.5035721269233222,0.7865936245112726,0.3467624545689449,0.27524632967979284,108.05828135422004,27.986317473035406,166288.00009013008,0.0037526459952244755,0.9962473540047754,475,0.33375091552600344,0.5323741007194245
era_2018_2021,factorial_010011,False,True,False,False,True,True,973,0.43636961576267486,0.09832486800324736,0.2772858870142121,0.5097817418626509,0.7953716661402419,0.35459744836637785,0.24141252328527957,110.02384627718,28.495384647327192,167170.5992735434,0.009080262695147046,0.8557096944057829,476,0.28234862000191474,0.526207605344296
era_2018_2021,factorial_010100,False,True,False,True,False,False,973,0.4866857686310151,0.10816270431764785,0.3022076323192697,0.5101147494576466,0.8080671532194988,0.35790857923594227,0.2766177195818098,53.72250421652056,13.913742099242736,80041.85087840336,0.006512647344063348,0.9934873526559367,494,0.20612349199915014,0.5251798561151079
era_2018_2021,factorial_010101,False,True,False,True,False,True,973,0.4873855574812975,0.10829777569823484,0.2590958995489412,0.5315421090308442,0.8384644766389614,0.41798336402378394,0.25471097241678087,58.37579344865705,15.118910533465135,86352.93428803705,0.008554439743549018,0.9027375035202098,494,0.18297846496459313,0.5200411099691675
era_2018_2021,factorial_010110,False,True,False,True,True,False,973,0.44816748278696306,0.10065423774944349,0.30221154997267874,0.4861259600712313,0.7673401137335405,0.33305887137186874,0.27592440459511924,75.92937766115925,19.6651625597247,116501.21537664745,0.004906948560010746,0.9950930514399893,475,0.2863521222122669,0.5323741007194245
era_2018_2021,factorial_010111,False,True,False,True,True,True,973,0.3720259681996414,0.08536510722989643,0.2588535144664087,0.4556432811842279,0.7121505074977754,0.3297815268448836,0.24705684363484834,79.86776981703595,20.685177794340245,118376.48665198383,0.00947474196810572,0.8691774418206218,478,0.207525530093142,0.5241521068859198
era_2018_2021,factorial_011000,False,True,True,False,False,False,973,0.518529153914179,0.11426191448743328,0.2881451566526846,0.6656982475658519,1.0753673908934263,0.3965428946118249,0.18961677889763193,99.22652064470076,25.698954987116743,147023.47953026925,0.008837497819314052,0.7599448413525237,483,0.25877813162428875,0.526207605344296
era_2018_2021,factorial_011001,False,True,True,False,False,True,973,0.43988214757100286,0.09901985945953928,0.2562185401494288,0.6299509664455387,1.0097647561004015,0.38646641028315154,0.1739924195524489,96.8611283670755,25.08633540442243,141291.07526336634,0.009925779178431671,0.680341520965695,483,0.18946704039354056,0.5179856115107914
era_2018_2021,factorial_011010,False,True,True,False,True,False,973,0.5451392575669074,0.1192864747903033,0.2888273533387945,0.6957206647209647,1.1300850885911762,0.4130026931707547,0.1872650215053912,101.817068085911,26.369888137358245,154051.95151557453,0.009421691195912846,0.7744547989900372,475,0.33436884440156067,0.5323741007194245
era_2018_2021,factorial_011011,False,True,True,False,True,True,973,0.45910120265776766,0.10280046898312278,0.24991694404972908,0.6549110392800256,1.0543862195432032,0.4113385323832517,0.1721064017321649,100.74227500012609,26.09152446046431,149924.23075846152,0.009533642471703734,0.6930316527711102,474,0.2648387025518366,0.5241521068859198
era_2018_2021,factorial_011100,False,True,True,True,False,False,973,0.511771386703813,0.11297552520067278,0.2407203483805449,0.6731971164401379,1.0912498627746472,0.4693227056238487,0.18431256083554368,57.32385161911757,14.846465167541242,85905.47100704227,0.011313727322118043,0.756398740904553,483,0.2716961847948962,0.527235354573484
era_2018_2021,factorial_011101,False,True,True,True,False,True,973,0.5052797233394914,0.11173577179712657,0.23256171343222665,0.6916679863543627,1.1162640860359738,0.48045643518914266,0.1754818987882813,57.741743908908354,14.954696264177704,86065.9080014602,0.010356450858367849,0.7081337593614392,483,0.2575604620956413,0.5210688591983555
era_2018_2021,factorial_011110,False,True,True,True,True,False,973,0.5040024110679151,0.11149136924406289,0.28088132553452816,0.6547005606636498,1.0591616074302406,0.3969340753853623,0.18876492814342355,75.97231490840913,19.676282997861357,114828.45353396374,0.008879304880342349,0.7722458408336864,473,0.3080512382419367,0.5354573484069887
