trade_date,observation_date,temperature,market_height,recent_60d_gain,rank,buy_eligible,symbol,report_date,notice_date,quarter_operating_cash_flow,quarter_deducted_parent_net_profit,quarter_net_profit,quarter_roe,quarter_roa,previous_quarter_net_profit,net_profit_yoy,pb,paused,is_st,cash_profit_ratio,score
2019-09-30,2019-09-30,warm,0.7711188869537299,0.34002180008562255,2,True,SH601992,2019-06-30,2019-08-28,5158332880.68,2014743638.8,3577669816.4900002,3.2524126986561916,1.2906329107061603,3566206614.53,0.3214396471952874,0.77703042,False,False,2.5602924269572833,1.6609811887495476
2019-09-30,2019-09-30,warm,0.7711188869537299,0.34002180008562255,3,True,SH601117,2019-06-30,2019-08-30,1491968049.1900003,940749593.3200002,1032996195.9899999,2.7375041789404575,1.0234939568193502,716971669.3199999,44.07768677522896,0.90375177,False,False,1.5859353645051226,1.132494553033462
2019-09-30,2019-09-30,warm,0.7711188869537299,0.34002180008562255,4,True,SH601668,2019-06-30,2019-08-29,15220001000.0,10569337000.0,20260010000.0,2.553310212930455,1.048433764331528,17029173000.0,18.972365833619765,0.93517989,False,False,1.4400147331852509,1.121103838462061
2019-09-30,2019-09-30,warm,0.7711188869537299,0.34002180008562255,5,True,SH600208,2019-06-30,2019-08-31,2085448954.18,1208099144.47,903860467.84,2.5835872424677806,0.6212903770556867,675152050.49,33.87509779226947,0.70299399,False,False,1.7262233515568777,0.8837776508668114
2019-09-30,2019-09-30,warm,0.7711188869537299,0.34002180008562255,6,False,SH600068,2019-06-30,2019-08-31,2838088951.09,1423649578.44,1843636773.03,2.3989304278560075,0.8230620382016891,1547005436.24,19.17455038238023,0.9348103058338165,False,False,1.9935305668406882,0.8804588835459488
2019-10-31,2019-10-31,warm,0.8111286038231655,0.34002180008562255,1,True,SZ000069,2019-09-30,2019-10-29,4844387585.7,2305755887.89,3906983829.1000004,3.9316046997005056,1.1178821126896432,3081332114.6,26.795284759727412,0.92641366,False,False,2.100997599591128,1.2066770611841402
2019-10-31,2019-10-31,warm,0.8111286038231655,0.34002180008562255,2,True,SH601828,2019-09-30,2019-10-30,1746272109.2600002,599108130.1400001,1189948706.2000003,2.2757430026713745,0.9904510759270003,1177918527.0100002,1.0213082580963428,0.84605388,False,False,2.9147861986982715,1.1706713949790057
2019-10-31,2019-10-31,warm,0.8111286038231655,0.34002180008562255,3,True,SH601117,2019-09-30,2019-10-31,3216277039.8999996,819492352.5499997,894826794.52,2.319141778297347,0.8490722915453478,615247343.02,45.44179746110852,0.93179924,False,False,3.924718796816063,0.911218055452962
2019-10-31,2019-10-31,warm,0.8111286038231655,0.34002180008562255,4,True,SH601186,2019-09-30,2019-10-31,12530312000.0,5108735000.0,6067125000.0,2.4713191181937035,0.5982846065411072,5260314000.0,15.337696570965154,0.79106225,False,False,2.4527230322183478,0.756305343278746
2019-10-31,2019-10-31,warm,0.8111286038231655,0.34002180008562255,5,True,SH601390,2019-09-30,2019-10-31,8888829000.0,4823985000.0,5458739000.0,2.1410804087724262,0.5348085553603057,3786748000.0,44.153743528748144,0.77894281,False,False,1.842631973358126,0.6865825687001408
2019-11-29,2019-11-29,warm,0.7664695068483777,0.3185050206965412,1,True,SZ000069,2019-09-30,2019-10-29,4844387585.7,2305755887.89,3906983829.1000004,3.9316046997005056,1.1178821126896432,3081332114.6,26.795284759727412,0.90667473,False,False,2.100997599591128,1.2329472474540493
2019-11-29,2019-11-29,warm,0.7664695068483777,0.3185050206965412,2,True,SH601828,2019-09-30,2019-10-30,1746272109.2600002,599108130.1400001,1189948706.2000003,2.2757430026713745,0.9904510759270003,1177918527.0100002,1.0213082580963428,0.8516305,False,False,2.9147861986982715,1.1630056414454395
2019-11-29,2019-11-29,warm,0.7664695068483777,0.3185050206965412,3,True,SH601117,2019-09-30,2019-10-31,3216277039.8999996,819492352.5499997,894826794.52,2.319141778297347,0.8490722915453478,615247343.02,45.44179746110852,0.97075405,False,False,3.924718796816063,0.8746523298515703
