window_end,window_start,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
2020-06-30,2017-05-23,756,0.4679546078501087,0.1365037564038316,0.17878912463950114,1.0451592917640635,1.5799533419437344,0.7634902664189949,0.13067649264559064,49.72427774802574,16.574759249341913,92235.66530282557,0.00893374836746157,0.5889857008815349,455,,0.5423280423280423
2020-07-31,2017-06-27,756,0.5685154782946171,0.16188444156389026,0.17878912463950114,1.12981896637436,1.6935455413798826,0.9054490416590136,0.14179726439209983,51.84171545785129,17.280571819283765,97618.61212182845,0.008775502685884387,0.5794203078073203,455,,0.5476190476190477
2020-08-31,2017-07-26,756,0.48218781384385245,0.14016510736858412,0.17878912463950103,0.9912137326506189,1.4796021509619064,0.7839688664017126,0.1427090481481601,54.00448714985393,18.001495716617978,103012.196997311,0.008385792912804398,0.5692508231212509,455,,0.5476190476190477
2020-09-30,2017-08-25,756,0.41957190303194714,0.12387790089499506,0.17878912463950236,0.8881430731369081,1.3240306324329971,0.6928715666837881,0.14313055349215748,53.31117184607703,17.77039061535901,102853.68090608722,0.008256386115399349,0.5572296384853743,455,,0.5436507936507936
2020-10-30,2017-09-18,756,0.4348108594847073,0.12788516644405945,0.17878912463950158,0.9049366890928469,1.3558022464487571,0.7152849296729794,0.1446502000966155,53.193893901084536,17.73129796702818,103477.38900916671,0.008030529487968223,0.5546980127349346,455,,0.5436507936507936
2020-11-30,2017-10-24,756,0.4255964285874707,0.12546553337997635,0.17878912463950114,0.8813648032726681,1.324618714438366,0.7017514831114977,0.14636381305713403,53.18276920913293,17.72758973637764,104658.2204992508,0.008169598435539943,0.547178460999594,455,,0.5436507936507936
2020-12-31,2017-11-24,756,0.5047014008671282,0.14590894203718552,0.17878912463950136,1.004874008614626,1.526188441396814,0.8160951754274021,0.14628261157926717,53.223383183638184,17.741127727879395,106069.86956338046,0.007765656138952509,0.5391177252233926,455,,0.5436507936507936
2021-01-29,2017-12-22,756,0.5125585706038858,0.14790002918396272,0.17878912463950192,0.9892438109267933,1.505199305522651,0.8272316869506362,0.15107024553180642,54.23423932385873,18.078079774619578,109589.49860585289,0.00747451599367891,0.5317342030167532,455,,0.5423280423280423
2021-02-26,2018-01-15,756,0.40177672027721734,0.11916197948830543,0.17878912463950025,0.812348619973514,1.2296297342274032,0.6664945629583262,0.1531290327264122,57.98176648238627,19.327255494128757,118268.19015866148,0.007583992555387057,0.5220303435801532,455,,0.5343915343915344
2021-03-31,2018-02-22,756,0.40872192502221183,0.12100725846258165,0.16283527585628188,0.8212103048072396,1.2524081083075989,0.7431268060698496,0.1535598294177723,59.73586709794379,19.911955699314596,123109.37625517388,0.007628532322964435,0.5133190085815917,241,,0.5317460317460317
