symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,is_risk_asset,share_of_positive_contribution
SH515650,-6396.1049600000115,-0.002779852891430806,14,0.15847891761167787,0.19309751746342432,0.0007267293961884999,True,0.0
SZ159933,-7850.66481,-0.005738052889221794,5,0.07380591134150831,0.07544303165331716,0.00012087440442435033,True,0.0
SH512170,-8054.873749999962,-0.0039032460564265787,5,0.145311474350342,0.1460387793279147,0.0002379814516055388,True,0.0
SH510030,-8505.016350000013,-0.006117843907489464,10,0.10918801082156637,0.1127379335246434,0.00035764169938279193,True,0.0
SH517390,-8619.916200000027,-0.0051439451979155195,20,0.11489044007189178,0.12043347734782853,0.0007526396336186818,True,0.0
SZ159996,-9835.862869999977,-0.00620187009882007,25,0.2803799421505935,0.32460422690740026,0.0022959379475155054,True,0.0
SZ159738,-10821.202790000012,-0.0064985058395736935,24,0.09585786943999514,0.12953030230485144,0.0007535502347068074,True,0.0
SH510170,-10895.821859999993,-0.005091331975520095,23,0.05407920490350417,0.09889663776534055,0.00040740966681316606,True,0.0
SH512040,-11302.24239020404,-0.007063229664508665,15,0.2574487995859772,0.2804309538165399,0.0012648974758564225,True,0.0
SH515080,-11598.076294236962,-0.005994181505150169,30,0.12813536711321574,0.13187746496510847,0.0012591094049775539,True,0.0
SH517800,-11905.558719999994,-0.006976267527621064,10,0.07358397993300433,0.0749264439119274,0.0002410218798984747,True,0.0
SH512010,-12179.412159999965,-0.00874380973498812,60,0.10924451934831238,0.1573359932717186,0.0021469607471008,True,0.0
SH510210,-12850.476660000018,-0.009398666564314317,5,0.10048667374731031,0.10684677336610628,0.00016457037954030511,True,0.0
SH512580,-14173.22402000002,-0.006636051450734617,55,0.2120403790940685,0.2427090432033822,0.003819921667269495,True,0.0
SZ159363,-14874.789160000013,-0.0072469233794001985,5,0.15731098291651083,0.15867809256741813,0.0002576334472920256,True,0.0
SZ159861,-15237.864000000014,-0.007996654625591957,50,0.07742120688836361,0.08175680256578084,0.0012679529460917721,True,0.0
SZ159781,-15469.73100000001,-0.008063252108228346,5,0.13708161688400236,0.13865719676175842,0.0002245031393449105,True,0.0
SH512400,-15715.981519999914,-0.006016111056409558,87,0.16034718459875585,0.2494243661578348,0.004569343288598676,True,0.0
SZ159930,-15755.119409999992,-0.009881548087944286,94,0.100631261818313,0.1370048384802983,0.00309837491350194,True,0.0
SH562800,-15860.315939999979,-0.00440765578655004,41,0.17092327654137135,0.1843764064012869,0.0022953993901723637,True,0.0
SH515900,-16382.329580000016,-0.008930936319239543,35,0.10436041969810243,0.20551356050762287,0.0011964017980457206,True,0.0
SH515100,-16474.445289999978,-0.009975317304238703,73,0.16544374411276586,0.24991085055339285,0.003955910029555161,True,0.0
SZ159777,-16614.75805,-0.009811454172445892,4,0.049525893466296135,0.05756313955022288,6.48881670046461e-05,True,0.0
SH510410,-18322.880709999972,-0.009523072215729286,66,0.09107058116034605,0.17706962153739725,0.001968771161671418,True,0.0
SH512330,-18354.769499999984,-0.010617128182573649,20,0.08801253551148684,0.09443052681778967,0.00057656426800843,True,0.0
SZ159910,-18647.02116,-0.014360641643852803,15,0.07314017395441905,0.07841522228872091,0.00035935231225557997,True,0.0
SH561980,-20205.451880000015,-0.010740267453232248,10,0.17440403772471186,0.18126009621316924,0.0005712546273328262,True,0.0
SH512800,-20518.105160000017,-0.016076831161368838,15,0.2248414079552531,0.3021215840306278,0.0011046908350241717,True,0.0
SZ159907,-21673.580669999985,-0.014763907476200417,4,0.1557456016505625,0.15880580853538434,0.00020405581611603342,True,0.0
SH515230,-22811.524119999962,-0.014286232666334227,10,0.27397923416965475,0.2791045199523891,0.0008974098728124951,True,0.0
SH510260,-22930.147489999996,-0.014801934049602308,30,0.15876664640877658,0.19972060355800622,0.0015601046158739919,True,0.0
SH588200,-23212.355819999953,-0.010972129033969477,157,0.13537748029940652,0.2516561828399421,0.006961763644614091,True,0.0
SH516620,-24829.94578999997,-0.01422891458911887,15,0.05687214812303072,0.06965428321247122,0.00027942424560938777,True,0.0
SZ159865,-24835.72840000002,-0.013236968980492285,10,0.31444063734363514,0.3206181211843855,0.0010299398537295616,True,0.0
SH510880,-26188.070952239163,-0.01829244218461957,104,0.22283176662644522,0.38965035696595796,0.0075907316505569285,True,0.0
SZ159796,-26463.697139999986,-0.013667271703172284,30,0.17669825525763563,0.18848861749608334,0.0017363077817651718,True,0.0
SZ159732,-27261.69599999998,-0.017126438125848683,39,0.16606132250622008,0.2232879079618664,0.0021213205298862047,True,0.0
SH512480,-28444.38219999998,-0.012542762902078512,5,0.14005947643009817,0.14435981983386897,0.00022938007931558823,True,0.0
SZ159611,-32903.529150000075,-0.020917491861813506,50,0.3102280926760896,0.33757365353322916,0.0050807090186061185,True,0.0
SZ159901,-33255.090185584166,-0.026003335216433058,267,0.21676263764648582,0.3996616236230815,0.018956968310387064,True,0.0
SZ159819,-36840.34940000001,-0.019579756737434256,20,0.15305207146654692,0.20674011868507558,0.001002633943442823,True,0.0
SZ159326,-39026.638640000056,-0.019847586146254467,34,0.228175159650556,0.2540502231399344,0.0025410925083913867,True,0.0
SH560980,-40787.17334,-0.02260805037303038,10,0.13461509487715462,0.14996127829631709,0.0004409272678583512,True,0.0
SZ159995,-42330.49524000015,-0.018607855915642988,15,0.21520154385179252,0.30253043590487927,0.0010573282534480472,True,0.0
SH512200,-43485.893939999994,-0.0232301502739534,20,0.2104837630363534,0.2535342916345557,0.001378865136170019,True,0.0
SZ159309,-50492.092319999996,-0.025269098374756153,24,0.18125372784162808,0.19000259281957227,0.001424857343006575,True,0.0
SZ159902,-54225.14339313455,-0.04510368122325366,159,0.2179008426457786,0.38583330629660356,0.011348258755544972,True,0.0
SZ159766,-56066.17401999988,-0.031910208478951714,79,0.26584601644797334,0.3166545908682648,0.006879081329639663,True,0.0
SH512100,-66156.09552000005,-0.03315633847276862,14,0.3685511534692729,0.38290825323930533,0.0016900478704781595,True,0.0
SH515050,-71018.89632000007,-0.032602042609957305,25,0.1594404196963602,0.3253643259967045,0.0013056044849030478,True,0.0
SH515250,-73130.95912000001,-0.04100827057237536,35,0.20587608111261066,0.239293654345894,0.0023601909069575415,True,0.0
SH515790,-108454.92944,-0.05551379178599057,8,0.23869856625790054,0.2514431373833264,0.0006254793744065524,True,0.0
SH510290,-114808.79134,-0.07922988797239883,51,0.11416218816522798,0.208221769064785,0.001907065704692639,True,0.0
SZ159915,-137720.80223999987,-0.09972328312423336,296,0.2755728602528932,0.4226234655291049,0.026717840365167504,True,0.0
SH512670,-206435.35678,-0.10330012908621203,117,0.17905698998850872,0.31488171971253387,0.0068619940480365285,True,0.0
