scenario,trade_date,observation_date,threshold_observation_date,now,upper,lower,target_weeks,mode,target_shares,actual_shares_after
source-cost-calibration,2017-07-13,2017-07-12,2017-07-07,1.1445742076096164,1.1429473564441153,1.0817020705920843,-351.2759435778098,sell,89900,89900
source-cost-calibration,2017-07-20,2017-07-19,2017-07-14,1.1535099893008376,1.1429152021280926,1.0818628421721979,-53.9376196752793,sell,88200,88200
source-cost-calibration,2017-07-27,2017-07-26,2017-07-21,1.1547282074401555,1.142881880049624,1.08202945256454,-48.2378142344401,sell,86300,86300
source-cost-calibration,2017-08-03,2017-08-02,2017-07-28,1.1604685311190375,1.1428490732077374,1.082193486773973,-32.43144820235315,sell,83600,83600
source-cost-calibration,2017-08-10,2017-08-09,2017-08-04,1.1553360374650619,1.1428142935442558,1.0823673850913815,-45.63319218041829,sell,81700,81700
source-cost-calibration,2017-08-17,2017-08-16,2017-08-11,1.1525940779274697,1.1427765205502702,1.0825562500613093,-58.20065402440538,sell,80200,80200
source-cost-calibration,2017-08-24,2017-08-23,2017-08-18,1.1595671932336202,1.142737730461066,1.082750200507331,-33.95051125234549,sell,77800,77800
source-cost-calibration,2017-08-31,2017-08-30,2017-08-25,1.1693804953119495,1.142695329423789,1.0829622056937156,-21.41068438946388,sell,74100,74100
source-cost-calibration,2017-09-07,2017-09-06,2017-09-01,1.169674434058807,1.1426501313520114,1.083188196052604,-21.141158455583003,sell,70500,70500
source-cost-calibration,2017-09-14,2017-09-13,2017-09-08,1.1679078100014801,1.142610282409886,1.08338744076323,-22.5834378136928,sell,67300,67300
source-cost-calibration,2017-09-21,2017-09-20,2017-09-15,1.1658376246901283,1.142565316379722,1.0836122709140508,-24.547743634627356,sell,64500,64500
source-cost-calibration,2017-09-28,2017-09-27,2017-09-22,1.1661339703051092,1.142516924438634,1.0838542306194914,-24.1883961884592,sell,61800,61800
source-cost-calibration,2017-10-12,2017-10-11,2017-09-29,1.173186268412274,1.1424717943976825,1.0840798808242478,-18.59826402781519,sell,58400,58400
source-cost-calibration,2017-10-19,2017-10-18,2017-10-13,1.1772478362556233,1.142429260463813,1.0842925504935956,-16.405456491022335,sell,54800,54800
source-cost-calibration,2017-10-26,2017-10-25,2017-10-20,1.1789769472931695,1.1423839652218069,1.0845190267036267,-15.609331360231327,sell,51200,51200
source-cost-calibration,2017-11-02,2017-11-01,2017-10-27,1.1815577738627863,1.1423369312624674,1.0847541965003242,-14.562881054130893,sell,47600,47600
source-cost-calibration,2017-11-09,2017-11-08,2017-11-03,1.1858253596129622,1.1422814884534924,1.085031410545199,-13.116443922385077,sell,43900,43900
source-cost-calibration,2017-11-16,2017-11-15,2017-11-10,1.18440748541232,1.1422220666971705,1.0853285193268083,-13.538114607915187,sell,40600,40600
source-cost-calibration,2017-11-23,2017-11-22,2017-11-17,1.200303182981585,1.142154700183912,1.0856653518930999,-9.821018926306557,sell,36400,36400
source-cost-calibration,2017-11-30,2017-11-29,2017-11-24,1.1841233542396712,1.1420818655574716,1.0860295250253023,-13.582795250076744,sell,33700,33700
source-cost-calibration,2017-12-07,2017-12-06,2017-12-01,1.1812717715594616,1.1420061638337404,1.0864080336439585,-14.542066581662278,sell,31300,31300
source-cost-calibration,2017-12-14,2017-12-13,2017-12-08,1.1863912156954932,1.1419225361772831,1.0868261719262453,-12.839627222455093,sell,28800,28800
source-cost-calibration,2017-12-21,2017-12-20,2017-12-15,1.1861083798132053,1.1418341012146114,1.0872683467396034,-12.895005151488508,sell,26500,26500
source-cost-calibration,2017-12-28,2017-12-27,2017-12-22,1.184975190698261,1.1417467861760413,1.0877049219324546,-13.205978786346067,sell,24400,24400
source-cost-calibration,2018-01-04,2018-01-03,2017-12-29,1.1981069988734014,1.141653832964635,1.0881696879894853,-10.111512920370622,sell,21900,21900
source-cost-calibration,2018-01-11,2018-01-10,2018-01-05,1.2073650374690719,1.1415773169946564,1.0885522678393786,-8.676218819883033,sell,19300,19300
source-cost-calibration,2018-01-18,2018-01-17,2018-01-12,1.2159018132040316,1.1414740452481862,1.0890686265717293,-7.668334524860204,sell,16700,16700
source-cost-calibration,2018-01-25,2018-01-24,2018-01-19,1.2357808703275603,1.1413581252249965,1.0896482266876788,-6.043872818912596,sell,13900,13900
source-cost-calibration,2018-02-01,2018-01-31,2018-01-26,1.2268575702887234,1.141245132234126,1.090213191642031,-6.665182993073514,sell,11800,11800
source-cost-calibration,2018-02-08,2018-02-07,2018-02-02,1.2084413564385674,1.141126554082095,1.0908060824021855,-8.476044748962805,sell,10400,10400
source-cost-calibration,2018-02-13,2018-02-12,2018-02-09,1.1835545336188618,1.141007337185866,1.091402166883331,-13.408725284435002,sell,9600,9600
source-cost-calibration,2018-02-22,2018-02-14,2018-02-14,1.1917303933628562,1.1409419643441128,1.0917290310920966,-11.232302183663212,sell,8700,8700
source-cost-calibration,2018-03-01,2018-02-28,2018-02-23,1.1958996524092338,1.1408980781667906,1.0919484619787079,-10.371503851306043,sell,7800,7800
source-cost-calibration,2018-03-08,2018-03-07,2018-03-02,1.1967287226232868,1.1407894323377954,1.0924916911236833,-10.196674166901921,sell,7000,7000
source-cost-calibration,2018-03-15,2018-03-14,2018-03-09,1.1986570869544226,1.1406922899316394,1.0929774031544637,-9.83952630320854,sell,6200,6200
source-cost-calibration,2018-03-22,2018-03-21,2018-03-16,1.1922886125681202,1.1405930781800961,1.0934734619121798,-11.03183371332291,sell,5600,5600
source-cost-calibration,2018-03-29,2018-03-28,2018-03-23,1.1433271299920464,1.1404867094067659,1.0940053057788315,-200.7601823682243,sell,5500,5500
source-cost-calibration,2018-04-03,2018-04-02,2018-03-30,1.1360860973840974,1.1403851556499784,1.094513074562769,50.0,normal,7800,7800
source-cost-calibration,2018-04-12,2018-04-11,2018-04-04,1.1420764610732848,1.1401596060571022,1.094681055672911,-297.4037150518952,sell,7700,7700
source-cost-calibration,2018-04-19,2018-04-18,2018-04-13,1.1212314551496214,1.1398850375403962,1.095093423870365,50.0,normal,10000,10000
source-cost-calibration,2018-04-26,2018-04-25,2018-04-20,1.1231980750319988,1.138971254457058,1.0948557138094623,50.0,normal,12200,12200
source-cost-calibration,2018-05-03,2018-05-02,2018-04-27,1.1139433523068367,1.138372854462733,1.0949591922960553,50.0,normal,14400,14400
source-cost-calibration,2018-05-10,2018-05-09,2018-05-04,1.1248301494138593,1.137344545992177,1.0943144245398462,50.0,normal,16600,16600
source-cost-calibration,2018-05-17,2018-05-16,2018-05-11,1.1261314072619844,1.1354780175739698,1.0930048031515782,50.0,normal,18700,18700
source-cost-calibration,2018-05-24,2018-05-23,2018-05-18,1.1218879851036812,1.1347435835287139,1.0927971773542702,50.0,normal,20800,20800
source-cost-calibration,2018-05-31,2018-05-30,2018-05-25,1.105510184769974,1.134165932942898,1.09277106393473,50.0,normal,22900,22900
source-cost-calibration,2018-06-07,2018-06-06,2018-06-01,1.1146109842321732,1.1335902412495966,1.0927322558240709,50.0,normal,24900,24900
source-cost-calibration,2018-06-14,2018-06-13,2018-06-08,1.1169396465507557,1.1328565533341728,1.0925056769010422,50.0,normal,26900,26900
source-cost-calibration,2018-06-21,2018-06-20,2018-06-15,1.103119253545714,1.1321243186227092,1.092266001090017,50.0,normal,29000,29000
source-cost-calibration,2018-06-28,2018-06-27,2018-06-22,1.082066934285113,1.1320661274652217,1.0925569568774547,47.5996623044893,buy,31200,31200
source-cost-calibration,2018-07-05,2018-07-04,2018-06-29,1.0718820073061255,1.1316830480239712,1.0925197373633246,45.27749262750025,buy,33500,33500
source-cost-calibration,2018-07-12,2018-07-11,2018-07-06,1.079543007402906,1.1316421961650953,1.0927239966577043,46.984373616962124,buy,35700,35700
source-cost-calibration,2018-07-19,2018-07-18,2018-07-13,1.0773679052841565,1.1309568474332676,1.092241111839355,46.59571353019489,buy,37800,37800
source-cost-calibration,2018-07-26,2018-07-25,2018-07-20,1.0976043288744108,1.1304343210242382,1.091917484204092,50.0,normal,39700,39700
source-cost-calibration,2018-08-02,2018-08-01,2018-07-27,1.085290578230065,1.1299184140524283,1.0915578153942498,48.56461172376812,buy,41700,41700
source-cost-calibration,2018-08-09,2018-08-08,2018-08-03,1.0740846890282438,1.1292343054144207,1.0910540101145099,46.111713781134206,buy,43800,43800
source-cost-calibration,2018-08-16,2018-08-15,2018-08-10,1.0685568950723632,1.128870645600841,1.0909079164083204,44.877885429242916,buy,46000,46000
source-cost-calibration,2018-08-23,2018-08-22,2018-08-17,1.0711452904510828,1.1283444027566567,1.0905895763462408,45.54271232806446,buy,48100,48100
source-cost-calibration,2018-08-30,2018-08-29,2018-08-24,1.0813473078041325,1.1278186768315654,1.090265680967179,47.95500002459609,buy,50000,50000
source-cost-calibration,2018-09-06,2018-09-05,2018-08-31,1.0711452904510828,1.1274600238664791,1.0900886115653323,45.65555476103737,buy,52000,52000
source-cost-calibration,2018-09-13,2018-09-12,2018-09-07,1.0614524790871933,1.1271013321105958,1.0899102451341844,43.472451934909664,buy,54100,54100
source-cost-calibration,2018-09-20,2018-09-19,2018-09-14,1.0762762554042176,1.126750026408799,1.089693455191104,46.921794904115174,buy,56000,56000
source-cost-calibration,2018-09-27,2018-09-26,2018-09-21,1.0909630765957317,1.1264054038538593,1.0894417540088943,50.0,normal,57700,57700
source-cost-calibration,2018-10-11,2018-10-10,2018-09-28,1.0766404436703418,1.125733705988971,1.0888461198258492,47.197566319688136,buy,59500,59500
source-cost-calibration,2018-10-18,2018-10-17,2018-10-12,1.0584260244570054,1.1250610245399264,1.0882493942550286,43.14877408720289,buy,61600,61600
source-cost-calibration,2018-10-25,2018-10-24,2018-10-19,1.0659529803138696,1.1243874077813145,1.0876513176303033,45.01257044313879,buy,63500,63500
source-cost-calibration,2018-11-01,2018-10-31,2018-10-26,1.0633333589517495,1.1237109460178225,1.0870614200513935,44.543072575760675,buy,65400,65400
source-cost-calibration,2018-11-08,2018-11-07,2018-11-02,1.06781451116184,1.1233657062051476,1.086799242908847,45.632879791074856,buy,67200,67200
source-cost-calibration,2018-11-15,2018-11-14,2018-11-09,1.0610753236297918,1.123349759968512,1.0868789740920248,44.06473694925664,buy,69000,69000
source-cost-calibration,2018-11-22,2018-11-21,2018-11-16,1.0637085593914173,1.1230051976568114,1.086611891020477,44.73056299624369,buy,70700,70700
source-cost-calibration,2018-11-29,2018-11-28,2018-11-23,1.0576661039098292,1.1226646257367283,1.0863233352458492,43.40499499406994,buy,72500,72500
source-cost-calibration,2018-12-06,2018-12-05,2018-11-30,1.0659529803138696,1.1223268144583185,1.0860194531916736,45.38072895038134,buy,74100,74100
source-cost-calibration,2018-12-13,2018-12-12,2018-12-07,1.0572856444182146,1.122154733150697,1.0858826278053135,43.41618913157849,buy,75800,75800
source-cost-calibration,2018-12-20,2018-12-19,2018-12-14,1.0538464268522527,1.1216512682994046,1.0854067285487756,42.730766065288705,buy,77600,77600
source-cost-calibration,2018-12-27,2018-12-26,2018-12-21,1.0421815945157662,1.1209833517931131,1.0847497353099425,40.18940973006705,buy,79500,79500
source-cost-calibration,2019-01-03,2019-01-02,2018-12-28,1.0366288953621612,1.1206514633967004,1.0844085884095371,38.98485000071498,buy,81400,81400
source-cost-calibration,2019-01-10,2019-01-09,2019-01-04,1.0503797562614579,1.1203175006779023,1.0840762759800056,42.229209220521405,buy,83100,83100
source-cost-calibration,2019-01-17,2019-01-16,2019-01-11,1.0549958615291415,1.1199815127074946,1.083752550303548,43.366408049892954,buy,84700,84700
source-cost-calibration,2019-01-24,2019-01-23,2019-01-18,1.0584260244570054,1.1196475374378938,1.083417219248699,44.23324773972489,buy,86200,86200
source-cost-calibration,2019-01-31,2019-01-30,2019-01-25,1.0633333589517495,1.1193138358115353,1.0830789757284254,45.44224908359155,buy,87600,87600
source-cost-calibration,2019-02-14,2019-02-13,2019-02-01,1.0891983668051488,1.1193150982965914,1.0830726633031458,50.0,normal,88800,88800
source-cost-calibration,2019-02-21,2019-02-20,2019-02-15,1.0937717814987298,1.1186462076791992,1.0823989708114514,50.0,normal,90000,90000
source-cost-calibration,2019-02-28,2019-02-27,2019-02-22,1.1202447955463652,1.1183112430451974,1.0820623952776376,-289.1856420680906,sell,89600,89600
source-cost-calibration,2019-03-07,2019-03-06,2019-03-01,1.1370374547895128,1.118310202304263,1.082067598982309,-29.857828936334453,sell,86500,86500
source-cost-calibration,2019-03-14,2019-03-13,2019-03-08,1.1172712956557642,1.118309185596882,1.082072682519213,50.0,normal,87700,87700
source-cost-calibration,2019-03-21,2019-03-20,2019-03-15,1.1251558295805302,1.1183086781947202,1.0820752195300232,-81.66233044827281,sell,86600,86600
source-cost-calibration,2019-03-28,2019-03-27,2019-03-22,1.1027766148834413,1.1183070299039959,1.082083460983644,50.0,normal,87700,87700
source-cost-calibration,2019-04-03,2019-04-02,2019-03-29,1.1172712956557642,1.1179703704714445,1.0817538056388671,50.0,normal,88800,88800
source-cost-calibration,2019-04-11,2019-04-10,2019-04-04,1.126780577012009,1.117969381126611,1.0817587523630345,-63.440275058424085,sell,87400,87400
source-cost-calibration,2019-04-18,2019-04-17,2019-04-12,1.129689892199301,1.1179691365472089,1.0817599752600453,-47.69185408057067,sell,85500,85500
