generation,config,case,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation
G0,risk-core__trend-250-vol-20-target-0p2,next-close,0.4486949045567026,0.15428659287904622,0.14902485163032442,0.8830936797049708,0.18100534234896024,9.94581463691456,0.5498343702622929,1.0,117,"{'2023': 0.0, '2024': -0.014821249116014235, '2025': 0.2614496572468106, '2026': 0.16571389570939088}",1.0353078106849873,0.450165629737707,0.7127496159754224,390,1,0.00016746587003429458
G0,risk-core__trend-250-vol-20-target-0p2,second-next-open,0.4225830075183168,0.14618798514201536,0.1510631484945657,0.8450254864214098,0.18077580733556517,10.019197115638447,0.5499425442948568,1.0,119,"{'2023': 0.0, '2024': -0.02224201115835167, '2025': 0.24232511409485347, '2026': 0.17114583706854725}",0.9677276463443649,0.4500574557051433,0.7127496159754224,391,0,0.00016924389144804087
G0,risk-core__trend-250-vol-60-target-0p15,base,0.48330785964364353,0.16488508073018182,0.11378942942872083,1.147761827372692,0.1416668913130627,4.244188071195899,0.6730143455187483,1.0,103,"{'2023': 0.0, '2024': -0.01724999157637941, '2025': 0.33165405008639515, '2026': 0.13343554309355388}",1.4490368882064566,0.3269856544812517,0.7127496159754224,429,1,0.00017282363194370617
G0,risk-core__trend-250-vol-60-target-0p15,slippage-10bp,0.4784408071784807,0.16340401403940796,0.11396050235713118,1.1388391615285804,0.14165804646226499,4.24167101514171,0.6730080458052169,1.0,103,"{'2023': 0.0, '2024': -0.017653042513400496, '2025': 0.32915128870798216, '2026': 0.13230811581899027}",1.433865336319157,0.3269919541947831,0.7127496159754224,427,1,0.00017264595171895253
G0,risk-core__trend-250-vol-60-target-0p15,slippage-20bp,0.4723999541265609,0.16156159209363952,0.11417097120901054,1.1276929324192793,0.1416512105302243,4.24007346591275,0.6730027682581466,1.0,103,"{'2023': 0.0, '2024': -0.01813435906380012, '2025': 0.3260246222125014, '2026': 0.1308946360849388}",1.415084678555216,0.32699723174185336,0.7127496159754224,428,1,0.00017240904475261434
G0,risk-core__trend-250-vol-60-target-0p15,next-close,0.5017497380854725,0.17047016387043734,0.11332176226683033,1.1835121427669384,0.1413991413789158,4.366804472478315,0.6732417057150917,1.0,103,"{'2023': 0.0, '2024': -0.00911916216814812, '2025': 0.34180105948756023, '2026': 0.1295046014991743}",1.5043020904408804,0.3267582942849083,0.7127496159754224,433,1,0.00017501502138233437
G0,risk-core__trend-250-vol-60-target-0p15,second-next-open,0.4805053752859276,0.16403263611610108,0.11275063785693595,1.1410668337619787,0.14188254708402825,4.520762029878328,0.6729362034810114,1.0,103,"{'2023': 0.0, '2024': -0.01959748412025597, '2025': 0.3375118576716012, '2026': 0.1290363656370761}",1.45482667977661,0.32706379651898854,0.7127496159754224,436,0,0.00010468355371676131
G0,risk-core__trend-250-vol-60-target-0p2,base,0.5578921066794715,0.18721834162434936,0.149516681143385,1.039937352130532,0.1806340031748357,4.640429327340367,0.5811422511614898,1.0,116,"{'2023': 0.0, '2024': -0.0234549248352367, '2025': 0.3559719230072518, '2026': 0.17650664835865237}",1.2521568843867583,0.4188577488385102,0.7127496159754224,424,1,0.00011235312878588437
G0,risk-core__trend-250-vol-60-target-0p2,slippage-10bp,0.55241546901925,0.18560102413725033,0.1497196842272509,1.0323680098418093,0.18063789034055924,4.637124909453459,0.5811322216670496,1.0,116,"{'2023': 0.0, '2024': -0.02394394693695978, '2025': 0.35347761262176336, '2026': 0.17511975114691825}",1.2396567966008878,0.41886777833295036,0.7127496159754224,424,1,0.00011217544856113073
G0,risk-core__trend-250-vol-60-target-0p2,slippage-20bp,0.5456417494365411,0.18359581781643697,0.14995651141094168,1.022978170526571,0.18064084850004442,4.639195635033754,0.5811168760283184,1.0,116,"{'2023': 0.0, '2024': -0.02456217149535944, '2025': 0.35036321606747456, '2026': 0.1734339435516714}",1.2243270804914228,0.41888312397168165,0.7127496159754224,424,1,0.0001119977683363771
G0,risk-core__trend-250-vol-60-target-0p2,next-close,0.5782360588741737,0.19319583057904843,0.1489677799900041,1.0697282534429708,0.18023334901462554,4.802334973902151,0.5813440128875194,1.0,115,"{'2023': 0.0, '2024': -0.01249910708135682, '2025': 0.3646401326740172, '2026': 0.17116025470833907}",1.2968967557414903,0.41865598711248064,0.7127496159754224,429,1,0.00011401147755025167
G0,risk-core__trend-250-vol-60-target-0p2,second-next-open,0.551558282257044,0.18534757015745296,0.14818565534111905,1.0313068955902842,0.18061325290063154,4.981391627909793,0.5810342370910513,1.0,116,"{'2023': 0.0, '2024': -0.02654948314924488, '2025': 0.36178572561253963, '2026': 0.1704299768768478}",1.2507794342899674,0.41896576290894866,0.7127496159754224,428,0,6.795248223719594e-05
G1,risk-friction__buffer-0p01,base,0.4280699251627553,0.1478972669001375,0.12135697014663349,1.0551957740506148,0.13993684485569183,7.492174742938985,0.676855542409516,1.0,103,"{'2023': 0.0, '2024': -0.01724999157637941, '2025': 0.33165405008639515, '2026': 0.09122674748806725}",1.2186961055589622,0.32314445759048405,0.7050691244239631,427,1,0.00026084651058275247
G1,risk-friction__buffer-0p01,slippage-10bp,0.4200087982439502,0.14538467613504902,0.12296646347958018,1.0396947755838422,0.13991114151747347,7.483270390749594,0.6768489216854581,1.0,103,"{'2023': 0.0, '2024': -0.017653042513400496, '2025': 0.32915128870798216, '2026': 0.0875562139376791}",1.1823115996109916,0.32315107831454193,0.7050691244239631,425,1,0.00025981888151939295
G1,risk-friction__buffer-0p01,slippage-20bp,0.4100879385495395,0.1422803915216826,0.12497217620560397,1.020418770400257,0.13989038372111742,7.475489759422741,0.6768430459127487,1.0,103,"{'2023': 0.0, '2024': -0.01813435906380012, '2025': 0.3260246222125014, '2026': 0.08303513705262766}",1.138496550525,0.3231569540872513,0.7050691244239631,426,1,0.00025856289044195357
