model,execution_date,target_weight,execution,delay,config
risk-core__trend-150-vol-20-target-0p15,2025-08-22,0.7384098330556986,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-25,0.3991102388424919,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-26,0.3962529275104221,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-27,0.38605727868500167,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-28,0.3923051737230288,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-29,0.3457456158133522,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-01,0.3423570226896676,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-02,0.3423817511490804,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-03,0.3267643751512485,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-04,0.31722269560304023,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-05,0.27990537626144574,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-08,0.27922726951288485,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-09,0.27885027000274204,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-10,0.2756218418549623,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-11,0.27558263174345204,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-12,0.26384973460548217,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-15,0.2639109620868495,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-16,0.264333907885031,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-17,0.2667283750595694,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-18,0.26961054954835817,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-09-19,0.27010081364955996,open,1,risk-core__trend-150-vol-20-target-0p15
