date,code,amount,avg_cost,last_price,market_value
2014-03-13,159902.XSHE,170100,2.312384039867652,2.266,385446.6
2014-03-13,511010.XSHG,2400,94.25360393423333,94.536,226886.4
2014-03-14,159915.XSHE,278200,1.3159095718307487,1.398,388923.6
2014-03-14,159902.XSHE,170100,2.312384039867652,2.247,382214.69999999995
2014-03-14,511010.XSHG,2400,94.25360393423333,94.576,226982.4
2014-03-17,159915.XSHE,286300,1.3183740516357467,1.438,411699.39999999997
2014-03-17,511010.XSHG,6300,94.53426999768887,94.674,596446.2000000001
2014-03-18,159915.XSHE,286300,1.3183740516357467,1.444,413417.2
2014-03-18,511010.XSHG,6300,94.53426999768887,94.492,595299.6
2014-03-19,159915.XSHE,286300,1.3183740516357467,1.427,408550.10000000003
2014-03-19,511010.XSHG,6300,94.53426999768887,94.418,594833.4
2014-03-20,159915.XSHE,286300,1.3183740516357467,1.382,395666.6
2014-03-20,511010.XSHG,6300,94.53426999768887,94.37,594531.0
2014-03-21,159915.XSHE,286300,1.3183740516357467,1.382,395666.6
2014-03-21,511010.XSHG,6300,94.53426999768887,94.574,595816.2
2014-03-24,159915.XSHE,288900,1.3189133471211987,1.359,392615.1
2014-03-24,511010.XSHG,6300,94.53426999768887,94.582,595866.6
2014-03-25,159915.XSHE,288900,1.3189133471211987,1.359,392615.1
2014-03-25,511010.XSHG,6300,94.53426999768887,94.531,595545.3
2014-03-26,159915.XSHE,288900,1.3189133471211987,1.385,400126.5
2014-03-26,511010.XSHG,6300,94.53426999768887,94.526,595513.7999999999
2014-03-27,159915.XSHE,288900,1.3189133471211987,1.332,384814.80000000005
2014-03-27,511010.XSHG,6300,94.53426999768887,94.502,595362.6
2014-03-28,159915.XSHE,288900,1.3189133471211987,1.292,373258.8
2014-03-28,511010.XSHG,6300,94.53426999768887,94.345,594373.5
2014-03-31,159915.XSHE,299900,1.3180269722684705,1.297,388970.3
2014-03-31,511010.XSHG,6100,94.53426999768887,94.294,575193.4
2014-04-01,159915.XSHE,299900,1.3180269722684705,1.321,396167.89999999997
2014-04-01,511010.XSHG,6100,94.53426999768887,94.244,574888.4
2014-04-02,159915.XSHE,299900,1.3180269722684705,1.292,387470.8
2014-04-02,511010.XSHG,6100,94.53426999768887,94.161,574382.1
2014-04-03,159915.XSHE,299900,1.3180269722684705,1.294,388070.60000000003
2014-04-03,511010.XSHG,6100,94.53426999768887,94.158,574363.8
2014-04-04,159915.XSHE,299900,1.3180269722684705,1.314,394068.60000000003
