cash,daily_return,date,market_value,total_value
11947.122240897384,0.000982313479782615,2024-08-28,1880650.7999999998,1892597.922240897
11947.122240897384,-0.004619893056654556,2024-08-29,1871907.2000000002,1883854.3222408975
11947.122240897384,-0.0017919644635709941,2024-08-30,1868531.4,1880478.5222408972
8107.810281887387,-0.002539625899751652,2024-09-02,1867595.0,1875702.8102818874
8107.810281887387,-0.003680593728471515,2024-09-03,1860691.3,1868799.1102818875
8107.810281887387,-0.0038448755462625606,2024-09-04,1853506.0,1861613.8102818874
8107.810281887387,0.0020179803024942267,2024-09-05,1857262.7,1865370.5102818874
8107.810281887387,-0.00026804326392193545,2024-09-06,1856762.7000000002,1864870.5102818876
7434.968159147422,-0.005535742061350657,2024-09-09,1847112.1,1854547.0681591476
7434.968159147422,0.003690982082646288,2024-09-10,1853957.1999999997,1861392.1681591473
7434.968159147422,0.00023380349796497946,2024-09-11,1854392.4,1861827.3681591474
7434.968159147422,-0.0006912563549178463,2024-09-12,1853105.4,1860540.3681591474
7434.968159147422,0.005946874461502327,2024-09-13,1864169.7999999998,1871604.7681591474
11295.596741587426,0.0021482786594921865,2024-09-18,1864329.9000000001,1875625.4967415875
11295.596741587426,-0.0005054847045143918,2024-09-19,1863381.8,1874677.3967415874
11295.596741587426,0.005863782226801728,2024-09-20,1874374.5000000002,1885670.0967415876
4978.475041587428,0.004988506905982293,2024-09-23,1890098.3,1895076.7750415874
4978.475041587428,0.005042064852380568,2024-09-24,1899653.4000000001,1904631.8750415875
4978.475041587428,0.007101792308135346,2024-09-25,1913179.7,1918158.1750415873
4978.475041587428,0.006093970847710128,2024-09-26,1924868.9000000001,1929847.3750415875
4978.475041587428,-0.0044139241839353804,2024-09-27,1916350.7,1921329.1750415873
624624.5778378975,0.004817864068560773,2024-09-30,1305961.3,1930585.8778378975
670975.0577211374,0.012030120053115878,2024-10-08,1282836.0,1953811.0577211375
670975.0577211374,-0.010394915065988442,2024-10-09,1262526.2999999998,1933501.3577211373
670975.0577211374,-0.0004390997692397258,2024-10-10,1261677.2999999998,1932652.3577211373
670975.0577211374,-0.00038247954788483973,2024-10-11,1260938.1,1931913.1577211376
12654.34448562775,0.004449002653218903,2024-10-14,1927853.9,1940508.2444856276
12654.34448562775,-0.016991270247728174,2024-10-15,1894882.2,1907536.5444856277
12654.34448562775,-0.0018756652449689604,2024-10-16,1891304.3,1903958.6444856278
12654.34448562775,0.0010064819451567342,2024-10-17,1893220.5999999999,1905874.9444856276
12654.34448562775,0.031815728610864014,2024-10-18,1953857.4,1966511.7444856276
13683.711328417732,-0.00125014923714728,2024-10-21,1950369.6,1964053.3113284179
13683.711328417732,-0.0057414938458941744,2024-10-22,1939093.0,1952776.7113284178
13683.711328417732,-0.0036508014247824683,2024-10-23,1931963.8000000003,1945647.511328418
13683.711328417732,-0.002296407737776618,2024-10-24,1927495.7999999998,1941179.5113284176
13683.711328417732,0.0012832404141212006,2024-10-25,1929986.8000000003,1943670.511328418
11061.89442841773,0.0014168981233950717,2024-10-28,1935362.5999999999,1946424.4944284176
11061.89442841773,-0.0016437832595912472,2024-10-29,1932163.1,1943224.9944284179
11061.89442841773,-0.00041909712068100013,2024-10-30,1931348.6999999997,1942410.5944284175
11061.89442841773,0.008063228261277589,2024-10-31,1947010.7999999998,1958072.6944284176
11061.89442841773,-0.012453623437672312,2024-11-01,1922625.7,1933687.5944284177
6640.7091284177295,0.01063895468910081,2024-11-04,1947619.3,1954260.0091284178
6640.7091284177295,0.023554184082459573,2024-11-05,1993650.3,2000291.0091284178
6640.7091284177295,-0.0018417320195851516,2024-11-06,1989966.3,1996607.0091284178
6640.7091284177295,0.02452871284939473,2024-11-07,2038940.5,2045581.2091284178
6640.7091284177295,-0.006816937864784878,2024-11-08,2024995.9000000001,2031636.609128418
6361.758894257757,0.00747798582560355,2024-11-11,2040467.4,2046829.1588942576
6361.758894257757,-0.004614161352431534,2024-11-12,2031023.0,2037384.7588942577
6361.758894257757,-0.00044537488367812905,2024-11-13,2030115.5999999999,2036477.3588942576
6361.758894257757,-0.007245747140548486,2024-11-14,2015359.8,2021721.5588942578
