amount,code,date,fees,price,reason,requested_amount,side,status,value
203200,159915.XSHE,2014-10-13,91.65348191999999,1.503502,,203200,buy,filled,305511.6064
200,511010.XSHG,2014-10-13,5.869964099999999,97.83273499999999,,200,buy,filled,19566.547
600,511010.XSHG,2014-10-20,17.87374836,99.298602,,600,sell,filled,59579.1612
2000,159901.XSHE,2014-10-20,5.0,1.4515470000000001,,2000,sell,filled,2903.0940000000005
13500,510500.XSHG,2014-10-20,16.333767449999996,4.033028999999999,,13500,buy,filled,54445.89149999999
7600,159915.XSHE,2014-10-20,5.0,1.466465,,7600,buy,filled,11145.134
500,511010.XSHG,2014-10-27,14.8390461,98.926974,,500,sell,filled,49463.487
256400,159901.XSHE,2014-10-27,108.04137047999998,1.404594,,256400,sell,filled,360137.9016
4600,510500.XSHG,2014-10-27,5.423297879999999,3.9299259999999996,,4600,buy,filled,18077.6596
1500,159915.XSHE,2014-10-27,5.0,1.4394379999999998,,1500,buy,filled,2159.1569999999997
230700,510180.XSHG,2014-10-27,115.07276780999997,1.662661,,230700,buy,filled,383575.89269999997
3100,510500.XSHG,2014-11-03,5.0,4.124871,,3100,sell,filled,12787.1001
1900,510180.XSHG,2014-11-03,5.0,1.750248,,1900,sell,filled,3325.4712
6800,159915.XSHE,2014-11-03,5.0,1.476475,,6800,buy,filled,10040.03
100,511010.XSHG,2014-11-03,5.0,99.558459,,100,buy,filled,9955.8459
228800,510180.XSHG,2014-11-10,120.54845087999999,1.756242,,228800,sell,filled,401828.1696
11700,510500.XSHG,2014-11-10,14.556471929999995,4.147142999999999,,11700,buy,filled,48521.57309999999
20400,159915.XSHE,2014-11-10,9.0666576,1.48148,,20400,buy,filled,30222.192
124100,510260.XSHG,2014-11-10,34.91939451,0.9379369999999999,,124100,buy,filled,116397.98169999999
2100,511010.XSHG,2014-11-10,63.365071769999986,100.57947899999999,,2100,buy,filled,211216.90589999998
400,511010.XSHG,2014-11-17,12.038829119999999,100.323576,,400,sell,filled,40129.4304
9600,510500.XSHG,2014-11-17,11.64945888,4.044951,,9600,sell,filled,38831.5296
239500,159915.XSHE,2014-11-17,100.56118814999999,1.399599,,239500,sell,filled,335203.9605
13100,510260.XSHG,2014-11-17,5.0,0.9250740000000001,,13100,sell,filled,12118.4694
228200,510180.XSHG,2014-11-17,126.02383793999998,1.8408389999999997,,228200,buy,filled,420079.45979999995
1900,511010.XSHG,2014-11-24,57.238534169999994,100.418481,,1900,sell,filled,190795.1139
2300,510500.XSHG,2014-11-24,5.0,4.174821000000001,,2300,sell,filled,9602.088300000001
111000,510260.XSHG,2014-11-24,31.137631199999998,0.935064,,111000,sell,filled,103792.104
9400,510180.XSHG,2014-11-24,5.15825658,1.829169,,9400,sell,filled,17194.1886
561100,510230.XSHG,2014-11-24,98.40302471999998,0.5845839999999999,,561100,buy,filled,328010.08239999996
2000,510180.XSHG,2014-12-01,5.0,1.996002,,2000,sell,filled,3992.004
79900,510230.XSHG,2014-12-01,16.13962422,0.6733260000000001,,79900,sell,filled,53798.74740000001
13100,510500.XSHG,2014-12-01,17.01818118,4.3303259999999995,,13100,buy,filled,56727.270599999996
216800,510180.XSHG,2014-12-08,141.84033767999998,2.180817,,216800,sell,filled,472801.12559999997
116000,510230.XSHG,2014-12-08,27.812159999999995,0.7992,,116000,sell,filled,92707.2
138300,159905.XSHE,2014-12-08,33.391317959999995,0.804804,,138300,buy,filled,111304.39319999999
11800,510500.XSHG,2014-12-08,15.308092799999999,4.32432,,11800,buy,filled,51026.976
4000,511010.XSHG,2014-12-08,119.35003079999997,99.45835899999999,,4000,buy,filled,397833.4359999999
106700,510500.XSHG,2014-12-15,144.92425067999997,4.527468,,106700,sell,filled,483080.8356
63800,510230.XSHG,2014-12-15,14.608337039999999,0.763236,,63800,sell,filled,48694.4568
58000,159905.XSHE,2014-12-15,14.961546599999997,0.8598589999999999,,58000,buy,filled,49871.82199999999
80300,159931.XSHE,2014-12-15,33.10864556999999,1.3743729999999998,,80300,buy,filled,110362.15189999998
3800,511010.XSHG,2014-12-15,113.23988675999998,99.33323399999999,,3800,buy,filled,377466.28919999994
62100,510230.XSHG,2014-12-22,15.894109979999996,0.853146,,62100,sell,filled,52980.366599999994
196300,159905.XSHE,2014-12-22,51.53605235999999,0.875124,,196300,sell,filled,171786.8412
600,511010.XSHG,2014-12-22,17.93632572,99.646254,,600,sell,filled,59787.7524
15800,159931.XSHE,2014-12-22,7.069662599999998,1.4914899999999998,,15800,buy,filled,23565.541999999998
146600,510060.XSHG,2014-12-22,75.28100579999999,1.7117099999999998,,146600,buy,filled,250936.686
35900,510230.XSHG,2014-12-29,10.156713119999997,0.9430559999999999,,35900,sell,filled,33855.710399999996
11000,510060.XSHG,2014-12-29,5.789005199999998,1.754244,,11000,sell,filled,19296.683999999997
1700,159931.XSHE,2014-12-29,5.0,1.6216199999999998,,1700,buy,filled,2756.754
500,511010.XSHG,2014-12-29,15.035270249999998,100.235135,,500,buy,filled,50117.5675
1400,510230.XSHG,2015-01-05,5.0,0.9580409999999999,,1400,sell,filled,1341.2574
1600,159931.XSHE,2015-01-05,5.0,1.695303,,1600,sell,filled,2712.4848
4700,510060.XSHG,2015-01-05,5.0,1.83816,,4700,sell,filled,8639.352
200,511010.XSHG,2015-01-05,6.002096099999998,100.03493499999999,,200,buy,filled,20006.986999999997
500,510230.XSHG,2015-01-12,5.0,0.9250740000000001,,500,sell,filled,462.53700000000003
19100,159931.XSHE,2015-01-12,9.158832,1.5984,,19100,sell,filled,30529.440000000002
2800,510060.XSHG,2015-01-12,5.0,1.806192,,2800,sell,filled,5057.3376
300,511010.XSHG,2015-01-12,9.029450429999999,100.327227,,300,buy,filled,30098.1681
8500,159931.XSHE,2015-01-19,5.0,1.535463,,8500,sell,filled,13051.4355
2200,510060.XSHG,2015-01-19,5.0,1.7982,,2200,sell,filled,3956.04
10700,510230.XSHG,2015-01-19,5.0,0.8598589999999999,,10700,buy,filled,9200.4913
100,511010.XSHG,2015-01-19,5.0,101.78067899999999,,100,buy,filled,10178.0679
32600,510230.XSHG,2015-01-26,8.900670419999999,0.910089,,32600,sell,filled,29668.901400000002
68600,159931.XSHE,2015-01-26,32.71003722,1.589409,,68600,sell,filled,109033.4574
16800,510060.XSHG,2015-01-26,9.118312559999998,1.809189,,16800,sell,filled,30394.3752
61700,159933.XSHE,2015-01-26,31.350238919999995,1.6936919999999998,,61700,buy,filled,104500.79639999999
600,511010.XSHG,2015-01-26,18.421062659999993,102.33923699999998,,600,buy,filled,61403.54219999999
800,511010.XSHG,2015-02-02,24.42483072,101.770128,,800,sell,filled,81416.1024
61700,159933.XSHE,2015-02-02,29.01314781,1.567431,,61700,sell,filled,96710.4927
8900,510230.XSHG,2015-02-02,5.0,0.8308299999999998,,8900,buy,filled,7394.386999999999
3100,510060.XSHG,2015-02-02,5.0,1.6806789999999998,,3100,buy,filled,5210.104899999999
52000,510110.XSHG,2015-02-02,49.813763999999985,3.1931899999999995,,52000,buy,filled,166045.87999999998
900,510230.XSHG,2015-02-09,5.0,0.825174,,900,sell,filled,742.6565999999999
100,511010.XSHG,2015-02-09,5.0,102.789108,,100,sell,filled,10278.9108
52000,510110.XSHG,2015-02-09,49.79215799999999,3.191805,,52000,sell,filled,165973.86
