symbol,entry_date,exit_date,status,entry_kind,entry_score,entry_gross,exit_gross,gross_pnl,total_costs,net_pnl,net_return,holding_days,had_partial_exit,partial_exit_count,exit_reason
SZ002127,2019-05-13,2019-05-21,closed,right,204.7480327164347,115294.40631713868,113187.47435363356,-2106.9319635051215,181.73203855486526,-2288.6640020599866,-0.0198193673138806,8.0,True,1,exit_resonance
SH600161,2019-05-27,2019-07-10,closed,right,201.72885410073332,115659.00343322754,126936.32990204802,11277.32646882048,199.71492990263067,11077.611538917849,0.09561310271185502,44.0,True,1,exit_resonance
SH600338,2019-05-27,2019-06-10,closed,right,206.69640989739204,115506.6,102758.44255489498,-12748.157445105026,168.23795532136347,-12916.395400426389,-0.11166123617493426,14.0,True,1,exit_hard_stop
SZ000157,2019-05-27,2019-06-10,closed,right,203.74913358023755,116355.40289726257,113666.53205882134,-2688.870838441231,182.67311254564652,-2871.5439509868775,-0.02464039264510596,14.0,True,1,exit_resonance
SH600183,2019-06-03,2019-06-18,closed,right,201.67657582272577,117129.59715042115,113084.22753582425,-4045.3696145969006,182.14837494169785,-4227.517989538598,-0.03603661313371735,15.0,True,1,exit_resonance
SH600298,2019-06-17,2019-07-05,closed,right,202.82572118002815,113301.40310516357,114437.61973436199,1136.2166291984176,182.75932658621966,953.457302612198,0.008401677222454844,18.0,True,1,exit_resonance
SZ002155,2019-06-24,2019-07-05,closed,right,202.47157345481875,115268.40446319581,117433.20505486082,2164.8005916650145,187.2436879102778,1977.5569037547366,0.017128282032305157,11.0,True,1,exit_resonance
SH600004,2019-07-01,2019-07-05,closed,right,205.12734869684468,115239.59375152587,107123.26431263858,-8116.329438887289,173.8321217318879,-8290.161560619177,-0.07183013152839851,4.0,True,1,exit_hard_stop
SH601888,2019-07-01,2019-07-08,closed,right,204.5582309858734,107522.3981689453,102230.07114177314,-5292.32702717217,165.15581193498866,-5457.482839107159,-0.050678863409564706,7.0,True,1,exit_resonance
SZ000401,2019-07-01,2019-07-12,closed,right,200.61157967302952,115340.79072265624,117813.76025586281,2472.969533206575,187.7601255494185,2285.2094076571566,0.019780473232627323,11.0,True,1,exit_resonance
SZ002153,2019-07-01,2019-07-08,closed,right,205.6711320252383,114396.20473022462,111366.74200904608,-3029.462721178541,179.0956260308273,-3208.558347209368,-0.028003927000259363,7.0,True,1,exit_resonance
SH600585,2019-07-08,2019-07-11,closed,right,203.61605182690622,111727.20317382814,108155.74094295973,-3571.4622308684047,174.1206241779961,-3745.5828550464007,-0.03347219432191507,3.0,True,1,exit_resonance
SH600863,2019-07-08,2019-07-10,closed,right,201.61662106906184,115144.00494003294,113885.42068105513,-1258.5842589778185,182.5942483673815,-1441.1785073452002,-0.012496497056943957,2.0,False,0,exit_resonance
SH601021,2019-07-08,2019-07-10,closed,right,206.16324764775277,114244.80549316407,111258.68124611165,-2986.1242470524157,178.90972726789437,-3165.0339743203103,-0.0276606468180396,2.0,False,0,exit_resonance
SZ002001,2019-07-08,2019-08-05,closed,right,200.2078299056757,113680.79588012694,112970.13033960617,-710.6655405207712,180.9654082055261,-891.6309487262972,-0.007830819922664095,28.0,True,1,exit_resonance
SZ002179,2019-07-08,2019-07-17,closed,right,202.06845056472736,113094.40048828126,111975.5309798375,-1118.869508443764,179.4965104202731,-1298.3660188640372,-0.011462181961294405,9.0,True,1,exit_resonance
SZ000568,2019-07-15,2019-07-19,closed,right,207.05914549719594,105098.40219726562,101169.58137411339,-3928.8208231522294,163.04997644552708,-4091.8707995977566,-0.038873402514388776,4.0,True,1,exit_resonance
SH600025,2019-07-22,2019-08-06,closed,right,205.37634439203538,113251.19377632141,114713.53698500912,1462.3432086877147,183.10295621340828,1279.2402524743063,0.011277367509851184,15.0,True,1,exit_resonance
SH601966,2019-07-22,2019-08-02,closed,right,204.60907494329504,113052.00091552734,111628.51561333849,-1423.4853021888557,179.03267057199824,-1602.517972760854,-0.014152639272186112,11.0,True,1,exit_resonance
SZ300498,2019-07-22,2019-08-13,closed,right,200.36071339413098,110165.4082397461,109883.30412316752,-282.1041165785864,175.8979178320416,-458.00203441062797,-0.004150775900337416,22.0,True,1,exit_resonance
SZ000157,2019-07-29,2019-08-02,closed,right,206.67188247569962,113259.99632835388,106460.05434533094,-6799.941983022945,172.37606954743637,-6972.318052570382,-0.06146673921367602,4.0,True,1,exit_resonance
SZ000425,2019-07-29,2019-08-02,closed,right,205.73144246874136,113124.00755310059,105581.32429566144,-7542.683257439145,171.19292385029004,-7713.8761812894345,-0.06808652218995605,4.0,True,1,exit_resonance
SH600845,2019-08-05,2019-08-07,closed,right,209.29486904752034,109735.1914855957,107924.55268833997,-1810.6387972557277,173.22247594052067,-1983.8612731962485,-0.018050131029008612,2.0,False,0,exit_resonance
SH601888,2019-08-05,2019-08-07,closed,right,206.31667810398022,107198.40219726562,103402.66495287542,-3795.7372443901986,166.58298509791774,-3962.320229488116,-0.036905143914079286,2.0,False,0,exit_resonance
