symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,positive_contribution_share
SH517380,6407.650900000006,0.018149905011710852,5,0.33560982754252927,0.3389983638943897,0.000597595846763763,0.003462985606196603
SZ159691,6148.165677705196,0.014558600898638628,5,0.3389727695050805,0.3446245931568471,0.0006035839912839752,0.0033227480052643093
SH513180,5925.141600000005,0.017511500398352836,10,0.33553080304997196,0.34069773608915094,0.00119491026727198,0.0032022156630718925
SH512550,5756.646600000008,0.02205270045157453,40,0.3320260814785961,0.3406542287471294,0.004729716260378861,0.003111153311389143
SZ159870,5585.2864000000045,0.008840675576938541,15,0.3476770517589872,0.35363709706396246,0.001857249208114248,0.0030185424754781255
SH512710,5569.786800000005,0.015743661758986845,5,0.3309570016075938,0.3320839371603127,0.000589310900298422,0.003010165787587435
SH513090,5478.995800000029,0.012966726049355769,20,0.3296090567994938,0.3378249769849138,0.0023476428546972492,0.002961098207115454
SZ159750,5357.22319999999,0.014379481308787335,5,0.3292177044661555,0.3331294791625328,0.0005862138612289094,0.0028952867627015156
SZ159761,5338.583200000005,0.014985789534722823,5,0.340246775854671,0.342001190546243,0.0006058525211087446,0.002885212860001939
SZ159819,5170.6409999999905,0.006471818281581063,20,0.3332286284653777,0.33904133688882065,0.0023734232796679324,0.0027944492665494557
SH510420,5094.056699999991,0.02044761304756996,10,0.3362133565216436,0.346251425720322,0.0011973410132537165,0.002753059632079725
SH563300,5066.197799999986,0.011074697069963897,5,0.33647420291601715,0.33764367856272415,0.0005991349767023097,0.002738003417062692
SZ159923,5032.557599999998,0.020503761773005034,5,0.3364062990464133,0.338542580858071,0.0005990140652535849,0.002719822724917067
SZ159839,4599.791599999993,0.015346640766690265,20,0.3387218467618113,0.3538502495577193,0.002412548766109767,0.002485936320641938
SZ159886,4587.038800000016,0.012814816230429007,5,0.33616329012202184,0.3381643174850996,0.0005985813570548822,0.002479044128241346
SH516070,4503.2464000000045,0.013673655559725752,5,0.32735069497905717,0.3311288113523005,0.0005828894141364978,0.0024337589091123347
SH513690,4340.142607713303,0.006676034992253028,10,0.33530727567957197,0.34109645593243676,0.0011941142296281054,0.0023456102109669775
SH516780,3919.192599999995,0.01019269604968567,10,0.33528563859284427,0.34089816799188655,0.001194037174475941,0.0021181097056508194
SH516960,3916.0444000000034,0.011205288680656423,5,0.3302348974187699,0.33564338542628946,0.0005880251022413993,0.002116408275367625
SZ159929,3863.8794000000016,0.012107799798002396,25,0.33342262440210524,0.33533269456296494,0.0029685062713862647,0.00208821593983523
SZ159695,3415.393500000013,0.005808560148260963,5,0.3343987385023851,0.33556678927100303,0.0005954393491851587,0.0018458337875425564
SH515650,3105.308700000016,0.008145871858284404,5,0.33696721148328757,0.3404344973564943,0.0006000128409602699,0.0016782498763934111
SH513330,3068.4293999999827,0.004982368765662036,10,0.3309976495797221,0.33313138478668447,0.0011787665583323438,0.00165831862747554
