trade_date,symbol,shares,adjusted_close,market_value
2025-01-08,SH513100,20000,8.209999999999999,164199.99999999997
2025-01-08,SH513310,110900,1.505,166904.5
2025-01-08,SH513520,110900,1.497,166017.30000000002
2025-01-09,SH513100,20000,8.18,163600.0
2025-01-09,SH513310,110900,1.509,167348.09999999998
2025-01-09,SH513520,110900,1.497,166017.30000000002
2025-01-10,SH513100,20000,8.149999999999999,162999.99999999997
2025-01-10,SH513310,110900,1.499,166239.1
2025-01-10,SH513520,110900,1.471,163133.90000000002
2025-01-13,SH513100,20000,7.960000000000001,159200.00000000003
2025-01-13,SH513310,110900,1.468,162801.19999999998
2025-01-13,SH513520,110900,1.448,160583.19999999998
2025-01-14,SH513100,20000,8.055,161100.0
2025-01-14,SH513310,110900,1.495,165795.5
2025-01-14,SH513520,110900,1.45,160805.0
2025-01-15,SH513310,110900,1.5,166350.0
2025-01-15,SH513350,135600,1.172,158923.19999999998
2025-01-15,SZ159518,139900,1.166,163123.4
2025-01-16,SH513310,110900,1.495,165795.5
2025-01-16,SH513350,135600,1.233,167194.80000000002
2025-01-16,SZ159518,139900,1.166,163123.4
2025-01-17,SH513310,110900,1.521,168678.9
2025-01-17,SH513350,135600,1.238,167872.8
2025-01-17,SZ159518,139900,1.189,166341.1
2025-01-20,SH513310,110900,1.523,168900.69999999998
2025-01-20,SH513350,135600,1.219,165296.40000000002
2025-01-20,SZ159518,139900,1.181,165221.9
2025-01-21,SH513310,110900,1.541,170896.9
2025-01-21,SH513350,135600,1.188,161092.8
2025-01-21,SZ159518,139900,1.178,164802.19999999998
2025-01-22,SH513030,91100,1.815,165346.5
2025-01-22,SH513080,91200,1.791,163339.19999999998
2025-01-22,SH513310,110900,1.564,173447.6
2025-01-23,SH513030,91100,1.815,165346.5
2025-01-23,SH513080,91200,1.791,163339.19999999998
2025-01-23,SH513310,110900,1.53,169677.0
2025-01-24,SH513030,91100,1.838,167441.80000000002
2025-01-24,SH513080,91200,1.797,163886.4
2025-01-24,SH513310,110900,1.536,170342.4
2025-01-27,SH513030,91100,1.654,150679.4
2025-01-27,SH513080,91200,1.62,147744.0
2025-01-27,SH513310,110900,1.494,165684.6
2025-02-05,SH513030,91100,1.629,148401.9
2025-02-05,SH513080,91200,1.668,152121.6
2025-02-05,SH513310,110900,1.487,164908.30000000002
2025-02-06,SH513400,128900,1.194,153906.6
2025-02-06,SH518880,23900,6.402,153007.80000000002
2025-02-06,SZ159985,78200,1.969,153975.80000000002
2025-02-07,SH513400,128900,1.186,152875.4
2025-02-07,SH518880,23900,6.42,153438.0
2025-02-07,SZ159985,78200,1.97,154054.0
2025-02-10,SH513400,128900,1.179,151973.1
2025-02-10,SH518880,23900,6.518,155780.19999999998
2025-02-10,SZ159985,78200,1.964,153584.8
2025-02-11,SH513400,128900,1.176,151586.4
2025-02-11,SH518880,23900,6.584,157357.59999999998
2025-02-11,SZ159985,78200,1.965,153663.0
2025-02-12,SH513400,128900,1.175,151457.5
2025-02-12,SH518880,23900,6.538,156258.2
2025-02-12,SZ159985,78200,1.937,151473.4
2025-02-13,SH512720,115700,1.295541562486292,149894.158779664
2025-02-13,SZ159792,184300,0.838,154443.4
2025-02-13,SZ159998,151100,0.989,149437.9
2025-02-14,SH512720,115700,1.3428723077597928,155370.32600780803
2025-02-14,SZ159792,184300,0.876,161446.8
2025-02-14,SZ159998,151100,1.025,154877.5
2025-02-17,SH512720,115700,1.3527787428170375,156516.50054393124
2025-02-17,SZ159792,184300,0.885,163105.5
2025-02-17,SZ159998,151100,1.032,155935.2
2025-02-18,SH512720,115700,1.302145852524455,150658.27513707944
2025-02-18,SZ159792,184300,0.902,166238.6
2025-02-18,SZ159998,151100,0.994,150193.4
2025-02-19,SH512720,115700,1.3395701627407115,154988.2678291003
2025-02-19,SZ159792,184300,0.907,167160.1
2025-02-19,SZ159998,151100,1.022,154424.2
2025-02-20,SH513060,357000,0.446,159222.0
2025-02-20,SH520500,139500,1.14,159030.0
2025-02-20,SZ159570,145200,1.101,159865.19999999998
2025-02-21,SH513060,357000,0.46,164220.0
2025-02-21,SH520500,139500,1.197,166981.5
2025-02-21,SZ159570,145200,1.153,167415.6
2025-02-24,SH513060,357000,0.452,161364.0
2025-02-24,SH520500,139500,1.171,163354.5
2025-02-24,SZ159570,145200,1.125,163350.0
2025-02-25,SH513060,357000,0.447,159579.0
2025-02-25,SH520500,139500,1.16,161820.0
2025-02-25,SZ159570,145200,1.111,161317.2
2025-02-26,SH513060,357000,0.465,166005.0
2025-02-26,SH520500,139500,1.218,169911.0
2025-02-26,SZ159570,145200,1.167,169448.4
2025-02-27,SH512170,160100,1.053,168585.3
2025-02-27,SH588220,159300,1.061,169017.3
2025-02-27,SZ159822,241500,0.693,167359.5
2025-02-28,SH512170,160100,1.026,164262.6
2025-02-28,SH588220,159300,1.013,161370.9
2025-02-28,SZ159822,241500,0.665,160597.5
2025-03-03,SH512170,160100,1.0379999999999998,166183.79999999996
2025-03-03,SH588220,159300,1.014,161530.2
2025-03-03,SZ159822,241500,0.663,160114.5
2025-03-04,SH512170,160100,1.047,167624.69999999998
2025-03-04,SH588220,159300,1.029,163919.69999999998
2025-03-04,SZ159822,241500,0.662,159873.0
2025-03-05,SH512170,160100,1.035,165703.5
2025-03-05,SH588220,159300,1.036,165034.80000000002
2025-03-05,SZ159822,241500,0.673,162529.5
2025-03-06,SH518880,38100,6.535,248983.5
2025-03-06,SZ159980,146600,1.7,249220.0
2025-03-07,SH518880,38100,6.526,248640.6
2025-03-07,SZ159980,146600,1.707,250246.2
2025-03-10,SH518880,38100,6.544,249326.4
2025-03-10,SZ159980,146600,1.711,250832.6
2025-03-11,SH518880,38100,6.505,247840.5
2025-03-11,SZ159980,146600,1.71,250686.0
2025-03-12,SH518880,38100,6.526,248640.6
2025-03-12,SZ159980,146600,1.726,253031.6
2025-03-13,SH513980,223600,0.736,164569.6
2025-03-13,SH560280,119600,1.37,163852.0
2025-03-13,SH588780,146200,1.11,162282.0
2025-03-14,SH513980,223600,0.765,171054.0
2025-03-14,SH560280,119600,1.394,166722.4
2025-03-14,SH588780,146200,1.129,165059.8
2025-03-17,SH513980,223600,0.762,170383.2
2025-03-17,SH560280,119600,1.39,166244.0
2025-03-17,SH588780,146200,1.13,165205.99999999997
2025-03-18,SH513980,223600,0.787,175973.2
2025-03-18,SH560280,119600,1.386,165765.59999999998
2025-03-18,SH588780,146200,1.141,166814.2
2025-03-19,SH513980,223600,0.788,176196.80000000002
2025-03-19,SH560280,119600,1.396,166961.59999999998
2025-03-19,SH588780,146200,1.128,164913.59999999998
2025-03-20,SH520500,132300,1.284,169873.2
2025-03-20,SH520600,131200,1.274,167148.8
2025-03-20,SZ159323,126300,1.321,166842.3
2025-03-21,SH520500,132300,1.226,162199.8
2025-03-21,SH520600,131200,1.215,159408.0
2025-03-21,SZ159323,126300,1.262,159390.6
2025-03-24,SH520500,132300,1.218,161141.4
2025-03-24,SH520600,131200,1.227,160982.40000000002
2025-03-24,SZ159323,126300,1.278,161411.4
2025-03-25,SH520500,132300,1.203,159156.90000000002
2025-03-25,SH520600,131200,1.186,155603.19999999998
2025-03-25,SZ159323,126300,1.237,156233.1
2025-03-26,SH520500,132300,1.203,159156.90000000002
2025-03-26,SH520600,131200,1.207,158358.40000000002
2025-03-26,SZ159323,126300,1.255,158506.5
2025-03-27,SH513030,89400,1.762,157522.8
2025-03-27,SH518880,23300,6.812,158719.6
2025-03-27,SZ159980,90400,1.757,158832.8
2025-03-28,SH513030,89400,1.75,156450.0
2025-03-28,SH518880,23300,6.938,161655.4
2025-03-28,SZ159980,90400,1.741,157386.40000000002
2025-03-31,SH513030,89400,1.709,152784.6
2025-03-31,SH518880,23300,7.012,163379.59999999998
2025-03-31,SZ159980,90400,1.73,156392.0
2025-04-01,SH513030,89400,1.719,153678.6
2025-04-01,SH518880,23300,7.056,164404.8
2025-04-01,SZ159980,90400,1.74,157296.0
2025-04-02,SH513030,89400,1.724,154125.6
2025-04-02,SH518880,23300,7.029,163775.7
2025-04-02,SZ159980,90400,1.739,157205.6
2025-04-03,SH518880,23300,7.094,165290.2
2025-04-03,SZ159518,333100,0.92,306452.0
2025-04-07,SH518880,23300,6.877,160234.1
2025-04-07,SZ159518,333100,0.828,275806.8
2025-04-08,SH518880,23300,6.925,161352.5
2025-04-08,SZ159518,333100,0.777,258818.7
2025-04-09,SH518880,23300,7.012,163379.59999999998
2025-04-09,SZ159518,333100,0.726,241830.6
2025-04-10,SH518880,23300,7.164,166921.19999999998
2025-04-10,SZ159518,333100,0.799,266146.9
2025-04-11,SH518880,23300,7.273,169460.9
2025-04-11,SZ159985,124700,1.995,248776.5
2025-04-14,SH518880,23300,7.327,170719.1
2025-04-14,SZ159985,124700,2.01,250646.99999999997
2025-04-15,SH518880,23300,7.325,170672.5
2025-04-15,SZ159985,124700,1.985,247529.5
2025-04-16,SH518880,23300,7.503,174819.9
2025-04-16,SZ159985,124700,1.952,243414.4
2025-04-17,SH518880,23300,7.565,176264.5
2025-04-17,SZ159985,124700,1.957,244037.90000000002
2025-04-18,SH518680,16100,7.568,121844.79999999999
2025-04-18,SH518880,23300,7.583,176683.9
2025-04-18,SZ159766,170100,0.702,119410.2
2025-04-21,SH518680,16100,8.041,129460.1
2025-04-21,SH518880,23300,7.724,179969.2
2025-04-21,SZ159766,170100,0.698,118729.79999999999
2025-04-22,SH518680,16100,8.303,133678.30000000002
2025-04-22,SH518880,23300,7.982,185980.6
2025-04-22,SZ159766,170100,0.694,118049.4
2025-04-23,SH518680,16100,7.835,126143.5
2025-04-23,SH518880,23300,7.5,174750.0
2025-04-23,SZ159766,170100,0.684,116348.40000000001
2025-04-24,SH518680,16100,7.904,127254.4
2025-04-24,SH518880,23300,7.582,176660.6
2025-04-24,SZ159766,170100,0.682,116008.20000000001
2025-04-25,SH588860,109900,1.255,137924.5
2025-04-25,SZ159567,108300,1.27,137541.0
2025-04-25,SZ159985,71200,1.965,139908.0
2025-04-28,SH588860,109900,1.258,138254.2
2025-04-28,SZ159567,108300,1.241,134400.30000000002
2025-04-28,SZ159985,71200,1.936,137843.19999999998
2025-04-29,SH588860,109900,1.265,139023.5
2025-04-29,SZ159567,108300,1.251,135483.3
2025-04-29,SZ159985,71200,1.922,136846.4
2025-04-30,SH588860,109900,1.285,141221.5
2025-04-30,SZ159567,108300,1.258,136241.4
2025-04-30,SZ159985,71200,1.912,136134.4
2025-05-06,SH588860,109900,1.288,141551.2
2025-05-06,SZ159567,108300,1.259,136349.69999999998
2025-05-06,SZ159985,71200,1.917,136490.4
2025-05-07,SH518680,17500,7.993,139877.5
2025-05-07,SH518880,18300,7.671,140379.30000000002
2025-05-07,SZ159567,108300,1.209,130934.70000000001
2025-05-08,SH518680,17500,7.877,137847.5
2025-05-08,SH518880,18300,7.557,138293.1
2025-05-08,SZ159567,108300,1.208,130826.4
2025-05-09,SH518680,17500,7.851,137392.5
2025-05-09,SH518880,18300,7.531,137817.3
2025-05-09,SZ159567,108300,1.218,131909.4
2025-05-12,SH518680,17500,7.691,134592.5
2025-05-12,SH518880,18300,7.376,134980.80000000002
2025-05-12,SZ159567,108300,1.167,126386.1
2025-05-13,SH518680,17500,7.633,133577.5
2025-05-13,SH518880,18300,7.332,134175.6
2025-05-13,SZ159567,108300,1.182,128010.59999999999
2025-05-14,SH513030,71200,1.854,132004.80000000002
2025-05-14,SH513730,107400,1.237,132853.80000000002
2025-05-14,SZ159530,98000,1.337,131026.0
2025-05-15,SH513030,71200,1.816,129299.2
2025-05-15,SH513730,107400,1.244,133605.6
2025-05-15,SZ159530,98000,1.31,128380.0
2025-05-16,SH513030,71200,1.859,132360.8
2025-05-16,SH513730,107400,1.242,133390.8
2025-05-16,SZ159530,98000,1.318,129164.0
2025-05-19,SH513030,71200,1.844,131292.80000000002
2025-05-19,SH513730,107400,1.225,131565.0
2025-05-19,SZ159530,98000,1.307,128086.0
2025-05-20,SH513030,71200,1.877,133642.4
2025-05-20,SH513730,107400,1.225,131565.0
2025-05-20,SZ159530,98000,1.306,127988.0
2025-05-21,SH513730,107400,1.215,130491.00000000001
