trade_date,cash,positions_value,total_value,daily_return,cash_ratio,exposure,gross_traded,transaction_cost,holdings
2024-08-05,61.895399940840434,425422.6,425484.4953999408,-0.05022749661663184,0.00014547040047290297,0.9998545295995271,0.0,0.0,SH513290;SH513400;SZ159502
2024-08-06,61.895399940840434,429525.2,429587.09539994085,0.009642184484639715,0.00014408114350645588,0.9998559188564935,0.0,0.0,SH513290;SH513400;SZ159502
2024-08-07,61.895399940840434,431720.6,431782.4953999408,0.005110488707664951,0.00014334856229757413,0.9998566514377024,0.0,0.0,SH513290;SH513400;SZ159502
2024-08-08,61.895399940840434,423692.4,423754.29539994086,-0.018593157632672885,0.0001460643599669552,0.999853935640033,0.0,0.0,SH513290;SH513400;SZ159502
2024-08-09,9315.790224375145,423290.7947676149,432606.58499199006,0.020890147163450834,0.021534092516293138,0.9784659074837069,856658.6465290366,856.6586465290366,SH511880
2024-08-12,9315.790224375145,423307.54300619324,432623.3332305684,3.871471022254269e-05,0.021533258862416135,0.9784667411375839,0.0,0.0,SH511880
2024-08-13,9315.790224375145,423315.91712548234,432631.7073498575,1.9356605725828757e-05,0.02153284205968223,0.9784671579403178,0.0,0.0,SH511880
2024-08-14,9315.790224375145,423324.2912447715,432640.08146914665,1.9356231054867834e-05,0.02153242527308347,0.9784675747269165,0.0,0.0,SH511880
2024-08-15,9315.790224375145,423336.8524237051,432652.64264808025,2.9033784597398693e-05,0.02153180012343669,0.9784681998765633,0.0,0.0,SH511880
2024-08-16,9315.790224375145,423399.65831837367,432715.4485427488,0.0001451647083077212,0.021528674919621734,0.9784713250803783,0.0,0.0,SH511880
2024-08-19,9315.790224375145,423403.8453780183,432719.6356023934,9.676242571643456e-06,0.021528466604956668,0.9784715333950433,0.0,0.0,SH511880
2024-08-20,9315.790224375145,423433.15479553025,432748.9450199054,6.773304259977131e-05,0.021527008515171867,0.9784729914848281,0.0,0.0,SH511880
2024-08-21,9315.790224375145,423424.7806762411,432740.57090061624,-1.9350987184418855e-05,0.021527425092098935,0.9784725749079011,0.0,0.0,SH511880
2024-08-22,9315.790224375145,423479.21245162055,432795.0026759957,0.0001257838507404685,0.02152471763022931,0.9784752823697707,0.0,0.0,SH511880
2024-08-23,468.2385893933242,431513.6,431981.8385893933,-0.0018788666264041298,0.0010839311923906913,0.9989160688076093,855034.6830480662,855.0346830480662,SH518880
2024-08-26,468.2385893933242,434179.2,434647.43858939334,0.006170629785512194,0.0010772836736665187,0.9989227163263334,0.0,0.0,SH518880
2024-08-27,468.2385893933242,433865.6,434333.8385893933,-0.0007215043093726781,0.0010780614996843097,0.9989219385003157,0.0,0.0,SH518880
2024-08-28,468.2385893933242,433395.19999999995,433863.4385893933,-0.0010830378805569696,0.001079230347031992,0.998920769652968,0.0,0.0,SH518880
2024-08-29,468.2385893933242,433944.0,434412.2385893933,0.0012649141439167177,0.0010778669378969858,0.998922133062103,0.0,0.0,SH518880
