trade_date,observation_date,rebalance,cash_before,drift_l1,available_count,weights_json,volatilities_json
2015-04-17,2015-04-16,True,8041.2935330380515,0.2903245250713087,7,"{""SH511010"": 0.27929841051747584, ""SH513100"": 0.19910813742754946, ""SH513500"": 0.1354498522893181, ""SH518880"": 0.0636477708336799, ""SZ159928"": 0.12064356874606953, ""SZ161005"": 0.1364748176277778, ""SZ163412"": 0.06537744255812931}","{""SH511010"": 3.6636113332766875, ""SH513100"": 11.88310002357679, ""SH513500"": 10.187555597749899, ""SH518880"": 10.853430381663498, ""SZ159928"": 19.708181111159366, ""SZ161005"": 14.353175538491241, ""SZ163412"": 23.945817154809262}"
2015-04-24,2015-04-23,True,4076.506729457531,0.1310996843991684,7,"{""SH511010"": 0.289861170633527, ""SH513100"": 0.22604549987024491, ""SH513500"": 0.14652383849449646, ""SH518880"": 0.0613772396051527, ""SZ159928"": 0.09736087965920869, ""SZ161005"": 0.1266901904692313, ""SZ163412"": 0.052141181268138805}","{""SH511010"": 3.653424674793715, ""SH513100"": 11.329946978697906, ""SH513500"": 9.950769554069007, ""SH518880"": 11.228105900361648, ""SZ159928"": 22.287324710647482, ""SZ161005"": 15.134020422499445, ""SZ163412"": 27.23985212008823}"
2015-05-08,2015-05-07,True,5887.4067294575325,0.1481799151154106,7,"{""SH511010"": 0.3052768314170825, ""SH513100"": 0.23535264705408765, ""SH513500"": 0.17304480321580742, ""SH518880"": 0.06844607858000966, ""SZ159928"": 0.06566668330810153, ""SZ161005"": 0.10454562385173621, ""SZ163412"": 0.047667332573175084}","{""SH511010"": 3.548165089142537, ""SH513100"": 11.066794083493773, ""SH513500"": 9.126139318309818, ""SH518880"": 10.597207867326793, ""SZ159928"": 27.04787850157895, ""SZ161005"": 16.604600977840803, ""SZ163412"": 28.394898216008247}"
2015-05-15,2015-05-14,True,7508.30672945753,0.09005775812803637,7,"{""SH511010"": 0.2912064114340555, ""SH513100"": 0.23923815584817829, ""SH513500"": 0.18946294273688802, ""SH518880"": 0.06780376537357838, ""SZ159928"": 0.06368133018597887, ""SZ161005"": 0.09538818051632864, ""SZ163412"": 0.053219213904992346}","{""SH511010"": 3.690614211778504, ""SH513100"": 11.151018202275651, ""SH513500"": 8.860385356671173, ""SH518880"": 10.816511284148756, ""SZ159928"": 27.902817548687054, ""SZ161005"": 17.659665180633343, ""SZ163412"": 27.300140891876996}"
2015-05-22,2015-05-21,True,6672.006729457529,0.112426830113729,7,"{""SH511010"": 0.27252423839326734, ""SH513100"": 0.23561925772174927, ""SH513500"": 0.237158015008276, ""SH518880"": 0.06081731232546386, ""SZ159928"": 0.05628168281431143, ""SZ161005"": 0.08987157315772214, ""SZ163412"": 0.04772792057921006}","{""SH511010"": 3.7610985230664404, ""SH513100"": 11.077519349573455, ""SH513500"": 7.80753622412149, ""SH518880"": 11.259488543700545, ""SZ159928"": 29.260971875273167, ""SZ161005"": 17.936460155533858, ""SZ163412"": 28.42045461758383}"
2015-05-29,2015-05-28,True,4834.60672945753,0.2659066502270963,7,"{""SH511010"": 0.36468310399289355, ""SH513100"": 0.19850316501956958, ""SH513500"": 0.2647480706793431, ""SH518880"": 0.052511755384768335, ""SZ159928"": 0.03160354363374232, ""SZ161005"": 0.05727768708513709, ""SZ163412"": 0.03067267420454597}","{""SH511010"": 2.903709867513277, ""SH513100"": 10.778490804918855, ""SH513500"": 6.599488457805282, ""SH518880"": 10.821756842718392, ""SZ159928"": 34.873710447910426, ""SZ161005"": 20.06545153561148, ""SZ163412"": 31.66177227084777}"
2015-06-05,2015-06-04,True,6125.13156854384,0.1679231639868684,7,"{""SH511010"": 0.2598606857342519, ""SH513100"": 0.23328053443331398, ""SH513500"": 0.2868819949044235, ""SH518880"": 0.07290598908029963, ""SZ159928"": 0.03355688415489972, ""SZ161005"": 0.07494027343008146, ""SZ163412"": 0.03857363826272984}","{""SH511010"": 3.812377719560115, ""SH513100"": 11.019391009513186, ""SH513500"": 7.026356816397953, ""SH518880"": 10.178870932506067, ""SZ159928"": 37.50856117924478, ""SZ161005"": 19.441922511789354, ""SZ163412"": 31.291105809251945}"
2015-06-12,2015-06-11,True,3280.831287131993,0.09767039255312845,7,"{""SH511010"": 0.279330069454551, ""SH513100"": 0.22797733637177384, ""SH513500"": 0.25397463439092827, ""SH518880"": 0.07819530736750663, ""SZ159928"": 0.03806212400595532, ""SZ161005"": 0.07967376882100308, ""SZ163412"": 0.04278675958828182}","{""SH511010"": 3.6350442150403826, ""SH513100"": 11.019282992649092, ""SH513500"": 7.382254350346806, ""SH518880"": 9.716127266107216, ""SZ159928"": 34.81585292336172, ""SZ161005"": 18.63981053272684, ""SZ163412"": 29.37066934541774}"
2015-06-19,2015-06-18,True,5883.431287131993,0.06891282573726698,7,"{""SH511010"": 0.2607685804930969, ""SH513100"": 0.2557072848124683, ""SH513500"": 0.2533583089922044, ""SH518880"": 0.08854732769602318, ""SZ159928"": 0.031110563472781932, ""SZ161005"": 0.06708633728440942, ""SZ163412"": 0.04342159724901577}","{""SH511010"": 3.650421522247143, ""SH513100"": 10.095544072617836, ""SH513500"": 7.171643713892932, ""SH518880"": 8.859269559439454, ""SZ159928"": 37.365578950854825, ""SZ161005"": 19.70989173684361, ""SZ163412"": 28.28901007589816}"
2015-06-26,2015-06-25,True,3113.731287131992,0.06109867867339419,7,"{""SH511010"": 0.25691031511977747, ""SH513100"": 0.2545438498293448, ""SH513500"": 0.2567920793071393, ""SH518880"": 0.11249141757685803, ""SZ159928"": 0.02608886938834242, ""SZ161005"": 0.05158996575257785, ""SZ163412"": 0.04158350302596011}","{""SH511010"": 3.790776595474896, ""SH513100"": 10.429615286756803, ""SH513500"": 7.342497096004269, ""SH518880"": 8.10166468614139, ""SZ159928"": 42.057779402429176, ""SZ161005"": 23.166849290548054, ""SZ163412"": 29.796031558978754}"
