execution_date,symbol,shares,market_value_at_open
2020-02-03,SZ000679,423800,1322288.7900829315
2020-02-03,SZ000691,377600,1276775.6286621094
2020-02-03,SZ000929,218000,1314307.092666626
2020-02-03,SZ002209,217200,1305649.6147155762
2020-02-03,SZ002633,177200,1364866.3307189941
2020-02-03,SZ300665,198700,1295027.234840393
2020-03-02,SH600241,354200,1392388.994693756
2020-03-02,SH600561,295500,1392568.2957172394
2020-03-02,SH603991,89500,1391520.5092430115
2020-03-02,SZ000679,428400,1392492.2246932983
2020-03-02,SZ000691,381500,1392507.871747017
2020-03-02,SZ000929,225200,1391993.7896728516
2020-03-02,SZ002633,175900,1391877.008008957
2020-03-02,SZ300106,254600,1392260.5891227722
2020-03-02,SZ300665,204400,1392335.331916809
2020-03-02,SZ300736,150500,1386386.7511749268
2020-04-01,SH600241,398300,1486039.7107362747
2020-04-01,SH600561,301900,1485868.2841300964
2020-04-01,SH603269,183900,1486045.4506874084
2020-04-01,SH603389,357200,1486013.7739181519
2020-04-01,SZ000679,474800,1485804.3743133545
2020-04-01,SZ000691,403800,1485935.0237846375
2020-04-01,SZ000929,226100,1485763.9288902283
2020-04-01,SZ002633,187500,1485655.6355953217
2020-04-01,SZ300665,209800,1485944.1103935242
2020-04-01,SZ300736,163200,1481797.933959961
2020-05-06,SH600520,186800,1388332.3684692383
2020-05-06,SH600561,302500,1388576.8818855286
2020-05-06,SH600768,149600,1388143.1503295898
2020-05-06,SH603269,176000,1388313.5986328125
2020-05-06,SZ000929,228800,1388596.965789795
2020-05-06,SZ002209,247100,1388819.326877594
2020-05-06,SZ002633,187700,1388494.4677352905
2020-05-06,SZ300405,340300,1385076.06716156
2020-05-06,SZ300665,205300,1388337.9803180695
2020-05-06,SZ300736,159600,1388327.885055542
2020-06-01,SH600561,328200,1483538.4867668152
2020-06-01,SH603269,187800,1483623.3312606812
2020-06-01,SZ000638,362800,1483754.139328003
2020-06-01,SZ000929,230300,1483432.6882839203
2020-06-01,SZ002209,253500,1483707.618713379
