order_id,trade_date,symbol,asset_type,commission,stamp_tax,total_fees
784,2021-07-01,SZ002382,stock,16.33220859375,0.0,16.33220859375
785,2021-07-01,SZ300677,stock,34.59292172561645,0.0,34.59292172561645
786,2021-07-01,SH600075,stock,24.402665090560912,0.0,24.402665090560912
787,2021-07-01,SH600694,stock,14.51863358253479,0.0,14.51863358253479
788,2021-07-01,SH600566,stock,13.65890616142273,0.0,13.65890616142273
789,2021-07-01,SZ002128,stock,236.35606623321533,0.0,236.35606623321533
790,2021-07-01,SH601000,stock,10.246778855752945,0.0,10.246778855752945
791,2021-07-01,SH600033,stock,13.050468461666107,0.0,13.050468461666107
792,2021-07-01,SH600368,stock,236.43214471458435,0.0,236.43214471458435
793,2021-07-01,SH600618,stock,236.45325003524778,0.0,236.45325003524778
794,2021-07-01,SH603685,stock,5.0,0.0,5.0
795,2021-07-01,SZ002567,stock,10.59328503238678,0.0,10.59328503238678
796,2021-07-01,SZ002531,stock,236.30152795772554,0.0,236.30152795772554
797,2021-07-01,SZ002763,stock,236.3064091644287,0.0,236.3064091644287
798,2021-07-01,SZ300443,stock,236.23315970169068,0.0,236.23315970169068
799,2021-07-01,SH603900,stock,236.3467012940025,0.0,236.3467012940025
800,2021-07-01,SZ002283,stock,227.8331544412422,0.0,227.8331544412422
801,2021-08-02,SH600075,stock,279.48828438508986,931.6276146169663,1211.1158990020563
802,2021-08-02,SH600089,stock,278.14546740737916,927.1515580245973,1205.2970254319764
803,2021-08-02,SH600368,stock,245.0579860110426,816.8599533701421,1061.9179393811846
804,2021-08-02,SH600618,stock,246.09595085592267,820.319836186409,1066.4157870423317
805,2021-08-02,SH601000,stock,236.50834407554623,788.3611469184875,1024.8694909940336
806,2021-08-02,SH603685,stock,253.82695458755492,846.0898486251831,1099.916803212738
807,2021-08-02,SH603900,stock,232.56371592550275,775.2123864183426,1007.7761023438453
808,2021-08-02,SZ002283,stock,229.7531333030033,765.8437776766777,995.5969109796811
809,2021-08-02,SZ002531,stock,310.8890955305099,1036.2969851016999,1347.1860806322097
810,2021-08-02,SZ002567,stock,207.2165651511669,690.7218838372231,897.9384489883901
811,2021-08-02,SZ002753,stock,5.0,5.5250951911926265,10.525095191192626
812,2021-08-02,SZ002763,stock,212.36771478881835,707.8923826293945,920.2600974182129
813,2021-08-02,SZ300443,stock,335.4810580622863,1118.2701935409546,1453.751251603241
814,2021-08-02,SH603199,stock,245.96518710182187,0.0,245.96518710182187
815,2021-08-02,SH600512,stock,7.862259585886,0.0,7.862259585886
816,2021-08-02,SZ002382,stock,5.0,0.0,5.0
817,2021-08-02,SZ300677,stock,15.764305034179687,0.0,15.764305034179687
818,2021-08-02,SH603238,stock,245.8783529945755,0.0,245.8783529945755
819,2021-08-02,SZ000698,stock,245.9246853845215,0.0,245.9246853845215
